@rowCount	1660
w	d	t	q
tercto	te+xecto:  100's dimension:   x1 = xecto3 (100's dimension), x2 = xecto2 (quantity in 100's), x3 = xecto1 (100)	jbo	ONKNQKRRNMSIPQNPLQOSQKPPPSMQPQOVQOMMMOMPONSNQLMQQNOQIRRONONNOPQMSRKLJRKSPNQPSNNPOQLOLPOPNOPRPOOPPKRKOQOPLOORMPPKPQOOPPSLSNLOPMQOMTNRQNNOPQJPPQOOQTLNOSOOQQJKNMROMPNROPUQOOSQNKQMRPMNMOOMNSOPLNNRNOMKQSKNRNRKSKOPKNQMONPNOOKMOKNOQPQMLNLPNKPOOKNSPNLLOOPOMNRLPNKIQTMLONORQNPPOPQMSNRPPPRUMPOLQMTPQONPKORQMIILKQPNOSRRNSSUPKQPTLTOKNNOOQPQNPRNMOSJKONNMONMMPPJQNPKOPOMLMOKNMOOSPOONMPOMLOOMRPONRPL
selxe'a	se+xedja:  has jaw:   x1 = xedja2 (has jaw), x2 = xedja1 (jaw)	jbo	NRQOKORQMQSHSPSRKPPNTRMMSSMMRNOORNNOPNPONOPNOPLRPQNLKRTOKQNQQOPPSLOMITNQNLJPRLQOKPPNNRNNJTNPUMRNRTRQNTLOLMLNNOPMQPKPPQSMPLOOOKMONMONMQKQIPLOPQNOOMLOQONQNPQLOOMKNQPOUMMNPPPKNLOOROOORNMQMRNUNNQPNOOKOQLNQPOJMQNPNOPNPPOLMPKMPLPOJQPOOOTNLNQPOKQSQMIPQQNORPPOMRKMMRLNLLNPOQSWRPMPOPNRLNONNMNPOLPSRMNNKMRMMLMMJPOQPQQQPPQVNOMRPOSOKINNPQLNONPPKNPMOTMMKPNPNNMORRNPLNLMQRPOPLORORPNPLRMRKLQPQQSQPRM
selxelso	se+xelso:  Greek aspect:   x1 = xelso2 (Greek aspect), x2 = xelso1 (Greek)	jbo	POPMNLSNRMTKOMPOLPNNRMNQTVQPQNQTSQMOPOPOOMSPLPROQQMOKOPQMNMMMNQSPONKKRLPOJKSSKSLOOOQNQQMOOOQUNROQPRPQSOQLMMNOMPKQPNPSRULNLMQKNLOLRPMJOMPLOJNMOPQPOKPQQMMLPQNNNPOORPQPPONJPQMPLPQPOJOSLQPNSMOKQPMOQQMOTMPPQNMMKNSJNSLNMROPNKLONOOKLMOLLNPPONNOKQNPRIOPSOPRNTQLMNKOQMNMKOMNPTUPNOQMOJQLORPJPLLOLPPSKNMMPQPKOOMLQQNQNSUQQQWPNOPPRPOMLOMORMNMMMPMLONQSNONNNPONPMSLNMPOMQQQQOPMPPRSQMMMNNMNNMPRRPQSPM
selxe'o	se+xendo:  object of kindness:   x1 = xendo2 (object of kindness), x2 = xendo1 (kind), x3 = xendo3 (kind behavior)	jbo	NPPQNMSNLNRJQNRSNPLRUNNPOPOPQMQPPPOQOMLMNNOKMLMMRNNNIRSSMOMLMNUPQNMPJQMOPNPQRMPLJONROPPKNTORSNQNRNPQMUQOQNKKMMLLOOKRQOQLTLNOONOOMOPONNMTJQJQPONNNPJRRMNPNRPMRNROPRNORNNNNOSLQLPRRPMPRPNNLVNNNNQLPROMQNOSKPRLLJQMKPNPMMOOOPNMPLMONNOONLMMOTONTIRSOMMNPQOOOQQPONLMKRQNOOOPOQQURPKQRMOOMOOQNMKOMLOROKLLKKROLINMMPQNPOUPJLRVMNNRPSQONKOPPQKOMOOQNMTMPQLONLMQQNOLRRPPPPPQNQQPSMLOSQOJPNNMNKKNQPTPOQQQ
terxe'o	te+xendo:  kind behavior:   x1 = xendo3 (kind behavior), x2 = xendo2 (object of kindness), x3 = xendo1 (kind)	jbo	MQOPNNSOLNRKRPRRLPMRUMOPOPNPRMPQMOMQMOLMONOKOMMMRMPNKSSSOONLNOUOSOLQKQMOQMRQSMONJMLQOPPLPTOSRNOLQMNPNTPPROLJMMMLOPJQNNQKULMPPMPOLPNPPNMRLQJRNOOLNQKRPPNNMQOMQNRNNROOQOQNONSMPKPRQONOQOMPNVOMNORLOQOLTNORMOSMNJQLLNOPMMNOOQMNOLNONPQONMKMPSOOQIRRPMMLOPMONRPPRMLKLSRMRNQPPPRSQQMPRNQPMOOQPLMPNLPQMLKLMLSQMGONMNQLNOUPJMRUNMOSPRPONJOONPLONMOQOMTNOOLNNLLOOOOLRRQPOPQRPPQPRNKPSPPJPNMNMJKNQPSPORRQ
selxe'u	se+xenru:  regrettable:   x1 = xenru2 (regrettable), x2 = xenru1 (regret)	jbo	RNNPPLSPPLUKSMPPIQPNRPNORPNRQMQPPPLOMLOKMNMNMPPMOQQNMPSRJPPMNMPNQNMNKUPNQNLSQLONMOMPQNRKROQQUONPTPORPSMQLKNOLLMMQMNSQSQNMOPONLMOOMMLOROQJNJKLORNOOSQPNONONQLQOLMNOSPPRNNMOOLNMRSQNOOPQMOOSMQNOPMOVMKONJNPORNJLSLLPKPOMQLLOMLSMNONNSRQLQJMPOPQPPTSPKKORNNOSTQPNJPNQRQOJNNOPQTQONQQMOQJNPMLOPPMLPQSKMLMOSOLLNKMTQOOQTQMRRUNNOQSPQOJHOPRQLONKPRMMOOPRNMONLNPKOPRPPLPNRNOPQPPOLRRQOLNKRMQONNMQORMPOO
selxexso	se+xexso:  quantity in 1E18's:   x1 = xexso2 (quantity in 1E18's), x2 = xexso1 (1E18), x3 = xexso3 (1E18's dimension)	jbo	OMPPNNPPQKSJQNPPMQLPRNMOQQNOQPRQQNPMNMNOPNPNMLMQROOOIQUMMPNMRPQMRONNJSJRMOMQPMPPKQMQNOOPNQNQQPSQQQTOOUNPIMMQNNPKPPMTRPTNSQLQMMPOKROPLQORMSIRPLNPPSQNQMOPNNLONMQMMOQNROPOPRRNMLMMUNMORMONNSMQLPQNQRQLMQKPONRKNMNOJOOLMOPOQMMKMLMOKONLOPPNOPONOKNTNMMNORQQNPSMLPPJQSJNPLOPNRRUPQONQPOSLQORKQMKPNRQSPLMLPRNNKLNORPOOTSQNPQWOOMPQNROLMNQMQNRPROMLJRKNQMJPQOORKMKQPPMRPONMQOOMLLPTRONPOPKPMLPLSOOKPRL
terxexso	te+xexso:  1E18's dimension:   x1 = xexso3 (1E18's dimension), x2 = xexso2 (quantity in 1E18's), x3 = xexso1 (1E18)	jbo	NNOPPMQQPLTIQOONJPMRQMNNQRNOQQRRONOMMNMOPPQNOKMQQMQOJRUMOPNNSPRMRQNNJRISNNPPRMPPLOLQMOPPNRNRPPQOQQRNORMQJNMQNNPJPQMTOPTNTQKQNNQOKUNROQOQNRIRNLNPPTPNPPOONOKNNMQLLPQNQNROQRROMKMLUONPPMOOOTOOMOPNQQQKOPKOQNRLQMNOIOQLLOOOQNLJLLMOMOOJNPNNPNPNOKPSOMLLOQPQLPRMNOOIQUKNRLPRPPQTNSPMRPQRMOPRMPOMRLTOPPKNMPRPMILNOQPMNTRPNQRVPMMRRLROKMNQMPORQQPLNJSLMPMJOQONPLMKQPOMQQPNNPMOMNLQTSPOQOOLOMLPKSONKRQL
selxindo	se+xindo:  Hindi aspect:   x1 = xindo2 (Hindi aspect), x2 = xindo1 (Hindi)	jbo	OONNNLRMQLWINNTOMPNKRNOPRSQPRMQUQRJNNLPLNMRLNNNROPNMLQQNMPOSOSORQLQLJRMPPLKOPMQMNPSPNRNNNMPRTPQPROPOPSKPMKPLNMOLPNMOSRSMMNMMMKNOPSNMMNMOLMLMJOTONPOOPQOMNOTOLOONNRLNOOOQLQOLPPQPPPJQSMPOPQMQOMPMNPQLPOMNQTOMNNOQJOSMMLPMOMMNPMROMOKMLLRPPQNQOMQQQRMQPPLOQPTONPOHOOLKOJOQNOSRPMPOLMNQMNRMNNJNNOPQPLRNNMRNINJMNRROPNQPOQPWQPPSPQROLIMOMRLPRNLQMNPNQRNMPOOLOOKNQOMPQMNPSPROSJPQURRKOJOMROPOLSUQUTOP
selxinmo	se+xinmo:  ink color:   x1 = xinmo2 (ink color), x2 = xinmo1 (ink), x3 = xinmo3 (pen using ink)	jbo	PNNOPLUONJSLRONPJQONSKPNOQRPTMPNSQOLOMNOPNOLPNOQOSRMJPSPMOOOOPMQTPOMKPNQPMNQSOOLMQRWRRLPLPPUPNQQVQPOQPMONMMMMNPJPNOQPRTOPMJNKLNONONPNSMLHNMOMSONRMNPRNOPPPOOPNNOPOMNQPQTMQPMNNOPSPLNPLPLORNMMOPQPRLKOMJQOOONLNONHOLJNMQPMKLKOKKOLPNQLNTNQQPQPONRMTNJKPPPNQSONPLLRSPOUKNOPOSSONNPOPPLMOMONQNQNOPPSLMMNLRNQMPJNSOPOOSSNQRUPLQRSPQOOMRNQOPKPOOMMKSOPMNLLMMPOMLMPNMNTONMNQQNMLMMSNRLMOOMSOMKMVSRMQRL
terxinmo	te+xinmo:  pen using ink:   x1 = xinmo3 (pen using ink), x2 = xinmo2 (ink color), x3 = xinmo1 (ink)	jbo	NOMPPLVPOKTMRRNNIQPOTKQNORQPTNNPOPMKMNNNQNPLQNOSPSTMLQTPNOOOPRMOTOMMLQNSPMORSONNNPRUQQLQNQQVONOOURNNQNMOONMKMNPJQONQMQSPONINLLOOMRLSOQNKKMMPLROMQNNRRQMOPQNNPOMNNNNNROSTNPRMONNPROMOOMPLPROLMOOSOPMKPMJOQNPOONOLIPNKMLPONLLLOKLONRQOJNRLSPOQOONPMRMIKOOOLQROPOKJSSPOUKOORNRRLPPMPPQLMNLOOOOQONQNPMMOOMRQRLPLMQPMMNQSNRRSPLRSTOQOOMQMPOQMQNPMOJSPNKMLKMMMLMLMONMNRPPNPOQONMMORNSMNONOSNNLMVQQMRRM
selxi'a	se+xirma:  horse species:   x1 = xirma2 (horse species), x2 = xirma1 (horse)	jbo	OORPNNRQPLUIONLQLPMOQOLSPOMPQOMNRNKNPKPPRLNQOQOPQUNOIRTOJPNPRRQPQNLOMQPPMLJPNMRMLNQPRPONKPPPTOSQUPQPOSLPLLLMLLNJQPMSOSQMOOOONKLOMPMOKNLRJPKNNNSPPNOPRQNONMOJNPNKMPMNQMPRPOQKPQPRROJOSONPLSKQPOQNQPKNPPKNNMSLLNNMHQOMMMQNOPNMKMPOLMOPNPSLQRPQOMPOOQMNLQNLOTPNPOLMNQMPQLNPROSTSNPROPQQLNOONLMNMNOROKMNOKQOMLLONPTNOOTQOPOWQOPQPPSONOPPOPKNPOOPMNRLQPNMLMNMOKNLTOPQQLOOMRUMOLNPVPTKNMNNUMLPNQRPOOSN
selxi'u	se+xislu:  wheeled vehicle:   x1 = xislu2 (wheeled vehicle), x2 = xislu1 (wheel), x3 = xislu3 (wheel properties)	jbo	NOMMOLQPOJVLTLORLRLNPMOPNROQSNPQPPNMNLMOOMQNMQPMOSPPMQPOKSPOSQRQOMLKJSONOMNNRKOOJQRQOOOPLQMNSNQRSNQPMSPQJONMLPRJNLJOORSOQLOQOKNOIPMNLLNPMSMQNOPLONMNROPNPPQMROPPLROQMNNRPMNKNOQOSMLPPMPLNRKQKMPNPPONONJNNQRMKMNMGPNMONMONOILOPMOLPPPOORLMSOONNQRPNKPNRNOPPRNPQILQSNNOLLMQNSVPMOUQOPPNNQRNNNLONQRPJNKKMRPOKMKPRSMPPTTNRMTROPSPSOONNMMNPNNKNPQMNQMPROMNLORNOLKTNPOSMQLMRTQQOONQSLKNNNJPQOQPPQPNQSN
terxi'u	te+xislu:  wheel properties:   x1 = xislu3 (wheel properties), x2 = xislu2 (wheeled vehicle), x3 = xislu1 (wheel)	jbo	MPKNPLQPOKVLTNNQJRLOPMOONROQSPQRMPMLNMMNPNQNOQONOQQPNRQQMSPOSQRPOOLLKSOOPOPOSKOPHPRPPPPQNPNOPOPRRLONLPPRJPNMKQRKNMKOLQTNRMNQNKNOIQLPMLONPSLQKMNKOPKORRONQQPNQOQOLROPLNPSQMPLONQOTLMPNMPMPSLOINQOPPPNPNKOPQSNNNOLFPOOOMLOPOIMMOLOLQRPNOPKORRNLMOQPMLMNQLNNOSNQOIKQTOMPLLNRMSTMNQRROSPNNOQPNOMQNRQNKNLMNQRQJNJOQUKOPSTOSMSTOQUQQOONMMLMONOLMPQNNRNOOOMMLPONOLKROQOQOSNMQSRQONPRSMLNNMLPNNPOPPONQSN
selxispo	se+xispo:  Hispanic aspect:   x1 = xispo2 (Hispanic aspect), x2 = xispo1 (Hispanic)	jbo	SNOPNMSNOKVJOMPRLOOOSJKPRQNPRMPTQRMLQLPOMMPOOQOTPQONMUPPMONRNPQTNNOKIRORNPOQPMPKNRPOPPONMQMQTMQOSPPPMRONLJPMOKQKOOMNUQSLNMJNLKNOOPLOMONPJOLMLQRRNRKNSONOPRNLOOOPOQPNSOPSMRRNRLQQROKNSNPOMRMONQMNOOONQOLNNSOMNMQOIPONLPSOMNLQOLPOLLOLMMRMPOOMONNPOQKQMSPOQNSPMPKKOONNLLPPNOQURPNPMNMPJQOMMMHOMQQOSMNMMMSMIKLLMSPQOPRRPRMVQRNSPPOOLNQOORKMONKPMKRLQSMONMNOQOLKQPPPONOQORRNRLNPSPPKPNOKQPOMPQUQRSRO
selxla	se+xlali:  find bad:   x1 = xlali2 (find bad), x2 = xlali1 (bad), x3 = xlali3 (badness standard)	jbo	OQPOOOONNNRKTNNQLSNOSPLPRQNOQLLPUPPMMOQONNQMMOONRPMOLPTNLPONRNPMSOMPLVKOLNMTOKPOOPNSQNONPPPRTPRPQOSPMTNNNNOOOKPJPKOTUQPMPLOQNOKOPNPNMPMPLQNNOORQQMLORJONQNPLQNOMNQSPOSOPKPPOUMMPSONOSQMQNTLROONNOQPMOMNNOPQKKPQILMPOLLPMOQKPOONONOPPMMTLRROLMMRQOPINPQLQORRNJOJQOROONKOLOSQSSOMQPNMOIQOQLOLRLNOSRKLNNOQPLKNLJROQQPSSMPRVMOKOPOQOLLOOORHQQNLOLIMMOPLMNPNQRLNORQRNQMOPPPOQOPLNRNRJPJTNOPMNOSPPPQRP
terxla	te+xlali:  badness standard:   x1 = xlali3 (badness standard), x2 = xlali2 (find bad), x3 = xlali1 (bad)	jbo	ORNNOOPPMOTJTPNNKSNOSPKORQNPRMLRRONMKPOOONQLNPNQQNOOLRTMLPPOROPLUPLOLWJPMNNTRKOPMOMQRNNORQQSROPOPNRPMRMONNPNOLPJPKNTPPQLPMNQMOLOORNPNPMNNQNOMNQPPNKPRNNMQOPJPNOMNQTPOSROLPRPULMPSNOPQPNRPTMROPONNQMKPNNMPPQKOPRHKOQQKKOMOQJONNNOOSQOLMQKSQQLLNRPOOIMPPKQMRPNLNJNOSPORLPMQSQSQPPNQMONJQNQNNMRNLQPQLKNOOQQLIMMIQPONPSSLQSTNOMRROQOKKMNNPIPRLMOLIPONNKNMOMOPNMORRROQMPQPQPQNQJPSNQKNJRPOOLMNRNPORRO
selxlu	se+xlura:  influenced:   x1 = xlura2 (influenced), x2 = xlura1 (influence), x3 = xlura3 (influenced action), x4 = xlura4 (influence)	jbo	QMPNQQPNQNTJRLPROPKPSMNPQPNORKQRQOKMNOORPOSNNMNNMSLJMRQLKQPMQPPOOQNPKPOMOKNPOMPKNNLRNPOKNSPSRLNPNMUQNSLRMLOOOMNLNNOOSPQLRKPNNKIOQOQPOLLNIPJSOQOOPPLMOQMMNNQPONONNOPQMPRPMOOMORPOTROMVNRPJUNQNONNSTNKPONPOPRLGNOPINOOKNTPLNMLQNOOMPQORPQNQSUNMMPOPNIQNPMNRPRSLOINOPMPMKOLLRRTROMSOONQMPQQPOMNLMRNQLPKPNSPMMOJMNLNOPSPNSMSRRNPQRNOMNRRQSLMNOQRNMQKOPMNNNMPSLMMRPROPLMNNQQTRMMQSQNHMMPLMQNONUQORQPO
terxlu	te+xlura:  influenced action:   x1 = xlura3 (influenced action), x2 = xlura2 (influenced), x3 = xlura1 (influence), x4 = xlura4 (influence)	jbo	ONONQSPOROTKRNNRNPKQSMOOPQNOSLPSNNIMMPOQPPSMPNMOMQMINSRKLQQMQQPNOSMOLPPNOKPPQMOLNMJQOPOKQSOSOMKNMLSONQKSNLONNOMKNNONOOPKSKOONKJOQQPRRLLLLPJSNQOMOQKNNSLLNOPPNOOMLOQQLOSPNOONOQPPRQPNUMPQKVOPNOOORSLKRONPROSMJMPOHMPPKORNMOMLPOOOORSNQONMSQVNKNQNQNINNNLOOPQSNNIMORNQOLPMNQRRQQOROOQQMPQQRNONMMRMONNLRMSRMKPJLLLKMPSNMTMRRQNSRPNOMNRPPSMNNMSRPMRMNMLONNNMQMMNQPRPNNMONOPUQNMSSQNINMONMQMONSONQRPP
velxlu	ve+xlura:  influence:   x1 = xlura4 (influence), x2 = xlura2 (influenced), x3 = xlura3 (influenced action), x4 = xlura1 (influence)	jbo	QNNLQSOOPPSKRMNSNQKQSLOORRPOSKPRPOIMMRNQQOTLPOMPNQMHNRQLKOPMQPPNOQMRJRQNMKOQPNPKMMKSNONKPSOSOMMOOLSQOQLRNMONMNMLOOONQPOHSLPNMKJOPNORPNLNKPIROPOOQQKMPQMMNOROONPMNOORLOROONNLOROQQRQMSNQPKWNONPNOSSKKRONQOQSLJNPPHOOQKORNLNLLQQOOMRSOSOPNRQSMLNSOPNJOMPNOOOSSLNKNNQNPNLOMMQPSPPOPPNQPMQRQQOPNLMRNQOONPNTRMNPKLLMLMOTPMSOSRSOSRPOOLNQQQRMOMNQRNLRLNOLNNNNOQLMNRPSPPNMOMPQTQOLRRQNHMMOMOPLNNSQNPROP
selxoi	se+xotli:  hotel location :   x1 = xotli2 (hotel location ), x2 = xotli1 (hotel), x3 = xotli3 (innkeeper)	jbo	QOLQOMSNQJTHTOSPLPONQMNPRONROKPPSOQRMMRPNMQLMPLQPSNPJSQOLONNRPSPNMJOLOMPLLLPNMPNMMPQONNMMNRQRNTPQPRQOSNPLKQOMLMKQMMVRSRPPMMNMLOONQLOOOMPJQMMOMOOQOMOSMMRPROOPOPMMQQRPNLOJOPOONLQSPJPLOOMLSNPONNORPOMQONORTOLINPMNPPONLQNNMMOQLLOONQLMPRIPUKOPLOTVNKPMQLPQSRMLOKMOSOOPONORNQTROMQQOMPHMOQMONMNLRUPLONMMQPNMLLMRPNQNRPNNRVNKMRPNROMLNPPNMPOPNPNJPOPROLQNOOROLNUOPOPMMOPQPQOKLORPQJOLMLTNOQQRRQLSQN
terxoi	te+xotli:  innkeeper:   x1 = xotli3 (innkeeper), x2 = xotli2 (hotel location ), x3 = xotli1 (hotel)	jbo	QRJQOLTOOKUGUOQOJPPNPLNPRPNQPLPQOONSLNPNOMPLNPKRPPNOJTRPNONNSQTOONJOLOMQMLNRPMOOLLNPONONPPRRQNSOROOOOQNPMLPLLLMKQMLWOSQPRNLOMMOONSJQQONOLPLMMMNNOPLQRPLPPRONPOOLLRQRPNOOKOQOOLMRRPKPLONMNTOOONOQQPNLROMNRSQMLMOKMPPQMLPOPNMOOLLOOPTLMOOGQSKONNPRVNLNLOLOOSRNOOLKOSPNSNONSMPTOPOOROPPIMNQOOPOOLTRMMOOMMRRNKMNLPQKOMRNONSUNJOTQMROMKMOOMNQPOOPOJROOPNNQMNLPONNUPQPPPNPPPPQOLJPRQPJOLMNTNOPQQRPKSRN
selxrabo	se+xrabo:  Arabic aspect:   x1 = xrabo2 (Arabic aspect), x2 = xrabo1 (Arabic)	jbo	POMMKNRMPMQJRNQONOOORMOQQSMPRLTTRONOLNOOPMQOMOQRQRNKIQQMMPPOPSPRPLPKHRLNPMLOSLQOMOOQPOPLMNQPWNRMOOQPNPOOLLNPPLNMOOORSNUKMKQOLNMONOOMKONRKPMOOQNPOOLNPQOOOPRMNPOLLQMOOQOOLPQKSPPRPNNPPOOPNSMQMNPMNORLPPMOSUOLLLQPKPTNLOSNMLLOQLROLMLONLUPNPOMMLRLOPLQOPOMROSRPRKMNOJMLKOPPPRSQRNQMLMPNOQQMPKPONULRLQMLOTOHNLNLQPNQQQQRROVPPMPNQPOJMOPNTJLOMMPMONOSQNLOPONNOKPTOOPPLMQPQQNQKPPTRQKLLRMPOPNMOURQRPN
selxai	se+xrani:  injured:   x1 = xrani2 (injured), x2 = xrani1 (injure), x3 = xrani3 (injury property), x4 = xrani4 (injury)	jbo	NPQNOPTQNNSJOONQKRLOOOMPRQMPRMNOSONPONMPNLNOPPQNPSLQLSSMLPLOROQPQOOONTQPNKKRSMPNMNOOOSMNNTPSUMSRSMRQPSLPNLOMIORJQMKSORRPQMMPNLMOOQMOKNLQINNNRLPPPQMORPMQMQPLPNMNMQMRNMNQKONMPKOPPMLQQLNQMRMUOMPOPONMPNKLQRPMKMLOJORQMNQPLMNLPNNOMONNNNPMNTQMLLNSPOLPQQOSQSTMNRLJNSOONMMOPQTXSMOSONPPJOPQOMKNMMRRQKMMKKQPLKONMQNOPNTTOOSXPMOTOQPOMMMNMQLONONNNLPNNRKLNMNQOOLLRPONRNNPRQOQMJOQSNNKOKRKQONQNRROOPRO
terxai	te+xrani:  injury property:   x1 = xrani3 (injury property), x2 = xrani2 (injured), x3 = xrani1 (injure), x4 = xrani4 (injury)	jbo	MRPOPPTRNOSIPROPJRLPQPNPQQNQSNNOPNLPNOLPNLONRRQOPQMRMTTMNQLPSOQPQQOOOSQQNLMQTMOPKNNNOTNPPUQTRNQPRKPOPOLQNMOMJQRIPNJRKQROQNLPNLMOMSLPLMLOKNMNPKOONQMOPSLPMQPLNNMNMPMQMLOQLOPNQJNPOLMRQLMQNTNSNMQPOOMMRNLLSQQONMMNIORRLOQOMNNLNNOONPPMMNNKPSRMJLMRQMMMPPMSNRQLPQLINTPNQLNPRPTVQNQQPNSOKNQQQMMONMRQOLLNMKPQNJNNMONMONSSOPRVRLOVOOPOMLMLLQNPNOONONPNMPLLNLONMPKKQPONPPPQRQNQLJORTOOKOLRMQNMRNQRNNRSO
velxai	ve+xrani:  injury:   x1 = xrani4 (injury), x2 = xrani2 (injured), x3 = xrani3 (injury property), x4 = xrani1 (injure)	jbo	OQOMQQSSNORKOQMRJSMQPOOORROQSMNOQOLPNPKOOLONRSPPQRMPKTRMLPLOSNRPPONPNTSPLKKQTNQNLNOPOSMOPSPRRNRQSLPPQPMPNMOLHOQJRNKRNQQNPNMPNKLONPLPLOMQKOLMQKPPPQMOQQLPLQRKOOMMMQKSMMNPMNNLQLNPOMMRPMMPNTMRNMPPPNLLQNKMRRQNMNLOIQQRLOPNKMNLOQNOLQPOONOMNRPLKMORONLOORPRPSTMMQMJNTONPMNOQQRWPNPPQMQOJORPPMMOMMQQQMLOKMRRMMOOMNNNOLSTOOSWQNPWPOROMLLMMPMQMMNNNMPNNRLLNMPPLNMLSOPORONQQQOQMKOQSNOJNKRMSNMQMQRONQQP
selxi'o	se+xriso:  Christian aspect:   x1 = xriso2 (Christian aspect), x2 = xriso1 (Christian)	jbo	SPOOOLSNQLTKRORPLQOQPLNRQQPOPNPRRPMQQPNMOLQOMOOQOQMOJRPRJQMLPOPSONOOHRNOPMLPQJOLPPMPOQQMNQQQTNSORNQRNSQQOKMLNKNLNNOSUSSMPMOQNKNOKQNNMNNRJMLMNRQOQPNOORNNPOSOSNOROSQTPMRPKQQMQLOMPQLQQMOMLSLPKMPLORMMPQMNPTRMJLNQJRQOMORNPONPQINOIOLPKMOMPPPMMKPPQQMPPPMNTORRRMKMMPOPKNMOONSVOOOTPMLNKLRNNNJLSNQNPKONJQQOJJMNOQONSOPQOQQWNNOQPQQONJNNOSOKNNLRNNONOQMPNPKMNPOOQORNMOOPLTSNQMRRQNOLNKNPOLNNOSQPOPRO
selxruba	se+xruba:  buckwheat species:   x1 = xruba2 (buckwheat species), x2 = xruba1 (buckwheat)	jbo	NOMROMPPMNUHONQQMNNOSONPPQNQQJQPRMQNNMSMQLRPMONRPSONHUSOKNPNQQOOQNLLKQPPPQLQPMRMKOONNONNNOPSTKMPUQRPOQNNLMKONNOLQPOPTRONQLQNKMKOPOLMOOLPIQJMOOMOMNPPOQPOPPRJNPPLKNQOPMOMQOQNPNRRROKNSQOPQSMRPQOLPQLNNMLNPOOKOOPKKRQNJLOOKMQMQNMOMOOOOMQKMOPPOKRSTPLKMQNMPTROPRKOPOLORLQMQQSVRONPMRPOKMMONQLMMMTSSMNNNORPMLOPNQPPNQRPPNPWPPOQPRVOMLNOQSKMSNORPQPNNPMNLMNPPLKMQRMQNJPPMPRPPOLQTPPOMKQLQKJPNQTQOOQO
selxruki	se+xruki:  turkey species:   x1 = xruki2 (turkey species), x2 = xruki1 (turkey)	jbo	PPOPOKQMPLVHMPNPMONMRPORPNMQPMMORQOPOMSMPKRPNPLOPTNNIRVNHOLMOQPONNLOMQRQNOJOOMPLNOPNNNMLLPSPVLSPTORQOSONJNKMMMOKPNMSPRQMOMPRNNKOOOMMMLOOIPJNMMQPQNMSPOQOOMPLOPPMKRPOQMNPOPPNPLQPRQKPPPMOOQLTNNOMRRLONPOMPOONNNPOLRPNHPPPPONPPMMOLOMOMOQNPSPQOLPTRSLNLSNOPSQNNOKJNQONOMOQOSQWSOPTOLNPNMPPOSLNLLQQTJLMNNPOKKNONQQQQNSPPORVPPOPPQTONJLPPQMOOOLQNNPMQSMNLMNMOKPOQOMOLLRNLRRNNNLQSPRKMMQMQMMNOSTPQRRN
selxrula	se+xrula:  flowering plant:   x1 = xrula2 (flowering plant), x2 = xrula1 (flower)	jbo	POOPMNRNOLVKOMQQLPLPTOMSSPKPRKNRSNQMNMOMOLONMOPOPSNNHRSPKSOQOPPQOMKOKPPOPPKSOOONMOLPPQMMMOQQUNQRTKQOOTOPKLMMKMOKMNKQPQRMOKPONKIONOMPNMOOJNKNOONOQNOSRQLOOMQLNOQMNSPOQMOQOPPNQOPQROLPROPPMRMTNPNLPTJMQPMMORRNNQPQLQPNLNPQJOROSNLOMPQONNQHNSOROLNQTPKOKSNLORRONPKLLONOMJPPOQUVSJOSMONOMMRMPOKOQKQSPLNLMQPQMNMNNQPOMPOMPMNUQONOPRUOLKOMSQLNRONRNNQMSSONPNKOQKNNQNPNPMNLPQOMQLOQRRRNLMQMQLLMPSRRMRRN
selxru	se+xruti:  returned:   x1 = xruti2 (returned), x2 = xruti1 (return), x3 = xruti3 (state returned to), x4 = xruti4 (state returned from)	jbo	PPNNMNRMNMTKQMOQLQMNRLLPRSMMRLRNPNOPNLOOPNPMOOPOSPOQKSSMNOMOONROSOMLJPKPPMMQRLQPMNNROPMMRRPQUNPRTNSPNSNNILNPLMPJQQNRRQQLQMRRPMLONQONIQNPKPKOPNOOPNMPSRNNPPPMONPOLQSRQOOOJNPNQIOOROLQSLOOOSLQLNMNORPLPQMMRRSLKLNLKPNQRNONPOMLQMNONOMNNMQONQPPNOQTRPMNQQNNRQVPONJKORNNMKNPOOTVQOJVOONOLMPNNPMOMKSRPLOLMMSLNMPNJRRPNPSOQQQVQNQRTQQONMNNOSLKNKQPOKRNONLLNMKTOOOMROPORLLOPPUPOLNOOQOJNINJMNMOPPRQOQPO
terxru	te+xruti:  state returned to:   x1 = xruti3 (state returned to), x2 = xruti2 (returned), x3 = xruti1 (return), x4 = xruti4 (state returned from)	jbo	NQMONNRMNNUKROOOLPNNSLLOQSMMSMQPLMMPMMNNPNQMQPPORNPQLTSNOOLOOPSOTQLMKQLPQNPPULPRMLLPPOMMTRPRSNNPRMQONRNOIMOPKNPJQQMROPPLQNQRPMNONRLPLQNNMPKOONONPOMPRUMMPROMMNPPKQSRQOQOKNROQGOOQNNQRLNPPSNPLMNNNQNLRQMMSQULOKNLKPNSQMNMPQMLQMOOOQOMMLNNOOQPMPPSSOMMPQLNPQTPRMJIOTNNPLOQRNSUPQLTPNQOLMONOONOMJTPNLNMPLSOOLQNIPSLKPRMQRPTQMQTTPPONMMNNRMKOJRPOKSPNLLMNMJRNPNMQOPPQMMOPOUPNNNQOQOKNJMLLNNOPPPPORPN
