@rowCount	3257
w	d	cache	s	q
ko ganlygau lo kanla	Close your eyes.	ko,ganlygau,lo,kanla,ganlo,gasnu,close,your,eyes		SKOPPOUPSPPJNLMRMPIPNQKNMUQNNMQMKNORNPQMMMNOQRMOQMFMQNSOMNQPPPMNOPQMQOPRMOMRQJTSNMMMMRPMNQNNOQMLOOMWRNPNNOPTNNNMLOKQOQSQPOMPOKNONLNRNNNPKQNMMOPMPSNMOMQONMRJOPMSTPNOOQOKOQJPROPQMOPMNLMNPQLNPPLONOPPROKMVLOLSQRNUOMNRMNRPPHMQJJONNQQLMQOPNSNRQRNTQKSJOSMPOQMOMSKNOMRONORPOOPOQMPLPLNNNMOPRPLSOJQQONPPOMNMPNMPNMOPOORNPRMPQHRQPNONLSMQPMQLQRROSQMPPPONMSRPOPRJQTPPLOOQRPPMOPTLPXMMQQQPPNJOPMNRONM
ko ganlygau lo vorme vau .e'o	Shut the door, will you?	ko,ganlygau,lo,vorme,vau,.e'o,ganlo,gasnu,e'o,s'ut,t'e,door,will,you		PQPQNLQMQPNNPMOQOPKRNSSMINPPKOMKNLQRQMSMPONNOOMNQLIRNPQPRNMQNPKTSPOLNQOOSMKMMNPOOILOIPUPMRMOOPKKNNJSPPNKPPMRNKNPQQPNOOSRRNMRPIMOPNOQPQLQNOMLNSRTPPMNQPPPQLPMQQNNQRMOLQLJOPQTNLQOMNMPNRMLQNPPKQQQMMQLRNNOLPNQQORKTRMQTPNNOONNRQJOPPPLNMJNQTTNTOSLUOLOHMKPNOUQNOQIOQPOPLMOQRORMMPOQOORPPOOPMSNNPRRRLNRQMQNMPMOPJLNQMPMRMPPOSMRQJOOMPQNQPNQMOPPOOMVNMOMQMRUNOMONSOOLOJMMPOMONMROMSMMRKOPNSPPONPTNNL
ko gasnu lo nu lo fetsi ca'o gleki	Keep her happy.	ko,gasnu,lo,nu,fetsi,ca'o,gleki,le,keep,'er,'appy		PRPMNOSONOPLPOOSPOJMMLQQNQQOPNPNPPMQKNPOKLNOJPSQQNNPJNRPPOQMOVPPPMPPOTPSPPNSSOTTLMQOMLNLLMNMSNLLKONSNUNQNQQSQNOPMQNPPRPMONQPMLNOOMPROURLLOJQMKQOMPNRNNRMQNUPLOIQPNOKMONMPOOPMTRQNONPPPLOOLRLQMMKRRRMOQOSSOKPNLPJQOKPROPOJTQPSNNOQPJOLOLONOUJPPMMRNOPLPNTNOOJMNPOLOOKONMTQNPQRTTOOSOKMOTMNNOJKOMNNNONNRLQMPLNMLRPKQQMONOQPNNQMLPOQOLMOQRLPNQQPPNPTQPOQLRRKNPRKRRMPMOMSPOSNPNPKOSJPQPMOQNMPOMUOQQQ
ko gasnu lo nu lo nakni ca'o gleki	Keep him happy.	ko,gasnu,lo,nu,nakni,ca'o,gleki,le,keep,'im,'appy		QUNMNNUOLMPONSQSOPKLMNPMNRRPROSKQNKOKONLMOOQKQTOUQNPONRRRPOMOTNOQNNPNTORQNMRPORRNLMMMLOLJPPNTMJNMRITOQPRMRPUPONPMQOONSONQPRTLMNORMNRMURKLNKROOONMNNOKKPMSPRONOISOPMKMPMMPQJRMSRQOLPOOKLMONQMSMOMOQPNMOOQPJMMKMNKPMKOOQOPLUOMRQPOOQKNLOLPNOTPQOMNRPORQQNSLNMKNNNNMOOLNQMVSMNQSRROLSPOKMQNLMMLKORONQNPOQMNPNLNMMQOLOPOMMPOPOOPLNSOOMLNPSRKPPPQPOPNSPPPPOPSMLPQMRQOOMRMRQSSOQMOIPRNNPONOPRKPPNRQRPP
ko gasnu lo nu lo za'u mei ca'o gleki	Keep them happy.	ko,gasnu,lo,nu,za'u,mei,ca'o,gleki,le,keep,t'em,'appy		PVONONSNNOSNOPNPMNKLLLPOOSPNPRPMRQKQLOPMLNPOLOSOUQPNMMQPQNQPOTNNPONRMTMQQPMSNNQPMJONPNOMLNNNSNKMMPLVNROQLPMSRNLRPRNNORONPQSPNNKOOQPSLSOKMNIPPLPLJOMRLMQPQPRPNOLOOOLMONNLQNLRPUROLNQQOMMNNNPLSMNJRRSPOOQSPLLOMMQKSMINPONMJTNNTPOOOPGNLOMOORPLPPMKTQPOQRLTNPOJLNPOKOPLKTLTQNLPOSUMLSPNMMOLOLPMKNQPLNNONQNMNNLOKMOQMPQRLNQQOPNQOLOOQOMPNQRNPPSQQOSQTPOPONPSLLPNLSPMONSMQOSSMQLQKPQONPOMNROKPQNTPSQQ
ko gletu ko'a mu'i lo nu do cinbi'abi'o da'i kei na ku	Don't sleep with her, because you'll catch an STD.	ko,gletu,ko'a,mu'i,lo,nu,do,cinbi'abi'o,da'i,kei,na,ku,cinse,bilma,binxo,don't,sleep,wit','er,because,you'll,catc',an,std		OPONPRMROPPKOQLQPSPROPROMSRLNPMOLOONOPSRPONMJSMQNJRNLQQOMLQNNRROOQNSRSLSKPNQPKSQMSPQPSRMOMPLMOPOKMMQLQNQOOPMPJSOOOOPTRNKLKOQNIROPMONPQPRPQMLMLSPPQNPPKRNNLQONOLQNOQQPOMOOOMONPOKOJORMQJNSNQQMQNQLKUMOMORQRKQPOTKQLKOPQNNNOMQTLOOQLPJNQNOKNQKPSVQPOLSJMPUOQOMIOQOLMPQOLQNRNNNPSPPSTMPNNMJPPNQPNJPPKPNRNLSLPMJNMUOONSPOMPMOMKRPOPONMOMOOLLOMPKPPQQKQPNOPPPMQVRQMSLNRPNRMOROQMPJNQINROOPTMLOLNRMKQR
ko jai gau na .akti fai lo ve tivni	Turn down the TV.	ko,jai,gau,na,.akti,fai,lo,ve,tivni,akti,turn,down,t'e,tv		RQQLNPPPSOMONOKKQMMRNNKPPQPONNPPQPKKNOPTPMNKMNOLSPMRNQQPOSROPMPQMRQNOQLQTNQLQITPOKJQLNPOPNIPQRNMNKLWQOQPNLQRNNLSNQPPRRNHRMLPOKNOONNMPRORQOUPKMPNQONNRONPNOMLLOOONMPKIROQKQJPRSVNKPONOLOOMOQMQPPPLMTOMNNROLMQPNNKSNQOTOMKLMKNRMNOQOMNNKRNMQSJPLRLRPLQMQLNNPRTOONMOOKSPQLOQROQLQOOPPOPRNOPQSQQPLMOOROQRRNORIQOKQNMPKPPQPOOORNNQPROKISNPOPPPKPOQRSPJOOSNLMRSPRPPPMOMLONRNROOMLRLQRPPNQQQORMROJROONO
ko jai gau sepli fai mi	Leave me alone.	ko,jai,gau,sepli,fai,mi,leave,me,alone		NSPPTMTQQLMKOOLSONLOLPLOLPQOOOSPOOMNPJOPOMOOPQNOQOORKQRNOORLQPQOSPOSNQPPNPOPNJTRONLMMPQNOMNRQNNKKPKYRPMPNNNQNNLPGOOPVSRONNOTJJKONMOPSPNOOOONLKSRQNPLPORSKOOLTPORMQOLLONLNPMNQRRPPNNQNNPLOQQNQQJQOLOKNPMPOMMLRMNNQSMMTQNQOPINRJLOORNMKMPRPROLROTORNILLPNNMLRONOQOQLNNQSOQMLNQPPORNTJQNLMNPPOIOMLORMOMNONPPNNNLMPKONQOONSOOLPOQNPOQOPNOPNQPSQNPQOROKNOKPPNNLRRNPORKOKPOQMPMTPPMOUKMONONSTTQOMQTOPN
ko jai zu'e tirna ca lo nu mi tavla	Listen while I talk.	ko,jai,zu'e,tirna,ca,lo,nu,mi,tavla,listen,w'ile,i,talk		PNNMOOWMRJMNMOPPOSLMMTNPLRNNSNQOSQJPNPQOOORMNMKOPPHONSQPOPPNOLONNRLRMSNSPMOPRIRPPJMKPOPNOOKOLRPQNPPURPNNMLMTOOMOKQPRRPOPRRLONLPOPLQRPONLMMQOLNRMIRNMRLOSSNPKPQMONNPMOSOMPMMLRPNQNPMQKPOMNQRPPPPMQRONQKLNNPNPPMLQSPNRSOLMMNKSSIMORPSPNROOIQOKPPTMROPTNNSOKKROOMPOJLOQPMPNPNNNPLORJQOOQLNPQOPNOQKLQOMMQQMOLOMRILMNOQNMPQPMOKMQLMNONMRLNOOLNRSKPUQMPOOLSONROMSSNRPTJNMKSLOQPSQPMQRNPOLOTPTSPNMPNQMO
ko jarco	Show me.	ko,jarco,s'ow,me		LSQORNRSPMMHRQNNSPKNNSNNMNMUPLPQSPQORKPPPLOQOMQTONMMNONNOSOPOPPROOQOMPSPLKNPOMQPLMOPOOOLKOMPLKLOOOP[QPOLLOORQROMNQQMTRQNPOQQKLNOOJPNNRNNNRRQMNQRQMNNMQOKQNRKQMOTQONOQMOQONLQNRTPHPPQLLNPOSORNPRSHORKPPNPSOPKPMORSMMPTNLNNNLOVMKOKOMOMMRSNSPMKOQOROOPLRLOMOWMSPTNNLOQOOOQONPQPOQONPIMNKJKPNPNNOOJPNKNOMONPNQRMORMMOONOMORLMQMPMQOKPUPQPPOOLQMNPSNIOLQNOROMNNRNQNPPOOMNSPSKNROJPPLLMKPQOQQRPNRRQON
ko jarco lo fatci	Where's your proof?	ko,jarco,lo,fatci,w'ere's,your,proof		MRRRRSQOPORMTSNMKMOJLLQNRPNPMNPPNPPSSNVMRKPOKSOQNLLPKPNLQQQNURIQOQSPIQRNPNMNQNQMNKNOPOMKPRPQPKNLLPQTMQNOPPMOPOQQPSPPQONPQQNTNOMOSNPQOQLLQNQROPOSOMQPOJNMOORPSPKOSRPOPNMPOQNLPMMNNPNMOONOJQRRMQNPEQNNNPPNPOSKMLNNQQPPQONMLOJNTNMOIKSQOOQNLPRPPOOKNOOKQSQTNKQPPOMPNKMKPQNNPPKOOPPNTOLNQMOMPPLKOTMOPMKSQQONLOOUOPQROOLPRMSLLQNKJOQONPTNPQPLQMPRLMPNJLNNMQSIMQNQMNNORMSOPTPKMNQMONQMKNNNPPOLNOMQQSRP
ko jarco tu'a lo tadji	Show me how to do that.	ko,jarco,tu'a,lo,tadji,s'ow,me,'ow,to,do,t'at		OPMPNLMQNOQIPQNOJPJOQNLMQNNSQMPQQNMMNOQMPPPOQOOSUPNOKONOOSPOTNPQQLONKQNOMINNNNOTNNQOQRQLNNNOKNLLSOSTQOLLLMQSNNOPPOOOOPOJQPKNKOOOONQOKPOPMSQOOMMMOQPLLMPJQSQLROQOKPLPRPRPMMLMPMROOQQPLNPPSOPPPOTOINOLONNNRRLMQNMROPNORMMPOOINRMLOJNKNMPUNNSRPLOSPPRLPLQOQONSNRQTNOKOOQOQPRNMSPPVMLPOLLMNLTQQLQOTKSKKQKPLTRPPKNQSMPNNMNKPSMIMQTKQOOMUSPSOOPLRMNPTLKONMNMSRROMOQOMNPLNQMSQNMMMPLPNLMOOPRMPOONNROSOM
ko jbera na gi'e nai terjbera	Neither a borrower nor a lender be.	ko,jbera,na,gi'e,nai,terjbera,te,neit'er,a,borrower,nor,lender,be		POLNMLLLRNRLPNMOLKPRNMPMTPOOQPMNMORPPPPOPKNLNQOMOOMONONSOPROQQOOUQMNLLPLPOQMSSRPJLMMKNNMQQOQRLPPNSKRQRPRPRQOPOOPRMMOJOQPOPNQMNNOPPQOKQNPMOQHNLUSNKNPPROONGPMRNNPSQMMLNKPNMPLPLPOKRNOOOPMOQLLLNPMMRNPPNKOQUNLOQSSPOQUNQPLRQNOLJTONPJNPNQNOMOOQORQOPLQNRRQJPLPKQNRNNMNOLJMPRQONNRJQQLRMOPNULTPOQNOPNMRRMQLOKOSNPPHOSQRPMRKONOOQPPOPPMPOPRJMVPPJMPMQMKRLQMRONQPQOOTOMLPRSLNMOJQRQNMPNNOROQLNRNNVNQL
ko jgari loi ckiku pe lo karce pe lo nakni	Take his car keys.	ko,jgari,loi,ckiku,pe,lo,karce,nakni,le,take,'is,car,keys		QSPKMPUNPNROOPQNPNJONNNMORPQPPPLQPLMNOONLMOTOQNPUOKQQNLRQQPQOMNNNROKQVPPPMMLLNQOLNNPMRNMJRLJQLOQQNLVQRNONSPOLNONNPNPPSOOOKMTJLPOPPMQQRQPOOOOPNQPOQNGMLRTROMOQOJRLPOPPPMNOPKNNORORMNKMJLNQNQQPPRSOLNPQOONMLNRMNNLQQQOORIKPPJMMKMOPNPQSPLNQPMSUMSOTPJRONQQKOOOOOMMPPNOMSJSQMSQOQONNRUNLNMROPOPRORSMJLPOOPOQLNONMNJRMQPOPRNOMPPOSPORQOMNQKLMQOQOPMNNOMOONSSRNOTUOPQOMQIPSOMONIPGQQPLQMLOOROOONMORMO
ko jiclygau lo stasu	Stir the soup.	ko,jiclygau,lo,stasu,jicla,gasnu,stir,t'e,soup		KNQPMOMJRJMJPHPNNNKQJPOORROSPOROMONPQONQOOPMQPKPSNHNJNOQQLOQMMNSSNPSLQNQOQMOOKNTOPOPOQOLLPNMOPRRPLKVMOMJROMPNKPOQPQLQNMOMLJNMKOOQNRTRQPMOQOQOPQMPRQNPKOOMQOOMQMQLNNKNQMNNOLOQSOSSMRNOONOPPNPRQPROSOORQOPQSONRMPMVNNQQOKPSTKLSLFOQLKOPNQQRQRMROTRRQMOLIPPQORQMNRIMOKVQKOQQOOTPONLLPRPQPNPPJNMNONQOONKLOOMNKPQNONNNNPMLNROQOQNQOROQNQQNPNLPSPROQNMMMMPSQRORNMPNRLOIOKMPNPLLNLNNRPQOROPSSOPNPMPORRN
ko jikca mi ca lo bavlamdei	Contact me tomorrow.	ko,jikca,mi,ca,lo,bavlamdei,balvi,lamji,djedi,contact,me,tomorrow		JOTPOKRTLNJKMQMPOOHQMPNNKONMMQMTLPQRQNQQNNNPPNOQSPJKOOQTNRRPRQMOPROTNNOPNPOPNNRQMLOOLPOSOOPNJPKNONMVQRLPNNMRMKNQJPRPTRSNOPOONLMOPNPPRMOOPMPOONMQRLMMQNOONNPMVOORPPQTLLKLUPMJQNURSOMOKNNLMNNNOMNNKLNLRLPQSPRPRMNQRRLOXQSQOKIMPONORNLQPMOTNOLQSOQMRMNMKSNQOPVOMNQLNSORRNQNPQNQPPQOOQNNQPRNRMLONNQNRNKKPPPQMMOOQPNOMRPQQNSQPMKQPMNOPNNRPPNNOOPNPOQMNJLOPLPORRQRMRLQPKNILLLOOKOPQNRLLPLMTPOPPPQMPKMN
ko jmive gi'e curmi lo nu jmive	Live and let live.	ko,jmive,gi'e,curmi,lo,nu,live,and,let		OQPPQPRKSOQOQQOQLQKONPMNLTNRRMTPNMKORLPOPNQPOONOTNMQMMQTOPQORPPRTOPQNOLRLMMRPJPQQLKPKLPQQNKPRPLNNPLWOMKONMPQPQLPLPQLPPPLOPOOOMPOOIQQMQMQMMRNNPTMJONPNPNPNNQMOONQNONNHRNLOOMOTRRQLNNOQNNMMQNLRNQPRPOKQPMNOOMNPKLNRNNPWRLLMQOPTLOOMOQONNLRTSOLRQMLONOQLPJSLRRPNOOLLPNPSONPMMKQRQPPMNQPMLQIOQQLOSPRMPOKKQOILLPOKMNNOMNQPONNROQQNMLOSOMOMQRLQSQOQRQQKKMPKMQNMKRTMPPOLQLJRRPMJSONKQPPKMMORQRQOSNSTMSO
ko jmive je cu cilre	Live and learn.	ko,jmive,je,cu,cilre,live,and,learn		QQOQQQQLQPQNOONOIRLLJOMPMUORSNQPNLKPSMSOROPNOONMSOJNNNOSLQQORMOSRPPRNOLSNPQQPLRPQOKPNLPPQNNNOQMNMONXNOLQLONSRMNPNQQPNPNOPQOOOJPORLRRLQRQMPRPNRSMHRQQNMONOMQMOOLQONOOKNNLPPNMSTSNMNMLOMMRONONPOORRSOMSMNNQPOMPLOQSNNOVQOHOSOMPMPOMPPQMOLRPPONORPKNPNQMPIRKPPRNQPLLMKRSOMQPMKNOQQONNPQOIPJOQQOPSNSMONMMQNNLJMLJPNNNKOSORNNRNOQNLMOOOQNMSOOPSNOTQPQNNLPNMQNLJRTNRNNNMOKPNQNHOQMHQNOMNPORQSMPQNURNQQ
ko jo'u mi klama vau vi'o pei	Come with me, OK?	ko,jo'u,mi,klama,vau,vi'o,pei,come,wit',me,ok		OOQRLNSPPONLPPNQRLGQJONLMLRRNNNQQQQOPMSRONMQNROPOPOPNTQQLLPQOONWOQMPMRLOPPPNOKRNRMLLOORSOOKPNOSMNMLPRQOOONMOONONLQPOPNSQRNNUJLROORROORNLJMOOLPLSTNMMLMOSLNONSPMOJSQNIQMMPPMRLRRNPPMPQNOMOQQOLSOOQNQNPPOLKRMMQNPIQSNPTPPPONJPSMKONNNNPPROPOPMRNVPRMONMOMOMORNPPPJRPNOQMPNLMNSPMMQQROPNPKMQNOKMOPPSKNSRRLMMQPOMMMONOQPSJQQNLSOUPPOPNNMQPJOLPNMPONSJKMOKORSNNPTONPQKMNLJNMMNQRRKNPKIQONQPTPROPOTLQN
ko jo'u mi klama vau vi'o pei	Go with me.	ko,jo'u,mi,klama,vau,vi'o,pei,go,wit',me		KPNOPPYQQMNLNRPSNOJOHNMLNSONLQNPKNPMNFRTMQPSKPNOMRPPPQQSKNRNMOPORQPOPRROPPOQPOUNQMKNNOPPOPOPLNPPMQPTQPPQQPNOSRORLRNNQQPNOLMSLKOONQPNOQONMLMMJONPSNNLOLRQLMPIROMQNRQNNOMNONJNORTPOLMQMONKNPSNQQMOPQOMTRPNPQMOQKROQPKOUQPMRMKQSOPOQNMONNNMQOQMQNUPRLNOOOMLMQRMMSTONMRPQRPMOLOPPQPPOPPQNPNKROLLJQQNSONLNPINNQQMRMONQQPQTLNPOKMMTMNOOOQORMLNQQQMNQMRMNOPLLQPOPSUPNOPMNQKMPNMQMPPKOSHNPPPPQMPORNQTHOL
ko jorne mi ca lo se djica be do	Call me anytime.	ko,jorne,mi,ca,lo,se,djica,be,do,call,me,anytime		GNPOMLSRPLMLLPPQPNNPOPOKKMOOQNNUQPPRMLNQOMNPMMKNPOMNMSQSNPPONQLMMQLOOQMSNNOQLOSPMNMOMOQQQNKSOMKONKNTPNLTQPKSQMNMNQQPQOTLPQNOMJPOPQQOSNPNNNNNNONOQMOQQKOSPLQMUOQMPQOONOILRPLNONRRTQLQLNLLNRKKRMNKMNMMNNORUQQORMPQRRNQWQONOPJQQLIOSLSRNPNTNQQQPLTPONNPNQNPNOSOSRNOKRQOTPQMNNPNONRQIONPQTONTKNOMNQMRPLHMMNMMOONPOONLPRRQQTRPKKRRLPOONRPOMRNPOQPOQNOQNLOMLOQQOORNPOSNOPJKNMLONPPPNRKMONNVONQOQTQRMLM
ko jundi	Be attentive.	ko,jundi,be,attentive		QLNRSPYPONOMOLLPTOKOMROQQNKLPOMOTQLRMRPMNNOMPNOMPONPLLLNMOKOOLKPSOSNIOROUSSOQNOSOLOMNINRLRMQOPNOPMMVOSONPLJNPNKLOMNQONQKQOLROIOOQPNUMRMLQNNPNNOMMONLJPMOOKPLKOMOOOMNMQQMRRNPRRRNJROMTQLPORPMRPNLKPMLOPLRRPNPLOSKPOOSOOQONSMPQMNOMOKRLPORKPRNNMOOSRLQOTNMLQNJPNNOPKMSQTGRQNMRPNNKOQOLSNOOOLNKNOPLROMQPPMNMOOMNOPMNPPPNQRQPOOTQNNOPOMNSOPONMONROSOONKSRRKOSPORORRQJONOSKRQPROUQOPMNOMPOQQMPRNPQOLP
ko jundi .i lo karce cu klama	Look out! There's a car coming.	ko,jundi,.i,lo,karce,cu,klama,i,look,out,t'ere's,a,car,coming		PPOPPPNOOPRLPNMMPONOOPKOLQNQLQORKOTMQMPLMMONROPOTKMNRMLQNLOPPONNMOQPRQRQPOMMTKTNPLOONOPONRILJNKPNNOSRRRMMSOSROPNPNNPRPOSOLNRUKNOMQQSPNOQMQNKMOORLKMOLKQPNSPKPPOUOQMLIOMMPNJPPRQMOMNOPPKPPOOOLTONOOOMNSNPNMORNOOORPPOWOLJOQNQPNQOSORKQONOPSNOTOQOTMMSLMQPNORPKNLMOOOPOLLRMNRRKORRNRRNNRNORPNQMOMRPGNPRPRNKONRSKPNLOSSROONQOLTORKONNQMPPNQJLPOPSPOMNJNJOMTQNKQOOPSMMONNRSINNMRLNOKLNOMOQQMNOKROMQQ
ko jundi je cu cilre	Watch and learn.	ko,jundi,je,cu,cilre,watc',and,learn		PNNORRQLRPPONMKMOQKKLMPQMSNRSLRNPOLOPNQNPNNOQPNNROINNLRRNPPORLKQMONSOOLSQOPOPKRMMNOOPMQOPMMONOPRNPOXQQNOLLMRSMQQMRQRMQOSRPNPOHOORMORKQQOOQROLSSLKRONNKOLNMPMQRMQMOOKNQNKOPMKOQTOLNPLPLPTQPNNPRRRPSQMQOJQSPOKRNQQSMPPOOOGQQNMRLMOMOROPNKPOQMKLSPLTQMPNPONNPQSMMOMMPKSTOLQQPNNNNQSMONONHNNQPPPNMKSMQMMQQMPIHNNKOLLPLOQOTQOQNMQONNOMORNPPLOMPPMQRSPQPLQSNRPMMNRNSORNKOLRKRNLORQIOQMPMQOQOTORNLTQOQN
ko jundi lo pinfu	Watch the prisoner.	ko,jundi,lo,pinfu,le,watc',t'e,prisoner		MOKOQTSNTOPONPMLRRONNJSNNQNRNOLOOPMPPPOQQPPPNNNMPNNQQQNMQOPLPRNQROPPRLKOPMKOONQPOHMNPNNLMOORNMPPPSLVSROMQLROQMPQRRQRMOPTTNJPMNQOPKMNMONMORKHMNMRLQRQOQPPNMNKQOOUNLMIPQMLPQNPPNPNMSPNKNLRPPPPOQQOQOPMNPJQSNKPQNKNRLQSNONJQOQKSKOOOINLROJNNQJNRVSPRPNSPNONQORNKOONLPKRUMLONNLMOONRLPMSMLPMLOPRLQMNPOKNMPNNMMSOQQNLQLQPPTVQMLRKPLSONOQOLRMONPOLQPRRNNLPMORQQNOQRQORLLONRORNLNOQPPRNQOQMPPVPQPMPQRPK
ko jundi lo crane	Watch the front.	ko,jundi,lo,crane,watc',t'e,front		QNONTQNNQQMOOJKKQQNOLLPRLQMQNLROSQLPQOQNQNPQOPTOTMPKOLPRONPQSOLOPJQNPMRRQILNQNSNOMQRPPPLLNKMLNMONPQZRORRPOQRNNOPRPPKPOPLROPNRIROOPROLQQNRTSPLLRNNOKMMMMNNORLMROSORLJLPOLNRLQNQPRNOQMPMLOQOOOQRNTKPPMPQLNSPMPPPPMONQSTPOKQQKLUNLOOPPLONPPMTQMOUSLROKQKOONMMSPKKMKNQJPPOKPOOPNLOMQMPLQPNNOQROQMQNPQOKNPPMPMMRTLPPOPLMPNSRONONOQMSOKNRNKQNMMNOPQNPOMPJPNPRQQOMNMSRPMMLPMRSQONOSKPQMNLNLOOPPQOKSSQPR
ko jundi lo du'u lo plicme .e lo japyvla cu drani ciska	Check that your username and password are written correctly.	ko,jundi,lo,du'u,plicme,.e,japyvla,cu,drani,ciska,pilno,cmene,e,jaspu,valsi,c'eck,t'at,your,username,and,password,are,written,correctly		QLOMMMPISOPOQQNNONMMNJMNOOMSLPOOPOSNOOOLKJOTPRNOORQPPMJQPSSMPPNQLRMLOOMOISOQSKQSKNMRTSOMLMUNMNNPOQMSOMPOVOUPQNQLPTQQLRLPMMMLNKQOLRQRKMPMLOPNPNOPQOOSOITOMPPOPOOLNONMTONMNJNOOQPQRRKONQMOONLKPPLKPKNPQPMLQULOOQNSOPOQLQNQLRPQSMLOJOPOQNLPMOTRMNQQNPMMLTMPPPPPOPTRKTPKQONNPPMOMNOMMRQMSLORQKRLLPNQPNPSPQLOQORKKQNPTOKPLMQPOMOOLPNOOKQNQQNILMMNNNNIKOMLNNMOQRPPMMOQRJLSQOPLOQQPKPRQPMONPRNNPOOMSTNL
ko jundi lo ko'a se zukti'i	Pay attention to his advice.	ko,jundi,lo,ko'a,se,zukti'i,zukte,stidi,pay,attention,to,'is,advice		SQNNNORQMLMNNQQQOMINOLPKNPQQORRNNQKONUPNNONTPPPNRLHHNMOPNQSMOPJMPTNONUPQQPMPNMPOMPMNPNPLORNMQNMVMNHTPMMLNRPVONOOKOQQPONMRPQTNNNOOPPQOPPMPOSPPMKONPMLNLROOOPLSOLTMMNONNMOORJPNSOOPNPMRLLMPOQQVKNRJNLPPLOTQOMOKOOPSNJONOPRQMHPNKPOOPOLPOHOSPQPQOQKMLLQMQRRLPRQLMLNQNKOMONRRMOKMQQPMRNOPMNNQQMNPQOPONMJQONRPMSPOMPKPNONOPTNRKKOPRROMLSOQPJOMPOORQSJROJNOOSQQOQUPRPOOLPMQQRQNNQROQRNMMNLPOQNORKMOONQ
ko jundi lo moklu be do	Watch your mouth.	ko,jundi,lo,moklu,be,do,watc',your,mout'		OINLOPRPRNNINONLRQMKRRQOMVMNQQNNQPMPRQQQNNQOOOMPPNLLRKKPPMOPRLOQJQQRMPNOPOPOTIQPLMOPLNOLLRLMLNOOMOPYNNNMPNLOQNPQQQOOMPMPPMMRQLPOMNPRJSPOOQQKKQPQLQNONKOONLNJPOLQPNPIPQKLOQJKNPMOPLSQRQNNNQNQNPORMSOOOONMSLNNTRPRTLQPQNLHUNKNTOMOMRSPPOLQMOROPOSOSPMQNQQNMPPONMRMJPJPOMKNQQQQNPQPNRKTOMMNSQPMKOKQQOOOROMRMMPPKOMNONNOTRPNNQJPNMUONOTNNMKLOOQPPQRLPPNNNPPRNMPVNQRTMMPOMPPOMOPRHQUNOPORPQQPPPORQNPL
ko jundi lo stedu be do	Watch your head.	ko,jundi,lo,stedu,be,do,watc',your,'ead		QLMMTRSNTOOINNLLNPKLLOMPLUMOLNRMMQMQOOQMNOPOPPMNPNKNQLOQPNPRPMOONQLONRPPOKOPQJSPJNOPOQOOKSMNNNSNLQOZRNNNOPNQOMQNORMPPRMNSOMNPLMOONPPLQOOOPPMKQOMMRMOMMNNONNKOQKRNLNMNRLPPQJNNSOPMPQPRMQSMSRQRPLPNRQQPPOPUOQOQOPNVOPQSNMNNONNTKKOMMSPNNNMNRQLMUSKOOMQLRRNLORONLOMJNMQPPLQLNRLNNOTNSLRMJKOOQOONMJTPQMLQNMQKLQPLPQMNNNORPQNMLKOMQOONMSOMPOLMMPMPSPOPQMMOSQRNOQUMOQTLISLPQQNLORRLPUNMNRQRQPQQNJRRORN
ko jundi lo trixe	Watch the rear.	ko,jundi,lo,trixe,watc',t'e,rear		NMPNPQPMRPPOPMHLTQOOKLRQLONSNLONOQLORQSNOLPOQPROUNRNPMQQMOOQSNNONLNNOPQRPMMOQLQKOMPQONQLNPLJPOMPNPQURQRQNOORPMOSOTNKMPPMNOOPTIPOOPQNLQQNPPQPOKRMMPINKONMOOQOOQMSOQNJKPMNQOKPONTSMMQNPNLOQQLPOQPPJPONPRMNVQNQQOPNLOQRVNNIRQMORNMOPRSMOJOQJQQLNRTOTPMPMOTNMPTPLKOLMQLPPPKOQQOPMOQQMOMNPMNNQSQRMQPOOPLKOOMPKMPPJNPONNNSLTNPNLPPRQRONPROMONLLLOOSSSPNOJQNNPUOPPPOQQPMOKNQQQROKPUKMMNNKSJQOPQNNITORPN
ko jundi lo trixe .i mi ba jundi lo crane	Watch the rear. I'll watch the front.	ko,jundi,lo,trixe,.i,mi,ba,crane,i,watc',t'e,rear,i'll,front		OKOKQQNNRPONPNILUQPPMLQPMOOQMMOMORLNPOSNONPPOPRMUMSMONOQNNOPSOMPMKPNOQQRNKLNQKPMOLQPNOQMMPIMNOLPNOQSRPRPPPPRONPSPRNLMPQMQPPOTIPOOQQOMRRNQQPOLLPNNOHOJOMNPNRNNRMROSNKKQLNOQKPNMRTMMQNROLQROMQMRPRKPONPQMMSRNRQNOONOQSUPMJSPMNSNNOPQQMOKPRNSPLLTRLTNMQLORONOUSNLOJORLQQMKONQPPMNRQLONPONMMRSQQLQOOPNKMPNNPLMTRLNRNPNNQMUOOMNNOQLSONOTNLQLLKKNOROPRNNJROPQSPPMNMRQOKNLNMRRSPMOUKLOKNKPLOOQQPNJTQSON
