@rowCount	3393
w	d	n	t	g	r	q	v	s	b
tendo	$x_1$ is the tendon/ligament/sinew attaching body part $x_2$ to body part $x_3$ in body $x_4$	see {xadyskoterjo'e}	experimental gismu	tendon	tendo	KOOPNNSQRNVOSQONMQLPOSNPKOPPONJRKRMPPLMPOLPKPUNROPNOOSRQKLLOSQQQNLQMMOONMQPOTMQPKOPRLSMOLQOMPOOOPNKOOOTRLKLQROPONLMNMQOPRPKOLLMOOMPJHNMNLMPNLSNPKQLOPQPONNPMKOOQNNOKPMNOQKKMPNPOQLQQVMRNNOJQNKPQNOLNPNNMSTMNMUPQMOPOQPRKMOJOLRPOLROPNMQSPQNKJLRRNOKSPMOOQOPLNPMLNMNNNNPMTNTRNNOMLQNOSLPNNOPMNMOPOQOLLOOROMPLMLMQMMNNOLPVONNRLPPOPOPJORQQQOOPQOQMKRNJSOSQNOMQJOTLNMLRTMNQOMQTPMPPNMRNOLJPSPOQQSSQ
plizilpla	$x_1$ is intended for use as $x_2$ (ka)		lujvo	intended for use		NNRQNNSMTOWOSSTPQKOPOQOONLMOSRMSNRMQRLPNKHQONQMMOONQPOROLQONNSPPLLLLNRNMLRKQVOOONQPOPUKKQOROSROJPOKOPQMPMMQOSLOLOJKPJLOPMNJOOKOONPPLMOMOKMQPJSQROSNOPMPOLTSPPQOLNOKPNQNQPROPPPOKMJQRPRRLPOLNNLQQPMQONMNPQRLJOPSOPMLOMNSKOQMOMOJOLSLPKLUKPOLLLNSPPMJQONJQRPOPMNMPLQNKNOPLQLNUNONLROQIPLNRNMMNQOPOKOSPOLOPMNLOONNTKPNONLOTLOMNOTOOMORMMNNMRLPMMOOKOONRPQLNNSMRKMQQQPPOQNSNRMMRNQQQNNPMPNRRQPPNSQRN	pilno;zi'o;platu
plonebrespa	$x_1$ is a frill-necked lizard (Chlamydosaurus) of species $x_2$.	Cf. {respa}.	lujvo	frill-necked lizard		JMOPJKTNOOUJSPOOOMNQRTSRMMMOROMQLPQSQNQRLMRQLOLNOLMLMNOONLQNMRTSNNMMPPOOLLJOUKMRNPROQNPPIORRQOLPQNLSOLPRNMMOOLNLMSPOLPONNPKLPNJOQTPHNOKOLRPPLPNOKSMNMSPMLNLNNRNLMQKLOHORPMMRKPQMMLMQOMMLNNONRMOLPJNPQNOPSPQMROMSOPOLPQSLSQKLMKMOPRPQONRTMMOPPKVOQNNQOMLNPQOMPQMPMONOMMPRRLQSPOPQRKOSTNROOLPOOLNOOPMMPOPPOMOQHKORQRPNQMOSMLNPNPQOQPRLPQOLQPPMROMQOQQONOPNJTRQOOOOMOPPMMQOSNNTPQQOMOQONPOPQOHOPRSL	polje;cnebo;respa
plopijne	$pi_1$=$po_2$ is a staple for holding together $pi_2$, made of $pi_3$	Conceivably this might include a paper fastener as well. See {plopijnytci} for stapler.	lujvo	staple		KNNPLKPNQMVOTPPOMOMPNRPOPQLMROOLKQSTRNPPOGQKOPKPKPLPKOSSOPMNNTOPMONQNSNMNRPNSNONLQORNTMMNOQMRRKNPOKOOPRNLKKMRMQLLJKMMMQMPPJMNNPOOQNKOOOQMPRNITONNPJOMPPPPPPLMPPMNNJMLMNRNOOOPOQONHSPRRSMQQNNOPRRNLRQPMOOPPMMOMRLNPOMORTMPNKOOOKOOOORMMQLONMNNOUQNPLQOJNVPORKOPKLNOMMOOPMQNRUJNNOLPQNRNLRMLMNMMPSQNQJJMRUNNONMONRNOOMMMQTMOPROQPOMOMIMMPORMQNKPONOPNNRPQOMQNRPMQNPPRQTNQQQIMPOPNRNNQMQKNPSQRPQQRQ	polje;pijne
plopijnytci	$t_1$ is a stapler.	Cf. {plopijne}, {tutci}.	lujvo	stapler		MNNPLKOOQMVMSPONMNMOLTNOOPLLPPPNLPTSSNOQNFPLOPKOMPKOKNRTOPNOMQORLONPNRONNTOOROPNMQORNSMLLPRLSSJMOOLPNORMKLLNQMRLKINMNNQONPJMNLQONPPLPOORNPRMHTRPMQIOMRPMOONKNQPMOPKONMLRNPNQPQQNMITPPRUNPQNNPQQRMLRPQOPQQQONNNQLNRQONRUMQOLOOOJOPQNSLMQOPMNOOOVROPKPOJOTOOQNOPLMNLLOMONMPNQUKMPPMPOMRNMSNKLNMONTSNOKJMRTMONNMNMPLOPLOMRRNOQPNQOOMPLKNMQOQQQOKQRMPOMNQPONMQNRQOQPPOQQUKPQQJMQONORNNQOQKONQROPQQSP	polje;pijne;tutci
ploskami	$x_1$ is a laptop for purpose $x_2$ with hinge $x_3$		lujvo			KQQNNMTPUOVRTLQNOJNOPPMNNNPPPPLPMOOPRLMLJKTPQQLOONNPOOOPQOPPRPNPOMOJNROMNQNKSNRRMSPRNOMJKKONNRKKROIRQRQPMNPNPLLLMMLMLOPLONLLOKNOQPONNQOPLPPNJNTMOQLMNLRNQRQMNROMKLHMMLPOJPOLNPOONLMOSOOLQOPRMNQSONTOROMLRRJNNOOOPMRPOOOINOJNPNLOOQLNPMROIPOOMNURRMJSQNJOPOOPMQLMNSPKNMNNTOQSQONLOMQMSNNOKOPLRNPSMPPQNJPQRPLPRLOQPNOOMOQUNQNPNRQOMMTNLPRORNQNMQOQPUMQRPSRPOMPNNMPQONQQOTNNLLSOPOONPONSMLSQRPOVRNQ	polje;skami
po'afli	$f_1$ fails to explode; $f_1$ is a dud.	Cf. {spoja}, {fliba}.	lujvo	dud		LLTOOMROTOTMSQQNLOKOOTMORQMOQPOPKPVSRLPPJMQQNSKROMMQOOTOMNNMLTSPRMNPMTPOKQMOSKNOONPMOOKKOMOOQTNONPKQLUMNLJPRRMSKPLOOKNMOOMLROKPOONPPLNLPIOOMIPOOPQLNPSOQNRRPRQMOKPKQMPJOLNMOQMNNMKOPPQRKOMNSQQMRNKPMPQNPPONIROSMLKNLNPPMMMMLRKMONQNOKMORKLLOMOQRSMLSQOOROQPOROPOISLMNMMLMMKTPNPMRNRKONPPRPMMQPPOMLMRPMQULLKPLOPRNQMRNMRPMPMPOTOOJPMLPKONRLONNQOMOQNQPQOOMPNPLNQMNNPQSNOQNPPSOMONNORNMMPQOSNPTQRQ	spoja;fliba
po'asna	$x_1$ is an explosion sound made by $x_2$		lujvo	explosion sound		NKPNKOTNSMUORMSOPNMKPTOPSPPQRPQPNOQOPNQOJMPNNRLLNOOOMPRKQNPOMTROONPOOPPOOQLNUMNSOOMJLTLLMQLPQTPMPMOPNQNNMLLRRNOLOIMRJNKMPOIQOKOOPQOMNMLOMONLLKONNQKMKPPPPRRNLPORLNJNLQNNLMKRPMLNRIONQTSMSNPOPOQPPLLNTOORSNKKOPQQMLONOQNMLOJLRMMOPULPNPRSIOLMNNRNSPRTOMKPNPONQONPLNOOPMNJNRPVMQQNPORMRNPROMONONQPKPMPRMQUJOKMKLLQPQOQNNRSLONSPNQOMPPJPPQORKPNNQMONTPMPRPNNQOQLOMMNNMQPLOMOOOTNNRLKRRPOMQTMQPNSRRP	spoja;sance
po'aspo	$x_1$=$d_1$ (event) blows up/destroys  $x_2$=$s_2$ causing it to explode with result $x_3$	{spoja} {daspo}	lujvo			OPVRPMQOVNSNRQPQNOINNONPPOMNRPOLKPRROMPOKLQMPSMQOOMSPOROOLOKLTOOPNOPOVQMLOOPPJOUPMONORLLQONQTUPOOMMPLQLNNLNNQPQKQKMSMQJOPNJQOLROOMLMOPMPLONNKNOMNRLNMONPMTQQLPMNKNKPKPNQIOKPOMNNMIOPTRRMSNMQPNQQOLNNQNNRRMMJONPPPLQMOROMLOLKSMNOLRKPMMQPMOLNJQRPQQNQOQKPOPROTOOOLVMOPLQKQOLUPOPNSNQKPQQQPLKPNOQTMOMRPMSVLLMRLOOOKQONNMNRLONMPPOOLPNKNNPNRJNMOPNMOQOOPPNNMQLSLMPLONOQPMPNPONTOQPMQRPNMLQOQSQPRQQP	spoja;daspo
po'ecru	po'ecru: $x_1$=$c_1$=$p_1$ consents to / licenses / gives permission / consent for $x_2$=$c_2$=$p_2$ under conditions / terms $x_3$=$c_3$ under property rights standard / law / custom / system of private exclusion / system of negative rights / system of rights $x_4$=$p_3$; $x_1$ consents to / gives license for $x_2$.		lujvo	consent;license;permit		NQMNQMSNRKWMQPPMOOPSSRNPKQOQUMNQTQQNRHPPMMNPOSPOLOPONPPLLOMMNRNQLOONNONMNQOOQPPLJRNOLRMNSOPMRRPNOOOOOTJPOOMOPQOMPJQOKOTKMNLKPKMOMPOPPPMOKRROJMROQPQSQPOTMRPMRPPOPMNOLPNOMMKONNPNQPMMNPQKKRJLOPQPQILMQMLPORNJOQRPIPLNNSRSMNMNMNMOPMMMNNQPQOKLNPRPMNKTJNOSOOOQNOONJSJHPOOMPNSSNQOJPMPOSLONOOQOSQKTIONOQNOPKKRONOPMNPKSOIONPQOQMOPOJKOMQONNRMROLNLNPRQSMMOOOQQPKNSOONQLNOPQONNQOQMOPLQNPOLRSQMOPUSN	ponse;curmi
po'edji	$x_1$=$p_1$=$d_1$ wants to own/possess/have $x_2$=$p_2$ for purpose $x_3$=$d_3$, wanting to own/possess/have it by right/custom/law $x_4$=$p_3$.	$d_2$ is the abstraction of $x_1$ having $x_2$.	lujvo	want to have;want to possess		MPQQOKTNSNTKUOTQNKNTONMOOOONTPPPOUPQOKPMMLRNOUPPPOLRMQTSMPNMOSRMOONRMQROLQLMTOPNIUQPLSNONPPNQPQOOQKNNQOQONNNPLPJMMOQKOQMMNMMPHMOMQMPLNORIPSOHPQOONQQOTLRLNPQMPPOMOLNMROMOONNLNNLLNPNSOPHMRMNOMNTQLPMROLNMPOJONPQLPPPNORJOPLLNQJOLNKNNMUMKMLJMSPOPMMRLPPQMQOPPLLNMOMKLQPJOMQTMRPLQNSNQMOLQMQOROMSKPOPONOLNNOONMPMKMLPPMQRPPNQJONOMPRKNORLROPPLMMOOOPQQNPNNPNLNQQPOOPMNNQPQPMRMOQNPNRNNNORRUPNTTPP	ponse;djica
pogbau	$x_1$ is a programming language used by $x_2$ for $x_3$.	This word has been in use since at least as early as 2020. See {proga}, {bangu}, {samplabau}.	lujvo	programming language		NMOPPLROPOROTQSQMJNOPNJOPONKQSJVRSNSOJNOGJQKQSOOKPKOPMPOPMKMKPOSOQLMPOLNPQONWQRLPROQNTMNQPNQQQNMPMMNMRPNNLQNQMNMNILOKOORPQJOONNOORMLOMRPKMSNJPRNPQOOROQPPUQOMQPNNPLKOPQQQPMMOMNLOMPQQRRIMNLQMPPONMPPQPOPPQPLRKQPONOOORROQMKJPRPOPQLOKKTNQPMMOPQOOMLSPMLPQNOPQPLNMPQJNMONSLPTOQJMOMQKOKOPONKNNLROLRQPMMURIQKQMLOTRQOPNMQRLLLNMPNOMMQLROOKRLQQMMPNNPQQPPNOMPOQMKOOQPPPQLPNSPOROPNLNIOPMNOSMNONORTN	-pog-;bangu
poiklo	$x_1$ (sequence/string) has an occurrence at position/offset $x_2$ (number) in sequence/string $x_3$	x2 is a number between 1 and the length of the sequence x3. The first element has 1 as index for paralleling {moi}.	lujvo	substring		KMQMMQPQTLTOSKNOLLQJSSNRPQORTSOOQPOQNJPROKRNOQMOLNMQKSSPLOOOROPMPNMMOQLQMTMQUNPMLMSRMNPOMQPMRQPSRSPOQSPRKLNKPKOMPNLNPORQQNMPNMPONPQLKMJQJTOOMQOKSPLNNNNQPRPKONNOONQOQOPQNNQLPMOMOOPOQQTMOQLSMOSSMLMOQSMNOONNNMLQINOOKQSMOJLMMOPOOPNMNJRQMQOQNNOPQONQQMMNNQTMOLMKSNKLPMOMRQSTPONOOMMPPQPPJQOONOROPQKLOKPPMOJJLPOQNQNPKOTUKKNRKONOLMOMQRLMRMROKLOPRMOQPSNNLONSOKQPRLMRPNRKRLOPNMNMOJLMPMPRNPMPQQPM	porsi;diklo
pojbre	$b_1$ is ready for explosion/detonation; $b_1$ is armed.		lujvo	armed		QPQPOPTLQOVNUPRMPKLRNSQPPOOORNNLLQOQUNOQLMOQOTLNMOMPLPRMPOQNKVQQPNSOMQQPOOKOSOOOONNNNRJOOPOPSSPPOPGOQQMPMLMLNNRMMJMRHNONQLKORKOOOOPRLMOPLQLPKQPMOQMNOMLPQTPSMQMRMNMJLNKMMOIPPKLLNKNPQQRPOQLQNOQSRNNMSOMNROLMOPQOMNOSQLQJLPKNSMKOSRKPMMPOINMMMRTQTOPSRKPQQQPPNNOMNRLLQMOOPPNVKOPNPOPLPLPONKOOQNQPKMNROOSPLMLNNKNNNOIPMPRQOMKOQQOOLQPMMQMMQMQOMQMONMMNQPPOOQMQLSOMMOPQPMRMOONRMPPMMOQNNORSRPRSSOQN	spoja;bredi
pojbregau	$g_1$ makes $b_1$ ready for explosion/detonation.	Cf. {pojbregau}	lujvo	to arm		NNQPOMSNTOWOTQRPNLLRNTOORNNPSNPNLPRSSMQQLKRNPUMNNPNOMNRMOMNMLUQOOPROOSQMNPKPUNNQPPOMNTLMNQOQSRNPPOIOPSLNMLNNOMSKNIKQJMNNQNJPOLOOPPPOLNMOLOOLKPOLNQKNNNLPNUQQNPKQJNLLJOMPOOIQQLLLOIPPRRRMONMQOMPSOMNLQONNQOLLNNPOOOPPQLRKKPJMQMLOPQLPKLRPKPLMMPSPTOOSQMQRPQQOQONNNTMNNPRLQPLUNOOLPNQMPNPPSKPNQORNLOOOOMRTMOKONKONLPMQONPSLNMOPSOOMPPLMQOKTLPMNRMONOMNQQQMNPMSKMPLNPPQQLPOPPMSNNPMNQTMNNPSQPQQSQSP	spoja;bredi;gasnu
pojbrezu'e	$g_1$ makes $b_1$ ready for explosion/detonation for goal $z_3$.	Cf. {pojbregau}	lujvo	to arm		MMPONNSMROVMTQQPOLNQOTOPQPPORNPNMPPRRMSPMLROPUMNPNMOLMSKOMNOLVROONRPORPNOOJPVONOOOONMSLLQQQRRROPNNHONSLNKMMNPNQMNIJPILMMONKPNLMOOQPOJOLNLOPLKOPLNPKLLOLOOUQQLRMPIOMLKMKQOOJSPMMLQJOOQQRNONOQPLPSOMPMQOOPRQKLPOQPMOQOSNSKKQKNQMLOOOKOKLSQKPLNNNSPVONSRMNPPRPQPOPNMTLNOOQMQQMUMPOMPNRMPMPNRLONROSNLPRPQNQRKOKRMLONMOKPPOPRONLOPRNOLNQNMQNLRLQMNRMNNPMKPQQMNQLRMMQLNPOQRLPOQPNSOQPNMPSNNOOSPPRQUPPP	spoja;bredi;zukte
pojgu'i	$g_1$=$s_1$ is a flash of light at $g_2$ from source $g_3$		lujvo	flash		LNRSQKTMVMYMSNQPMMLPQKNOQQONTPOSJQPSSMPRMJSMNROPLMMOKPRQONRLNTQNOPMMOPMOOPKNUOOROMNPQQNLOPLMPSONQMLPQPMQLJOQRNQJLKNOJOMOPQLPQJQOPRNJNNPPKMPPIRNNONNMMNNPMQOOMQOQQOMNNMMOMOKLPQOMMLONPRRLMQMPNNSQOLLPPONPSQOLNPOTHNNKPSPMKMMNQMKONRKNNNSNORJMGMPMSQMTNMMPNQURMOLPLQLOOLMMQOPQNOMNPMQLQONONQPORKPPLPOSOOURMQMNMONOMNLNMKPRLMMRMNPONNQKQPNORKRMQPOPNMPPOPPMOSPTOLQNQNNNROOROMOQOSQNNQPOMMNMPQMOTRQQ	spoja;gusni
pojma'a	$x_1$ is a volcano projecting from land mass $x_2$.	Cf. {fagma'a}, {je'erma'a}.	lujvo	volcano		NQSQOLONRLTITNNOMOQQTTNPSRNRQONPOOQSONORLKTLQSONNOPMOPPMOORPRSOPQMOPONQOQNLNQOOPQSOMNRLLPNMJOUNNQNLOPRLOOMMPOPNJKJPONPHKKNLORKNOQRNONLNOKONOHOPOPOJONRNMMPPNIQOPNMMLOLLRPNLPQQQMPMNPNPTLMPNPONPRLKNPSQNPNQOKNNMUKNNMORSJOOGOPMLOQPOPKNRRLPEPOMRPUNLTOPIMORRRPNLPNMKQOLNMQOMTNRTQROQMORQMJQLMQNMPNSQRRPOQLONNLPPMLMNPSNPPPPMPLOOOQNQLNOQOSQMQOOONPPMPQPOMOQPQMLRMLMPSPMQKQORUMPNNOOPOOOPPSONPTPOM	spoja;cmana
pojyke'a	$x_1$ is a crater.		lujvo			PPUQLMSPUMSKQOONMNOOPSOPQSPPSONPOOSRQQPNKKSMOQOOOMQLMNQNOMQNPRPPQNOJLQPOLLLORQOQPROMNQMLPMOQMTLNPNLROSJOPOOLSPOINLOMLOJMMOLOQKNOSQNMNNOPJNMLIOQQPMLNNONQOSPOJQNOOOMPPPLQOLJOPORKPKNPOQRMOMNPNOPQNMMPQONQSNKLQNPTKMPLPPUKNNFNPMJONQMQLMRSINIPNOTQTOLTOPLLNRSLNNMRNOMPNIMNQMNWPNPSOQQMPRRPNONNPQMSPOOUMPMSNNNOMONQMPPQQNORMPMNOOQOOOMLOMQQROOOJRNOOOMONQRKMQNPJMPNPPQPROPNPOPRMRPPOONQONSRSPNPWPRL	spoja;kevna
ponbau	$p_1$=$b_1$ is the Japanese language used by $b_2$ to express/communicate $b_3$ (si'o/du'u, not quote).	Cf. {ponjo}, {bangu}, {banjupunu}.	lujvo	Japanese		LNTSOKUNULTNSPQOQONOQQORTPNOTSLPQPORQIONKLRMPQMOLQMQOPSPNROPNOSPLPKPJPLNPQLNVPRRKQMOMSMNRNLONQPMOQNMQSMQMNOMOMNJNMOPONLQLOJPOLQONTPKIMNPLNQMJQMPNOPMNPMRMOQNMPMNONMKPRPQLNLNOONKNJLNNRSJNOKQOLORNLORPOPNQROJPSSSJMMLOQPONMPNNOLOPUNMJMRNOOHMNNOOPOLSNMMONOPQQQNNMNMLOMOKQJNQNOKLNKRLPNOOMOOMQMPQJQRQQMQPONLONNPSPPLPPMOSMOLPKSMONNPIMONNSOSMOLNMOPTPROMOOQOQNJQNPNPRSLQTPPMQPUPNNKRNMNNROQQMQURN	ponjo;bangu
pongu'e	$p_1$=$g_1$ is Japan.	Cf. {gugdejupu}, {ponjo}, {gugde}.	lujvo	Japan		PORROMTORNVISRQMONNNOOQQSSPPSSJRPORRQMQMKKTNPUNONOOOMOTSLMNQNNRPNONOLOQNQRLPQQRPMOQMNQLIOPOOSRMNNSJPPRQOMMMQQMMMLNNPPPMOONMNONOOPQQMINNQJOPMGLQPMPNPONMOMPPNLQQMNNLLSNMQNLIOSQOJPNMPPPTNPSMRLNMRNPQOPOQORUNKOQPPIPMPOTRLONLPQOJOMQKNMLSQNNMMMOPQTOJROKLPNRRRNPKLMMKJJMMNNMNULNNPOKOMPMMONNMOOMPSMQRRSMOOMONOMPSPNPJPMMROOPMQMNOONLPLNONMUPSQMOMMOTOSPPQLPOOQOLNMPONLRMMPNNLRQQRPNMPQONNQPPNQQRRP	ponjo;gugde
ponjda	$l_1$ is the Shinto religion with beliefs/practices/tenets including $l_3$	from {ponjo} {lijda}	lujvo	Shintoism		LRORNJSKSNUNTNRPNQMOOMORPPPLQQLSKQMSQMLQONSKORLMNMMOPSSNNOLPOQQONNKPLMONOPHOTNJLOSRPNSNRPTPROPMNOMIPOQPOOJLMONOLHONROQKNOQPPQLKOQSOHKQPPNPOQMNONJOOOPOMMLNROKRNOPNNOQMQPQKNQNROJMMNPROPJPRNOOKMPNOMNONPNQSPKPOMSNPNQQTUPNMKNRMKONQNOPKQRNPMLLPNLOTMRPNMPNQSOOOLPMMOOKNNMPLPSPPMSNNPLRNQNMLJNTOORLQUPOQNNMOLPMNUPOOLNSLOUQOMQMROOPLQNPPRLQNORMOLORPRQSMSJOQMQMMPKNNNRNNSLPNQTMOOQPLOOOKLSPQNLQQOP	ponjo;lijda
pejypoici'a zei uidje	$u_1$=$pr_1$ is a combo box with text $c_2$ and list [ordered set] $po_1$ in user interface $u_2$.	A combo box combines the capabilities of text fields (={ciska zei uidje}) and drop-down lists (={pejypoi zei uidje}). See also widget (={uidje}).	zei-lujvo	combo box		LOQPMNVORMQQTMOQQLMPMONOQNOQQRKROPLPRNPPLLQOLQKMKOPSOPPQLOMPMQRPONKQOMONOOMLTLRSKRMQNPNQNOPJUQOORNJMOMPNLHQLSKLJNMKPONMMONLONNQOQNRPOOJOKQPQLROMLPOLPPNSORQSNPINOPKOKNPPRKMOOMOQPMMOPRQMMRORNKQROMMOQOPRQPPMPLLONNNNQPQPOMJNPPOOOOPMQMUNPPLQOLPSMMPNOJMOIPRPPOPNMUMMROJNONNRPNLNTMPMNQMQNQQPNOQTOOOSLKQOPKOMNPRQOOOQKNNYONMNOQOOMMPKLOLNSLQNJNQNMPROTMRQLRJRLSRPQMQQLMQQQILPPQNLPONQPMOQQPSMPSQQ
pejypoi zei uidje	$u_1$=$pr_1$ is a drop-down list with list [ordered set] $po_1$ in user interface $u_2$.	List box (={porsi zei uidje}), combo box (={pejypoici'a zei uidje}), widget (={uidje}).	zei-lujvo	drop-down list		LNSPNNVOQMQPSNOPPLNOMPNNRLPOPSLQOPMOSMPPNMQLLSKMLOPTNOPPLNMOMPQPNNLPPNONONOKULRRJQNQOPOOMOQKTROPSPHMNMOOMIQJRKLKMMLPONLLONLNMNPOOMRNNNKPJPPQLRNNMPOLPOMRMSPSNPJNOPJPMOPOSKLPPNPQQOLOOQOLNROONLQQOMMOQNORSPOMOKMOOMMOQORQPNINQPNOPPPMQMVOPPMPOLRSMNOMOKMOIOSOPOPOLVNMPPJPNNOQQMLPRNQLOPNSNPRPNOQSOOMSNIOOPINLMPSPNOOOKMOXONNNQROOKMQKMOMNSMQNLPRLNQQPSLROMRKRKTQQRMQQMMQPPIKQPPNMPONPPMQPPORLPSPS
peglfi	$x_1$ is a PEG rule that consumes the same input as $x_3$, but produces the output of $x_3$ mapped with function $x_2$	See {pegjva}	fu'ivla			NLRNMMQOTOUNUNQRKMNLPMLOOOMORMLPLPORQJROOIRNPSNPLQMRLPSROPOKKPRNOLJLNTNNMNOQUOTQMOPNQPLJPQOMPTNKRQNQLPOLOONORLLKSPJOMNONQOLPNONOLNPGNOKNIROLLRPQPOLPRNMLLUPONQMLOLOORNLPOMLONOOPMKMPSPSLNPLSMPRONMOPQNQROPOLOLQLMPOOPLQMMNKMNONOJTMOLKUMQQKMJOSNMPOPQPNTMROPOSJOOOKJMOPNPMQSQOQPQNQMROMPNNPNPNQOONPNSKPTNQNQLORRMORPNPQRMPPRJOMOMNPLMNQOQLPPNMPOPQMPKPMMMNNTMNRPPNMMRNRSOMPOMRROONQMMKTOPQPPPRSN
pegnaka	$x_1$ is a PEG negative lookahead, matching when rule $x_2$ does not match	See {pegjva}, {pegnpe}	fu'ivla			LQSNLMRMSOTJTNOQMMMNONKLNQNNQOMPLRQPPMQNLKOMPRNQNMLNMQSTPPQMPPNLOKKLNVNNNQLSTLUOKLPORNJKPQOONPPMPSNRPQONNONQSMMKRMKPNNLLMQMNOPLOOPOGOOJPJRQLKONQMMKRPMNNLPPLOQMLPLPMQOLNMPNMMQRPNMRQPPOMMSOSQNPNOMPOONPRRPPJRSSKPQOLMMQKMMONLPNOMQONPLVNUPPMNNPMPOOPRPMRMRQPMRMONPJLIPQORNOTOONRRLPOQQQQNOMQOPOPPORORIOQMOPOMQPSIOPQQPLTMQNPNMQOLLQLNPPNPNRQJMLOOOMPJONONPNRJPRRPJOOPQRQQNNQOPRNPOULNKPOPRPQVOSP
pegnpe	$x_1$ is a PEG positive lookahead matching rule $x_2$	See {pegjva}, {pegnaka}	fu'ivla			KQRNLOTMRPUMUMOQNONOONLNOQOOSPLPOQOPPMPPNJPMPRNQMNMOKPRSOOPNPPNMQKLKNTLNMQMRULSPIMQOQOKLOPOONOOMPROSPQONMONQTLMJRMJOKONKOOLMMOLOOQRGMNJNJRRMJPNOMNMPOLMONPPKOROMNKONPNOPOOMMNPQPNNQOOQPNLSNTONQNNMPNQOPSQOPKPSSKMRNLNMQJLMONNPMONRONNKUMSQPNNNONRPNNROOQNRPQNSLNMPKIKOQQRNQTOPORQMOORQORMPMPOQPSPNQMRJPQNQOLOQPSIOQQOONTNPMQNMPOLKRKOQONONTQJMMNONLOKOOPLROQLPQQPJPPORSQPMNPPQSNNNSNNJMPPRQPVQTO
pegrcu'a	$x_1$ is a PEG ordered choice rule, matching and returning the result of the leftmost possible rule in sequence $x_2$	See {pegjva}	fu'ivla			JPSPNQRNRQRORMORMMPMNNLONQPPSOLPPPNONHQOMJPOOSLONPLRKSRQONOMPOKMOMLJOTLPOPMQVNQQHPQNONMNQRNNRQONQQOQPRMMMMMMSKKKTQJOJPPLQPMNNNOOLKSGMMKNJSRJLPOOOPMROMOLNQOOPQMLOKPQQNQQMNLRNRNOPNMNROSNNTLQPOQRMKLMRMPPQOOMQNOKLTPMQNRMMLKMPQOONQONOKQMTROPOMQONOMPROLRKPRONOKLPOOINNNSRMRRQNNPPMOQPONRNQRNOSRRQONNQIORNQPLKPRRKPPQMOSQOOPOPLNONIRMPPQOOLQTMONPPMMPMOROMQNSNQRPQINOOPRNOLOOLNQMMLOKOJRQOQPPRTTP
pegrke'u	$x_1$ is a PEG rule matching at least zero repetitions of rule $x_2$ and returning a sequence of any match results	See {pegjva}, {pegrsu'o}, {pegrsu'e}	fu'ivla			KOQNMPRNTNSNTMOQMNOKPMMNOPLORPMPORQOOKPPNIQOQTLPMONPLSURNPOMPNNOOMJKPTMNLSMRUMRRHNQLPNNMRQNOPQNORQPRORNNNPMOQLLKTOJOKOOMRQNMNPLOOOOGLLKOKRQLLPORQPNROMNMORPMPQOLNKPPRNPQLMLNNOPPMNPPQOQNLQLTQOPPNMNOQOQQPOQJTOQLKQPMMMRLKJMMLPOONRMOOLSNSPMMOLPNNQLRTOMRLQPMLQNLOMLJNNPORNQRQNNPQLPOPPNPLPNNNQOUQQNOPKOSLROOKNQSIPQQOPQSNQPQNNNOLKQMPQPNQKSPKNOOPPLQKRONLPQUMOPOQJPQPOQPNKQPOOPNNLRLKJORPQQNSSTO
pegrpoi	$x_1$ is a PEG rule matching what sequence of rules $x_2$ matches and producing a sequence of the outputs of those rules	See {pegjva}	fu'ivla			JNOMOORMQNQNTNORLONKQLLNNQNPROMPQRNOOKOPNIPNRTLQKPMOLSTQPOPMOOMOPLKMOSJOMQMSSNRPIOQNOONMRQNNTQLQRORRORMMPPNPSLLNRNKPLOPNRQMOOPKOOMNIMNJOKSPLKQQOOQNRNMONPUPMQQPLNLOOQMQQLLKOLPMOOLPOSNQMMQMTPOOQMLOORNNRQQOKRPOLKRPLNMRLKKKMMQQONRLOPKQLSQLMNMPLOQMQSOMRMPQNLSLMPNKIOMRNSNPRPNNQQMPOPONONOOONQQSPQNMPKPRLSPMJMQRJNQQOQQTNPORMOMOMKPNNSOOQKQRLNOOPPLQMQOPMNQUNPQQQIOQONQQOLOOOOOLNLQLNKRQOQRORSVN
pegrsto	$x_1$ is a PEG rule whose input and output is the constant $x_2$	See {pegjva}, {porfedi}	fu'ivla			LMPPNNQMRPVOUNMQJNLLOMLPOQONSNKOOQNORJPOPIQNPRMOMQPOLQUQQTOLMQQOPMKMOSJNMMONTOSSLNPKQPOMROONOQNMRPMRNQNPPNOQSMLKQOLLMMNLRPKPNPMOMOQGLOLPLRPKKQQQOPPOQNMLNQOONQOLNMLMPOPQNLLNNPONLJLPSOTLMQLROOQPMOLORMORQPNJPMRMKQOOPMRMLMLMOONOMTKNOLQMROLNKORPLQMPQNNSMPNPMSJNNOJIMNQQQNSSSOOPPMPMQONRNPONOOOROPOPSJQTMQNMLMRQMPQNLNRTNPNRKNMOMLPLPQQNRMRPNMNPQOLONSNMNNOVMORPPLONRPRSMLPOMSRNMNROMKSOORPOQTVN
