@rowCount	5743
w	d	n	t
Ursa Minor	[object Object]	(a circumpolar constellation of the northern sky)	prop
Ursula	[object Object]	(female given name)	prop
Uruguay	[object Object]	(country)	prop
Uruguayan	[object Object]	(a person from Uruguay)	n
us	nos	(objective case of "we")	pron
US	[object Object]	(abbreviation of United States)	prop
USA	[object Object]	(United States of America)	prop
U.S.A.	{USA}		prop
usability	[object Object]	(degree to which an object or device is easy to use)	n
usage	[object Object]	(the way words are spoken or written in a community)	n
US American	[object Object]	(inhabitant or citizen of the United States of America)	n
use	{used to}		v
useable	{usable}		adj
used	usado	(that is or has or have been used)	adj
used to	use the imperfect tense of the verb that follows or imperfect of costumar followed by infinitive; I used to eat cheese - Eu comia queijo	(formerly)	adv
useful	útil	(having a practical or beneficial use)	adj
useful idiot	[object Object]	(political sense)	n
usefully	utilmente	(in a useful manner)	adv
usefulness	[object Object]	(quality of being useful)	n
useless	inútil	(without use or possibility to be used)	adj
uselessness	[object Object]	(quality of being useless)	n
user	[object Object]	(person who uses a computer)	n
user-friendly	amigável	(designed to be easy to use)	adj
user interface	[object Object]	(the part of a software application that a user sees and interacts with)	n
username	[object Object]	(a person's identification on an individual computer system)	n
use up	{exhaust}		v
ushanka	[object Object]	(a traditional Russian fur cap with earflaps)	n
usher	lanterninha (cinema)	(person who escorts people to their seats)	n
Usonian	estado-unidense, estadunidense	(a citizen of the USA, as opposed to an inhabitant of America as a whole)	n
USSR	[object Object]	(Union of Soviet Socialist Republics)	prop
usual	usual	(most commonly occurring)	adj
usually	normally	(under normal conditions)	adv
usucapion	usucapião	(acquisition due to passage of time)	n
Usun	{Wusun}		prop
usurer	[object Object]	(one who loans money at exorbitant interest rates)	n
usurp	usurpar	(to seize power)	v
usurper	[object Object]	(one who usurps)	n
usury	[object Object]	(practice of lending money at illegal or unfair rates)	n
US Virgin Islands	[object Object]	(Country in the Caribbean)	prop
Utah	[object Object]	(a state of the United States of America)	prop
uterine	uterino	(of or pertaining to the uterus)	adj
uterine tube	{Fallopian tube}		n
uterus	{womb}		n
utilitarianism	[object Object]	(the theory of the "greatest happiness for the greatest number of people")	n
utility	[object Object]	(state or condition of being useful)	n
utilization	{utilisation}		n
utilize	{utilise}		v
utmost	extremo, derradeiro	(The most extreme, ultimate)	adj
utopia	[object Object]	(world in perfect harmony)	n
Utsunomiya	Utsunomiya	(a city of Japan)	prop
Uttarakhand	[object Object]	(state in India)	prop
Uttar Pradesh	Uttar Pradesh	(state)	prop
utter	dizer, falar, pronunciar	(use the voice)	v
utterance	[object Object]	(something spoken)	n
utterly	completely	(in complete manner)	adv
U-turn	reviravolta		n
uvula	[object Object]	(appendage that hangs from the palate)	n
Uyghur	[object Object]	(language)	prop
Uzbek	[object Object]	(language)	prop
Uzbekistan	[object Object]	(Republic of Uzbekistan)	prop
Uzhgorod	{Uzhhorod}		prop
Vé	Ve	(Norse mythological figure)	prop
vacancy	[object Object]	(unoccupied position)	n
vacant	vago	(not occupied)	adj
vacate	vacar, vagar	(to move out)	v
vacation	sair de férias	(to spend or take a vacation)	v
vacationer	holiday-maker	(someone who is on vacation)	n
vaccination	[object Object]	(inoculation with a vaccine)	n
vaccine	[object Object]	(substance that stimulates production of antibodies)	n
vacillate	vacilar	(to swing from one course of action or opinion to another)	v
vacuity	[object Object]	(vacuum)	n
vacuüm	{vacuum}		n
vacuum	aspirar	(transitive: to clean with a vacuum cleaner)	v
vacuum cleaner	[object Object]	(machine for cleaning)	n
vacuum flask	Büchner flask	(chemistry: Filter flask)	n
vacuum tube	[object Object]	(electrical device)	n
vade mecum	[object Object]	(referential book)	n
vagabond	[object Object]	(a person on a trip of indeterminate destination and/or length of time)	n
vagina	{vulva}		n
vaginally	vaginalmente	(via the vagina)	adv
vaginal sex	sexo vaginal	(vaginal sex)	n
vaginismus	[object Object]	(muscular contraction)	n
vague	[object Object]	(not thinking or expressing one’s thoughts clearly or precisely)	adj
vaguely	vagamente	(in a vague manner)	adv
vagueness	[object Object]	(condition of being unclear)	n
vaguery	vagary	(vagaries)	n
vain	[object Object]	(overly proud of one's appearance)	adj
vainglorious	[object Object]	(with excessive vanity or unwarranted pride)	adj
vainglory	[object Object]	(vain, ostentatious display)	n
valence	[object Object]	(linguistics: number of arguments that a verb can have)	n
Valencia	[object Object]	(city in Venezuala)	prop
Valencian	[object Object]	(person from Valencia)	prop
Valencian Community	[object Object]	(autonomous community in Spain)	prop
Valentine	[object Object]	(male given name)	prop
Valentine's Day	[object Object]	(Saint Valentine's Day)	prop
Valerie	Valéria	(female given name)	prop
valet	[object Object]	(a person employed to clean or park cars)	n
Valhalla	[object Object]	(in Norse mythology, the home of warriors slain gloriously in battle)	prop
valiant	valente	(showing courage or determination; heroic)	adj
valid	válido	(acceptable, proper or correct)	adj
valine	[object Object]	(essential amino acid C[5]H[11]NO[2])	n
valkyrie	[object Object]	(any of the female attendants, or handmaidens of Odin)	n
Valle d'Aosta	[object Object]	(region of Italy)	prop
Valletta	[object Object]	(capital of Malta)	prop
valley	[object Object]	(elongated depression between hills or mountains)	n
valley girl	[object Object]	(superficial woman)	n
valor	value	(value, worth)	n
valour	{value}		n
valuable	valioso	(having a great value)	adj
value	valorizar	(to regard highly)	v
value added tax	[object Object]	(tax levied on added value of an exchange)	n
valve	{vacuum tube}		n
vampire	[object Object]	(mythological creature)	n
vampire bat	[object Object]	(bat)	n
vampiric	[object Object]	(vampiric)	adj
van	[object Object]	(a railway carriage)	n
vanadinite	vanadinita	(mineral)	n
vanadium	[object Object]	(chemical element)	n
Vancouver	Vancouver	(city)	prop
vandal	[object Object]	(person who destroys or damages property)	n
Vandal	[object Object]	(member of an ancient east Germanic tribe)	n
vandalic	vandálico	(having the nature of vandalism)	adj
vandalise	vandalizar	(to needlessly destroy)	v
vandalism	[object Object]	(needless damage or destruction of property)	n
vandalize	{vandalise}		v
Van de Graaff generator	[object Object]	(device in which an electric charge is built up by means of a moving belt)	n
vane	{weather vane}		n
Vanessa	[object Object]	(female given name)	prop
Van Gogh	[object Object]	(van Gogh)	prop
vanguard	[object Object]	(leading units of an army)	n
vanilla	baunilha	(orchid)	n
vanish	anular-se	(mathematics: to become equal to zero)	v
vanishment	{disappearance}		n
vanity	[object Object]	(excessive pride)	n
vanquish	derrotar, vencer, superar	(to defeat, to overcome)	v
Vanuatu	Vanuatu	(Republic of Vanuatu)	prop
vapor	[object Object]	(the gaseous state of a substance that is normally a solid or liquid)	n
vaporize	vaporizar	(turn into vapour)	v
vapour	[object Object]	(the gas phase component of a liquid or solid)	n
varenik	{varenyky}		n
vareniki	{varenyky}		n
varenyk	{varenyky}		n
varenyky	[object Object]	(a kind of dumplings)	n
Varese	Varese	(capital)	prop
variable	[object Object]	(something whose value may be dictated or discovered)	n
variable antshrike	[Brazil]: choca-da-mata	(Thamnophilus caerulescens)	n
variably	variavelmente	(in a variable manner)	adv
variance	[object Object]	(second central moment in probability (statistics))	n
variant	[object Object]	(something slightly different)	n
variation	[object Object]	(the act or state of varying)	n
varicose vein	variz, varizes	(abnormally swollen or dilated vein)	n
variegated	variegado	(streaked or spotted with a variety of colours)	adj
variety	[object Object]	(variation of something)	n
variety is the spice of life	diversidade é o tempero da vida	(variety is the spice of life (lit.))	proverb
variolous	variólico, varioloso	(of or pertaining to smallpox)	adj
various	vários	(an eclectic range of)	adj
varnish	envernizar	(to gloss over a defect)	v
varsity	{university}		n
vary	modify	(to institute a change in)	v
vascular	vascular	(of, pertaining to or containing vessels)	adj
vas deferens	ducto deferente, canal deferente	(vas deferens)	n
vase	[object Object]	(container used mainly for displaying flowers)	n
vassal	[object Object]	(servant)	n
vast	[object Object]	(very large or wide (literally or figuratively))	adj
vat	[object Object]	(a large tub, such as is used for making wine or for tanning)	n
VAT	IVA	(value-added tax)	n
vates	[object Object]	(divinely inspired poet)	n
Vatican	[object Object]	(state)	prop
Vatican City	Vaticano	(State of the Vatican City)	prop
Vaticanian	{Vatican}		adj
vault	abobadar	(to build as or cover with vault)	v
vaunt	boast	(speak boastfully)	v
Vayu	[object Object]	(god of wind in Hinduism)	prop
veal	[object Object]	(flesh of a calf)	n
vector	[object Object]	(directed quantity)	n
vector field	campo vetorial	(construction)	n
vectorial	vectorial	(of or pertaining to a vector)	adj
vector product	[object Object]	(vector with size given by the product of two vectors)	n
vector space	[object Object]	(mathematics)	n
Vedic Sanskrit	[object Object]	(language)	prop
vee	[object Object]	(name of the letter V, v)	n
veer	virar	((transitive: to turn)	v
vegan	[object Object]	(supporter of veganism)	n
Vegan	[object Object]	(someone from Vega)	n
veganism	[object Object]	(Eating neither meat nor other animal products)	n
vegetable	[object Object]	(a plant raised for some edible part of it)	n
vegetable garden	[object Object]	(vegetable garden)	n
vegetable oil	[object Object]	(oil produced from plants)	n
vegetal	[object Object]	(pertaining to vegetables or plants)	adj
vegetarian	[object Object]	(plant-eating animal)	n
vegetarianism	[object Object]	(practice of following a vegetarian diet)	n
vegetate	vegetar	(To live or spend a period of time in a dull, inactive, unchallenging way)	v
vegetation	[object Object]	(Plants)	n
vehemence	veemencia	(An intense concentration, force or power)	n
vehement	veemente	(showing strong feelings; passionate; forceful or intense)	adj
vehemently	veementemente	(in a vehement manner)	adv
vehicle	[object Object]	(a conveyance)	n
veil	[object Object]	(something to hide an object)	n
vein	[object Object]	(blood vessel)	n
velar	velar	(articulated at the soft palate)	adj
Velcro	[object Object]	(fastener)	prop
velleity	[object Object]	(slight wish with no effort to obtain)	n
velocity	[object Object]	(vector quantity)	n
velvet	[object Object]	(fabric)	n
velvety	aveludado	(like velvet)	adj
venatic	venatório	(of or pertaining to hunting)	adj
venatorial	{venatic}		adj
vendetta	[object Object]	(bitter, destructive feud in which each injury is revenged)	n
vending machine	[object Object]	(machine that dispenses merchandise)	n
vendor	vendedor, fornecedor	(A person or a company that vends or sells)	n
veneer	folhear	(to apply veneer)	v
venereal disease	[object Object]	(contagious disease spread through sexual intercourse)	n
Venetian	[object Object]	(Romance language)	prop
Venetian blind	[object Object]	(blind consisting of overlapping horizontal slats)	n
Venezuela	[object Object]	(country)	prop
Venezuelan	[object Object]	(person from Venezuela or of Venezuelan descent)	n
vengeance	[object Object]	(revenge taken for an insult, injury, or other wrong)	n
vengefulness	[object Object]	(state or quality of being vengeful)	n
venial	perdoável, venial	(pardonable; able to be forgiven)	adj
Venice	Veneza	(city and province in Italy)	prop
venison	[object Object]	(the meat of a deer)	n
Venn diagram	[object Object]	(diagram representing sets by circles)	n
venom	[object Object]	(poison carried by animal)	n
venomous	peçonhento, venenoso	(pertaining to or denoting an animal capable of producing a poisonous chemical)	adj
venous	venoso	(of or pertaining to veins)	adj
ventilator	[object Object]	(medicine: respirator)	n
vent one's spleen	desabafar	(to openly express pent-up anger)	v
ventral	ventral	(related to the abdomen or stomach)	adj
ventral fin	pelvic fin	(fin below pectoral fin)	n
ventricular	ventricular	(of or relating to a ventricle)	adj
ventriloquist	[object Object]	(a person who practices ventriloquism)	n
venture	aventurar-se	(to undertake a risky journey)	v
venturi	{venturi tube}		n
venue	{venew}		n
Venus	Vénus [Portugal], Vênus [Brazil]	(planet)	prop
Veps	[object Object]	(the language)	prop
Vera	[object Object]	(female given name)	prop
veranda	[object Object]	(roofed open gallery)	n
verb	[object Object]	((grammar) a word that indicates an action, event, or a state)	n
verbal	[object Object]	(of, or relating to words)	adj
verbalize	verbalizar	(to express)	v
verbal noun	[object Object]	(grammar: noun that is morphologically related to a verb and has similar meaning)	n
verbatim	à letra, palavra por palavra, ipsis litteris, verbatim	(word for word)	adv
verbena	[object Object]	(a genus of herbaceous plants)	n
verbose	verboso	(abounding in words)	adj
verdict	[object Object]	(decision on an issue of fact in a civil or criminal case or an inquest)	n
verdigris	azinhavre	(blue-green patina on copper and copper alloys)	n
verge	beirar	(to come very close)	v
verification	verificação	(the act of verifying)	n
verily	verdadeiramente	(truly, doubtlessly)	adv
verisimilitude	[object Object]	(property of seeming true)	n
verjuice	[object Object]	(very acidic juice)	n
verlan	[object Object]	(a type of backslang used in France)	n
vermilion	[object Object]	(pigment)	n
vermouth	[object Object]	(wine infused with herbs)	n
vernacular	[object Object]	(national language)	n
vernal	vernal	(pertaining to spring)	adj
vernal equinox	[object Object]	(the point)	n
Veroboard	stripboard	(uncountable: stripboard)	n
Verona	[object Object]	(province in the Veneto region of northern Italy)	prop
Veronica	Verônica	(female given name)	prop
versatile	versátil	(having varied uses or many functions)	adj
verse	[object Object]	(poetic form with regular meter and a fixed rhyme scheme)	n
versify	versar, versejar, versificar	(transitive: to make or compose verses)	v
version	[object Object]	(computing)	n
versus	contra, vérsus	(in opposition to)	prep
vert	sinople	(of green colour)	adj
vertebra	[object Object]	(any of the small bones which make up the backbone)	n
vertebral column	[object Object]	(vertebral column)	n
vertebrate	[object Object]	(an animal having a backbone)	n
vertex	[object Object]	(highest point)	n
vertical	vertical	(being perpendicular with the surface of the Earth)	adj
vertically	verticalmente	(in a vertical direction or position)	adv
vertiginous	[object Object]		adj
vertigo	[object Object]	(sensation of whirling and loss of balance)	n
very	de facto [Portugal], de fato [Brazil]	(true, truly)	adv
vespiary	[object Object]	(a wasps' nest)	n
vessel	[object Object]	(tube or canal that carries fluid in an animal or plant)	n
vest	[object Object]	(garment worn under a shirt)	n
Vesta	[object Object]	(Roman goddess)	prop
vestiary	vestry	(dressing room or stroreroom for clothes)	n
vestibular	vestibular	(re: anatomy)	adj
vestibule	[object Object]	(body cavity)	n
Vesuvius	[object Object]	(volcano in Italy)	prop
vet	{veterinarian}		n
vetch	[object Object]	(any of several leguminous plants)	n
veteran	[object Object]	(person with long experience)	n
veterinarian	[object Object]	(doctor who treats animals)	n
veterinary	{veterinarian}		n
veterinary medicine	[object Object]	(branch of medicine that deals with animals)	n
veterinary surgeon	{veterinarian}		n
veto	vetar	(to use a veto against)	v
vex	tormentar, vexar	(to distress; to cause mental suffering)	v
vexillological	{vexillologic}		adj
v-fib	vfib	(ventricular fibrillation)	n
via	via	(by way of)	prep
viable	viável	(possible)	adj
Via Crucis	[object Object]	(arduous experience)	n
viaduct	[object Object]	(bridge with several spans that carries road or rail traffic over a valley)	n
vibe	vibração [Brasil]	(The atmosphere or aura of a person or place as communicated to and felt by others)	n
vibraphone	vibrafone	(percussion instrument)	n
vibrate	vibrar	(move with small movements rapidly)	v
vibration	[object Object]	(act of vibrating)	n
vibrato	[object Object]	(Musical effect or technique)	n
vibrator	[object Object]	(device used for massage or sexual stimulation)	n
vicar	[object Object]	(local representative of higher-ranking member of clergy)	n
vicarious	vicário	(Done on behalf of others)	adj
vice	[object Object]	(screw apparatus)	n
vice president	[object Object]	(deputy to a president)	n
viceroy	[object Object]	(the governor of a country etc.)	n
vice versa	vice versa, vice-versa	(the other way round)	adv
vicinity	[object Object]	(proximity, or the state of being near)	n
vicious circle	[object Object]	(situation in which the solution to a problem creates another problem)	n
vicissitude	[object Object]	(regular change or succession from one thing to another)	n
victim	[object Object]	((narratology) a character who is conquered or manipulated by a villain)	n
victimize	injustiçar	(to punish someone unjustly)	v
Victor	[object Object]	(male given name)	prop
Victoria	Vitória	(state in Australia)	prop
Victorian	vitoriano	(relating to the reign of Queen Victoria)	adj
victorious	vitorioso		adj
victory	[object Object]	(an instance of having won a competition or battle)	n
Victory Day	[object Object]	(a day to commemorate victories in important battles or wars in the countries' history)	n
vicuna	[object Object]	(vicuna)	n
video	[object Object]	(VHS)	n
video camera	[object Object]	(device for recording video)	n
videocassette	[object Object]	(cassette containing recorded videotape)	n
video game	[object Object]	(game controlled by a software)	n
video game console	[object Object]	(dedicated electronic device that is designed to play video games)	n
video projector	[object Object]	(device)	n
vie	competir	(To rival; to struggle for superiority; to compete)	v
Vienna	[object Object]	(capital of Austria)	prop
Vientiane	[object Object]	(capital of Laos)	prop
Vietnam	[object Object]	(country in Southeast Asia)	prop
Vietnamese	vietnamita	(language)	prop
view	ver	(to look at)	v
viewer	telespectador	(Someone who watches television)	n
viewpoint	{point of view}		n
vigilance	[object Object]	(Close and continuous attention)	n
vigilant	vigilante	(watchful)	adj
vignette	vinheta	(small picture on a postage stamp)	n
vigorous	[object Object]	(Physically strong and active)	adj
Viking	[object Object]	(One of the Scandinavian seafaring warriors)	n
Viking Age	[object Object]	(period from 8th to 11th century in Europe)	prop
Vilamovian	{Wymysorys}		prop
vile	vil	(morally low)	adj
villa	[object Object]	(a house used as a retreat)	n
village	[object Object]	(a rural habitation of size between a hamlet and a town)	n
villager	[object Object]	(person who lives in, or comes from, a village)	n
villain	[object Object]	(scoundrel)	n
Vilnius	[object Object]	(capital of Lithuania)	prop
Vincent	Vicente	(male given name)	prop
vincible	vencível	(capable of being defeated)	adj
vindication	justificação	(the act of vindicating)	n
vindictive	vingativo, vingador	(having a tendency to seek revenge)	adj
vine	[object Object]	(climbing plant that produces grapes)	n
vinegar	[object Object]	(condiment)	n
vineyard	[object Object]	(grape plantation)	n
vinification	{winemaking}		n
vinify	vinificar	(convert into wine)	v
Vinnitsa	{Vinnytsia}		prop
vintage	[object Object]	(yield of grapes during one season)	n
viola	[object Object]	(music: stringed instrument of the violin family)	n
violate	violar, transgredir	(to break or fail to act by rules)	v
violation	[object Object]	(act or instance of violating )	n
violence	[object Object]	(widespread fighting)	n
violent	violento	(likely to use physical force)	adj
violently	violentamente	(in a violent manner)	adv
violet	[object Object]	(plant)	n
violin	[object Object]	(string instrument)	n
violinist	[object Object]	(person who plays violin)	n
violist	[object Object]	(person who plays the viola)	n
violoncello	{cello}		n
viper	[object Object]	(a poisonous snake in the family Viperidae)	n
Virgil	[object Object]	(Roman writer)	prop
virgin	[object Object]	(person who has never had sexual intercourse)	n
virginal membrane	{hymen}		n
virgin forest	[object Object]	(forest free from disturbance)	n
Virginia	[object Object]	(state)	prop
Virginian winterberry	{American winterberry}		n
Virgin Islands	[object Object]	(archipelago)	prop
virginity	[object Object]	(state of being a virgin)	n
Virgin Mary	[object Object]	(mother of Christ)	prop
Virgo	[object Object]	(constellation)	prop
virility	[object Object]	(the state of being virile)	n
virology	virologia	(branch of microbiology that deals with the study of viruses and viral disease)	n
virtual	virtual	(in effect; not fact)	adj
virtually	virtualmente	(in essence, but not in fact)	adv
virtual reality	realidade virtual	(virtual reality)	n
virtue	[object Object]	(excellence in morals)	n
virtuous	[object Object]	(full of virtue, having excellent moral character)	adj
virus	[object Object]	(infectious organism)	n
visa	[object Object]	(permit)	n
viscera	{intestines}		n
viscometer	[object Object]	(instrument used to measure viscosity)	n
viscount	[object Object]	(a member of the peerage above a baron but below a count or earl)	n
viscountess	[object Object]	(viscount's wife)	n
viscous	viscoso	(having a thick, sticky consistency)	adj
vise	[object Object]	(two-jawed instrument for holding work)	n
Vishnu	Vixnu	(the god)	prop
visibility	[object Object]	(degree to which things may be seen)	n
visible	visível	(able to be seen)	adj
visibly	visivelmente	(in a visible manner)	adv
Visigoth	[object Object]	(member of an East Germanic tribe)	n
Visigothic	visigótico	(of or pertaining to the Visigoths)	adj
vision	[object Object]	(something imaginary one thinks one sees)	n
vision impaired	{visually impaired}		adj
visit	inflict	(to inflict)	v
visitant	{spectre}		n
visiting card	{business card}		n
visitor	[object Object]	(sightseer)	n
visitors' book	guest book	(a facility for visitors' comments)	n
visitor team	{visiting team}		n
visor	{mask}		n
vista	vista	(site offering such a view)	n
Vistula	[object Object]	(Polish river)	prop
visual	visual	(related to of affecting the vision)	adj
vis-à-vis	face a face, cara a cara	(opposite)	prep
vital	vital	(very important)	adj
vitalism	[object Object]	(the doctrine of élan vital)	n
vitamin	[object Object]	(organic compound essential to human health)	n
vitamin A	[object Object]	(any fat-soluble vitamin essential for vision)	n
Vitebsk	[object Object]	(city)	prop
vitrine	[object Object]	(glass-paneled cabinet or case)	n
vitriol	{sulphuric acid}		n
Vitsebsk	{Vitebsk}		prop
viva	long live	(long live ... !)	interj
vivacious	vivaz	(lively and animated)	adj
vivarium	[object Object]	(Artificial environment for animals)	n
viviparous	vivíparo	(of a plant)	adj
viviparous eelpout	{viviparous blenny}		n
vixen	[object Object]	(temperamental woman)	n
vizier	vizir	(high-ranking official)	n
Vladikavkaz	[object Object]	(city)	prop
Vladimir	[object Object]	(Russian city)	prop
Vladivostok	[object Object]	(seaport in Russia)	prop
vlei	{wetland}		n
Vltava	[object Object]	(a major river in the Czech Republic)	prop
Völuspá	Völuspá	(first book of the Poetic Edda)	prop
vocabulary	[object Object]	(words of a language collectively)	n
vocal	[object Object]	(uttered or modulated by the voice)	adj
vocal cord	[object Object]	(folds of mucous membrane)	n
vocal cords	[object Object]	(folds of tissue)	n
vocalist	[object Object]	(singer)	n
vocation	[object Object]	(occupation for which a person is suited)	n
vocative	vocative case	(grammatical case)	n
vocative case	[object Object]	(case of address)	n
vociferate	vociferar	(to cry out with vehemence)	v
vodka	[object Object]	(clear distilled alcoholic liquor)	n
vodyanoi	{vodyanoy}		n
vodyanoy	[object Object]	(type of water sprite)	n
voetsek	{go away}		interj
vogue	[object Object]	(the prevailing fashion or style)	n
voice	vocalizar	(to utter with a sonant or vocal tone)	v
voice actor	[object Object]	(an actor who provides voices for animations, dubbed films)	n
voice box	{talk box}		n
voiceless	[object Object]	((phonetics, of a consonant) spoken without vibration of the vocal cords)	adj
voice mail	voice message	(message left on a voice mail system)	n
void	anular, invalidar	(to make invalid or worthless)	v
voivode	[object Object]	(a local ruler or official in various parts of central and eastern Europe)	n
voivodeship	[object Object]	(the jurisdiction of a voivode)	n
Vojvodina	Voivodina	(autonomous province of Serbia)	prop
Volapük	volapuque	(language)	prop
volatile	instável	((of a price etc) variable or erratic)	adj
volcanic	vulcânico	(produced by a volcano)	adj
volcano	[object Object]	(mountain containing a magma chamber)	n
volcanologist	[object Object]	(person who studies volcanology)	n
volcanology	[object Object]	(study of volcanoes)	n
vole	[object Object]	(any of the small rodents of the family Cricetidae)	n
Volga	[object Object]	(longest river in Europe, flowing to the Caspian Sea)	prop
Volgograd	[object Object]	(Volgograd)	prop
volley	[object Object]	(simultaneous fire)	n
volleyball	[object Object]	(game)	n
volleyballer	[object Object]	(volleyball player)	n
Vologda	[object Object]	(city in Russia)	prop
Volscian	[object Object]	(related to the Volsci)	adj
volt	[object Object]	(unit of measure)	n
voltage	[object Object]	(amount of electrostatic potential)	n
volte-face	[object Object]	(a reversal of policy, attitude or principle)	n
voltmeter	[object Object]	(instrument for measuring electric potential)	n
volume	[object Object]	(unit of three dimensional measure that consists of a length, a width and a height)	n
voluminous	[object Object]	(pertaining to volume)	adj
voluntarily	voluntariamente	(in a voluntary manner)	adv
volunteer	[object Object]	(voluntary soldier)	n
voluptuous	voluptuoso	(suggestive of or characterized by full, generous, pleasurable sensation)	adj
vomer	{vomer bone}		n
vomer bone	[object Object]	(small thin bone that forms part of the septum between the nostrils)	n
vomit	vomitar, regurgitar	(to regurgitate the contents of a stomach)	v
voodoo	[object Object]	(Afro-Caribbean religion)	n
voracious	voraz	(having a great appetite for anything)	adj
Voronezh	[object Object]	(city in Russia)	prop
vortex	[object Object]	(whirlpool)	n
vortical	vortiginoso	(pertaining to a vortex)	adj
votaress	[object Object]	(a female votary)	n
vote	votar	(assert a formalised choice)	v
voter	[object Object]	(one who votes)	n
vote with one's feet	votar com os pés	(to express one's preferences through one's actions)	v
Votic	[object Object]	(language)	prop
voting	votando	(action of the verb to vote)	n
voting station	{polling station}		n
voting system	sistema eleitoral	(system to determine the result of an election)	n
voucher	[object Object]	(A receipt)	n
vouchsafe	permitir	(Condescendingly grant a right)	v
vow	[object Object]	(A solemn promise to perform some act, or behave in a specified manner)	n
vowel	[object Object]	(sound)	n
vowel harmony	harmonia vocálica	(phonological process)	n
vowelization	{vocalization}		n
voyage	[object Object]	(long journey; especially by ship)	n
voyager	{traveller}		n
voyeurism	[object Object]	(derivation of sexual satisfaction by watching people secretly)	n
vulcanization	[object Object]	(process by which rubber is hardened using heat and sulphur)	n
vulcanologist	volcanologist	(person who studies volcanoes)	n
vulcanology	volcanology	(study of volcanoes)	n
vulgar	[object Object]	(obscene)	adj
Vulgar Era	{Common Era}		prop
vulgarian	indivíduo/pessoa vulgar	(vulgar individual)	n
Vulgar Latin	[object Object]	(the Latin language as spoken by people)	prop
Vulgate	[object Object]	(Latin Bible translation)	prop
vulnerability	[object Object]	(the state of being vulnerable)	n
vulnerable	vulnerável	(exposed to attack)	adj
vulnific	vulnífico	(causing wounds)	adj
vulpine	vulpino	(pertaining to a fox)	adj
vulture	[object Object]	(bird)	n
vulva	[object Object]	(collectively the external female sexual organs)	n
vuvuzela	[object Object]	(horn)	n
wacky	{zany}		adj
wafer	[object Object]	(religious token)	n
Waffen-SS	[object Object]	(combat arm of the Schutzstaffel)	prop
waffle	{vacillate}		v
wage	conduzir, travar (uma guerra)	(to conduct or carry out)	v
wager	apostar	(put up as collateral)	v
waggle	agitar, sacudir	(move with short, quick motions; wobble)	v
waggon	{wagon}		n
wagon	[object Object]	(cart)	n
wagtail	[object Object]	(various small passerine birds)	n
wail	gemido	(loud cry or shriek)	n
waist	[object Object]	(part of the body between the pelvis and the stomach)	n
waistcoat	[object Object]	(a sleeveless, collarless garment)	n
wait	await	(transitive: delay until)	v
waiter	[object Object]	(a server in a restaurant or similar)	n
wait for	esperar		v
waiting list	[object Object]	(ordered list of people waiting to obtain a good or service)	n
waiting room	[object Object]	(room)	n
waitlist	{waiting list}		n
waitress	[object Object]	(female waiter)	n
waiver	[object Object]	(the act of waiving)	n
wake	acordar	(to stop sleeping)	v
wake up	acordar, despertar	(to (become) awake)	v
wake up and smell the coffee	encarar a realidade, acordar para a vida	(stop deluding oneself)	v
wake up on the wrong side of bed	get up on the wrong side of the bed	(to be irritable)	v
Waldemar	[object Object]	(male given name)	prop
waldmeister	sweet woodruff	(herb)	n
Wales	[object Object]	(a constituent nation of the UK)	prop
walk	andar, caminhar	(to travel a distance by walking)	v
walk a tightrope	andar na corda bamba	(to undertake a precarious course)	v
walkaway	walkover	(easy victory)	n
walker	{walking frame}		n
walking cane	{walking stick}		n
walking frame	[object Object]	(framework device)	n
walking stick	stick insect	(insect)	n
walk on eggshells	pisar em ovos	(to handle sensitive matters delicately)	v
walk the talk	prometer e cumprir	(to act in accordance with one's words)	v
walkthrough	[object Object]	(A playthrough detailing the steps involved in winning the game)	n
wall	murar, amurar, amuralhar	(to enclose by surrounding with walls)	v
wallaby	[object Object]	(Any of several species of Marsupial)	n
Wallachia	[object Object]	(Walachia)	prop
Wallachian	[object Object]	(person from Wallachia or of Wallachian descent)	n
wallet	[object Object]	(case for keeping money)	n
wallflower	[object Object]	(several short-lived herbs or shrubs of the Erysimum)	n
Wallis and Futuna	Wallis e Futuna	(an overseas territory of France in Oceania)	prop
Wallonia	[object Object]	(a region)	prop
wallow	chafurdar	(to roll one's self about, as in mire; to tumble and roll about; to move lazily or heavily in any medium; to flounder; as, swine wallow in the mire)	v
wallpaper	[object Object]	(decorative paper for walls)	n
walls have ears	as paredes têm ouvidos	(walls have ears)	proverb
walnut	[object Object]	(wood)	n
walrus	[object Object]	(large Arctic marine mammal)	n
Walter	[object Object]	(male given name)	prop
waltz	valsar	(dance)	v
wan	cadavérico	(pale, sickly-looking)	adj
wand	[object Object]	(stick or staff, used to perform a useful function)	n
wander	vagar, perambular	(to move without purpose or destination)	v
wanderer	[object Object]	(one who wanders)	n
wandering	errante, vagante	(which wanders)	adj
wanderlust	[object Object]	(a strong impulse or longing to travel)	n
wangle	{falsify}		v
waning	[object Object]	(of the lunar phase)	adj
waning moon	[object Object]	(moon as it progresses from full moon to a new moon)	n
wank	masturbar	(transitive: to masturbate)	v
wanker	[object Object]	(person who wanks)	n
want	{lack}		v
wanted	[object Object]	(law: subject to immediate detainment)	adj
wanton	devasso, impúdico	(lewd, immoral; sexually open/free)	adj
