@rowCount	3394
w	d	n	t	q	g	s	r	v	b
banturucu	$x_1$ is the language with ISO 639-3 code ''trc'' (Copala Triqui).	Triqui Copala Triqui language	fu'ivla	LLLMKOSNRMVMOOQLMLQKRPNRQPNRUPLTPRQQNKPQJMQNPOLQMOMPNQMMPPNRLSQROOMLOMLMOSMPRNNMOQQSQPMOPNPPSTJQQQMNQQLNNORNSNJNNJJQMMRONOKNPLQOPTPQKLOKIOOLJQPRMNPOOQPNRUOOQRPOPOPMNOLVRNNNQNPNNMNQNPRLPPOPQNQPOMKMUNLORROLPLPOLNPQOORMMNNQPNMOOPKLIJUOQPRJOOSQQPNSOLNONORNPPNMLSLJONNMPLOQOMQKLNWKPORPKKPMQPMNRPOROKPNKOKLKPOPMMNPOPMTQPNSPOOOMLMMQOMMQQQPLNNNMTROPPPNKQORPLONOKPRSLOPUPIPSONMPMOMNPRNNOOPRSPM
klikeia	$x_1$ clicks (press and release) button/switch $x_2$	See also {cuxna}, {batke}, {danre}, {kliki}	fu'ivla	MKPPPQTNPQVMOQSSLNQOSNMOMKMLNPNPNMMQOLPNMIPMNRJROPNPNOTQQOQNOQLPORMKNOLNMNKIQOKPROOPORLNPNNQRRPKPNKORQMKNMPNMPPMNLOPKOPMSPJKNMROSOLLMPOOKOPLJNQMOSNMSROTPRPONPMPKMMMLOPLMLMOMQLJMIQMQPSJPQMRPOSONQNMPMNOPMONNKQPPLNPTNONMMJPOOPOQSOPKOQQNSLNNQOQQPJSPKNRMMTQRNNNMTNROQOOOMQRNPNOKONMQKNQOMOMQMPPNMRPPMRQSIONKKONQNROKPPQOOLRSPPONOVLOONQSLNQNTNPOTRQQMTQLNNQNMRMMPMROPPLQMKSIOOMOOOMONSTOOQRSQON	click
klikemo'u	$x_1$ drops (completes click-drag action) $x_2$ at locus $x_3$	See {kli'iki}, {mo'u}, {klikmuga}, {klikeco'a}, {klikeru'i}	fu'ivla	NMTQSQTORNWNNQORLONPOKORPNNMPLORKONPRLROPMSPMRQRNPNOOPOPNJRNOTLOONMLPRPNMQMMPMLQSNNOMRKMOLQPMSNMPJOPQONNLLPLNRNJOOJQLMLMOTMNNMNOOMNLNKLNKOMJKOPLRONQMNJPOTMRPRLOLPMQMQRONMIRNOPMLLONRQSMNOMOSNNMRLNPRNMQSNQNMJSPNKQLROVPJJJLPMSONROQMNSQNRHPLRSQPNMPQNNPNOUNPOLNNROOOPOMNNPRPOORONNNPOSPSLLLNOLOPMQQNPNVPKNNNRQNPNPOMNKQNPNPRQJONPNKORNRTLNPOVPLOSPOQPSNLOMOLMRPMNMRPQOQSMLQPPRMPPMONQRQOPOMQPNQ	drop
klikenu'o	$x_1$ hovers (move computer cursor over without clicking) over locus $x_2$	See {kli'iki}, {klikeco'a}, {klikeru'i}, {klikemo'u}, {klikmuga}, {xanyuidje}	fu'ivla	LMQNQMRMPNVOPNPSNMPOMKOQOPOPONMQLPNPOMOMRMUNNOQNQRLLQOSTRLQNKRPNQNOMOTMMLPMONNQPPNPOPPMLTMNKOPLKRLNNRPSNKRONMPLLNNKNNPRLQQONQOMOPNMLNNOPNMPIMPTJRMLNOQLLORMQNQPPKNNRMNTQMLNPORQLJMOMMNQMOMLPPOPKQOOPPPQQRPNOKIQOMLONRLRPLJKNNMMOOQSSJOSMLOIPNMUVLTJMRNOTPLUPROLOPOQOOLQMROPOPPLQNPONSLPMQLQKPNMPNNQQMLPTPNNOROQKSNQMMTKPOKNPQNNONOQMQTMQSOOOOTOSOSPSORNQKNJROKQPMPNORONPOLMPOOPKKNOPQPNNNRNPTRLQ	hover
klikeru'i	$x_1$ holds (continues click-drag action) $x_2$ over locus $x_3$	See {kli'iki}, {ru'i}, {klikmuga}, {klikeco'a}, {klikemo'u}	fu'ivla	NNRPPQTMSPVONPOSMOPQPORRMPLOSLLOJOMRNJPPPLSNMRNTOPLLOOSSQKQNPTLOMNLNPRPMLQMOPNMOQJOOOQLNPNNONQNLPMLNSTNPNNOLOPMIQQKOLPNMSRMLQJOOONLNKNLPIOOLJQPLRQNROOKMPRMSMQOPKPNPONQNLOJROMONGOPPOPRLMSJQRPOLOPNNRPNPPPNLLJQPNIQNRLTPKKIOROQOOPPQNNONMMIONRTPPOLQPMMSMOQMQNMINPPNOMROPOPRRONRMMMNQNTRPKMJOOMQPORNMROUONOOOQQNNPQOOSLRLPPQOMLOLPQJOQNPTNPSQTKNPROQRPSOKNLPMMRNMOONQPPQTMOSRRSMMNMNOQQPOQQPQQMR	hold
klikmuga	$x_1$ drags (computer term) $x_2$ to $x_3$ from $x_4$	See {kli'iki}, {muvgau}, {klikeco'a}, {klikeru'i}, {klikemo'u}	fu'ivla	MKQQRPQLSOVMTPNPMPNRPNMOSMLOROLPKQMRPLNQOKSMOQNQNQKPNTPQQMPMMSPPLMMPQRMNMOOMQPLOQQNQMVIMNMQLRQLKSMNOPQMMLNPJNOOJPJKOHMPONRLPQMOOOPQNMNNPNNOPKSPKNRNPNNNMPRPQQQLPLNKOOPRPNOKPMPQJMIQNRSQHNPMPOOPORNPRQNMMQOPLMJONKNPLQOSNNKIMOONONQPPMLRROQHNMOTPOPJPPKLQNPTQPPNKLQNNOSPOPLORPPINQNONNNPPQMNJNNMLOPQMPMNWONMNQOPNOOSONPPSLMONSOMOLNSNKRMQTJPOOSOOQRPNRRQQLMKPOLPNMPRQNNPOSNLPRNQMONQPPOQQMQOQQQPQ	drag
klingona	$x_1$ pertains to Klingon language in aspect $x_2$		fu'ivla	MPQNNPRLRLTLPQSNMQMPNOOQPNRPTRKUMSQRPLQKOOONOROQKMNMNOPPKPQMPPPPKNOMKOQKONOQSLPMMPNNLMNKKOOKSPONQPONPRPPPKNJPKMNNMPNOOPPONKOPNPOPOOHMKNNPKNMJQNOKSLRQPLOLOSOGPOMQSHNNNQNMNMMNOQQJLOORQTPSPOOOMROQNKOONNROQNNQPMSMRPOOPUNOOJMNNNONPMMMMTSROLNPNPROTPSMLLOOOPNJSOJLOQIOKOMQNNVOPQOLMPOUNQPQOLMKKQNNNNPPIPSKPJRPORRMOLLPNOTPKNOKPROLNONOOPMPOSOKLNMNRPSSPNLPROOONSNNONRQPSOQMNSNRNPNNOPPNQROMNOSVSQ	Klingon
klirlxastati	$x_1$ is a quantity of/contains/is made of astatine [At]		fu'ivla	OOMRPQVOSMTKTMNMTJNNRRQRSSLJRQLPRQQPPMQONMRRPSNNNOMRLNMOKLKPOQPNPNLNNQQPPVKORMPOLMRPPQNPNNPPOQQPRQRNOUKPKKNLRNOKNMMPPMPONPLSROMOMPQLIQLOPPMNKROLQNOKKOMRMMOPLOPNLQLOKQNQOOQOPNMNOMOPRQPMNSMTPNOOKPLPRROPRUMOOROPHNNRNPUMPOLJLLMOLRNNLLTRROOPJKNQQQPSMPQPOQRKMQOMNMIKPMLMQNOUQNPLMLRJTOPQMNLMROPNMMPONNMOLPJKNOQQJPLNNPPRNNMQLOQOPLPJRSPNQNPOLKMLOQNQPSNNNQMPPOSLRNNMRKPQOKNRQPLPNOPNNNMONMNMROSO	At
klirnastati	$k_1$ is a quantity of/contains/is made of astatine (At).		fu'ivla	NNNSPOUOSLVLTNOMSJMNRRQQSSMJSQMPQPPPOLQOLNRQPSNNNNMRJONNKLKPPQRMQNMNOQOPPVKPSNQOLNQQQRNPNOOOQQQPSSQNPTKQKKNMSMNKMMLOPNOPOQLRRONONQRMIQLPPPNMJRPLONNLLPMRMMOPMOPNLQMNLPOQNNPOOMLMOKOQSPQMNSMTPMPPKPMQQQOOSUNONRNOHNNQNPVLQNLKKLMOLRMMLKTPROOOJLMRPQPSNOQQORRLOPOMOLJKPLMLQMQUQOPMNLSKROQRLOMMPOPNMMOOOMNPMOKKMNQQKOMNNOOSMMMPKPQOPLPJRSPMQNPOLKLLNRPQPQONOQNPOORLSNNNSKQROLMRRPMPNNPNONNPMNNMQPTO	astatine
klirnbromi	$k_1$ is a quantity of/contains/is made of bromine (Fl).		fu'ivla	NJPPPOTOQLVJSONOPJMPOOOTRVNNSQMSROQPOLPPJNTOQQOPNPOQJQPOMOKRMTQMOOLOOQRPMTMOSJPPKPPPQRNNNOMOQPPQRRONPPMLKMPSQNNKOLMQSMLNNSOONMOOQOQPJPLNMOMQIPTMLNPNKQMSLMQOLPQQNPKOMNMQQNNPMKLLPKOQSQQNNRPQMOPTKLNPPOONSQQKOOOSNKONKQTLPNKKPLLOLOOPLMQMRNNNKMOQPOPRNMMQNSONSQMMPOIJSMMMPNPTPORLPOSNNOQNJPMPQONONPOPOLOQRQPMMNPONMNNLLLSOOLOMNSOPMOKNSRMUMPPLOLLNOPPPPRNKQMRNONOONOPQLMQPKJPSONQOMPPPMOSRKQIPOTO	bromine
klirnflori	$k_1$ is a quantity of/contains/is made of fluorine (Fl).		fu'ivla	NKORSOVRQMTKQQPLNKKPRRQQQTNLSRNTQNQMMKQQJOUNQROPOQMSHQPONKISOQROOPLNONNQPULRTORPLPUQQQONPPMQPQNQPRMQNOPPILNQOLONNKMNPMNQPNNQPNNOPQSNKOMNMOOOKPPONLNKOROPMNMOKPQMNPMMKLNPONPQQMMNPMPQQPPNNQOSMPOPKNPPQOOOTSRKSPQQKLOOIOQMQMNMQKNOMPLMMLPMSNLNJJKPROQQNNROPRPLPPNLOMIHQLNLONTRNPPKQMROMNNPLNMRQMOMPNNSQNQQOQMMMMPPPNJONKPSPLLPONROOMMLQSRNQMQQLLNLMQMPQQOMLPPPMPMNOPLNSJLPNMNPSOOOOKRNMPMPPNOJOMWR	fluorine
klo'aka	$x_1$ is a cloaca of $x_2$.	Common orifice of the urinary, genital and digestive systems in some animals. Present in reptiles, amphibians and monotremes ({klo'akymabru}?), among others. See also {ganxo}, {kalci}, {pinxe}, {pinji} {zargu}; {respa}, {banfi}, {since}, {cipni}. Proposed {zevlyrafsi}: klo'ak.	fu'ivla	NNQMIJRLUPSJSRMOONQRSSOPMNPMRQKMOMPPNNTSMLOMORLLMNOJKSQLGKNNORTRNMNQPPQLPNMOUONMOQNONRNMMLPOQLRNQNNPNQPNOMMNPLMKPONONMQPKLKOPPLOPPRIMPPLJMPOKPNQLRMOPSPNPNLKLQPOMQIMPMLQOKMRMNLOMMMPOPNLOJJOPNNNOIKOSNMNNMOKPPORPNQOPSSOPOLPMMNOSOPSONQRLQMQRMURROOONMONNSPOOPNQMQQLNNPMQMOSOQPOOLRMQMRQKONMQNMRMQNNNNOQMMOQLKRTLRQOQLOVNNLPLOUOOLNMNNONSPPNQSOPRQOMNNQPNQORMLONPORUOMQPTKPQORRRMMOPOMNPPOOOSUSO	cloaca
klojere	$x_1$ (set/space) is closed under operator/relation $x_2$; $x_2$ has closure in $x_1$.	If $x_2$ is an operator, then for any n-tuple of elements in $x_1$, the application of $x_2$ to that tuple produces an output which is also in $x_1$. The gismu form of this word is "{kloje}".	fu'ivla	NLPRKNVKQNROSLPQOLKLPQLONONMSRKLNMTURLPONPQOOPLLNMIQMOSOOLLLOQMNONKQOQPOJQKPUMQSNPPOPRQJNTPLSUPMQRNPORSMLSPKOMNHLNMRMPRMONKOQNMOMLKLNQIOKSOPJQOORPMOMQINPPTLJOOPQRMRQNOOOQLRPKNNOLPOMPPLORPRNLSPMMOMRPKQMQTLPLNQPONPOPPROMHNOOKOKNOMLISKNQOPQOQOPKNPNMPOMRLPSQNILONPOMOOQPPUOONOMNPMRQRSQOMORORQOQNPMNNRLOMQOORRPPONOOPSPPPMJNKOLNRNMLRMPNQQKNPNOPPQQNNPMQMPNPUPQPOOOMPPQLOSPQQLORMOOLLQQRONMPPO	closure
klombiia	$p_1$  reflects Colombian culture/nationality/geography/dialect in aspect $p_2$		fu'ivla	SLRNQNRLSNSLLNQQOPRORKNQNPSPRQNVOPLUPNPNKLQQONPRMMONMPQQLPPPMQNOPQNQMQQPOQNLPNKNORQNNPLMNORQQQPMRPPMTRNQLKNNPMNNNPLKOMNNOPJNOMSOQONMMNPNKNQPJOQUIRMRKSNPOOPLHPMQPPLLROMPPOMPPPQNMNPMPMQNMRNNSNSMQMNORQMOOSNQNNQTJMMNPSUMLNKOKNKOOKOOLMRSPOLKNRMONRKSNONQKPQMPMROONJQNLQRNONPMPPLKLSLQQRNOMMMOQNMOPQOSOQQJOKQOQQOKMQPNQLRSQPPFOMOMLNNKPPPORLNLONMPTNOPQONPOKNPMONPMPPPLRLTMLSRKOSNOPNLQPOMQRMTTNL	colombian
klovano	$x_1$ pertains to Clovis/Llano Paleoamerican (North American) lithic technological industry/culture/know-how/people of period and location (specifics) $x_2$ in properties $x_3$		fu'ivla	ONMLOMSNQORIQOKROPOURMRSQRPQQTIUTOTROOPUMMQOPROPMQPOLMPLKNOOQORSQNKSNLRNLPJOUMLJNQNOMRNOPMNNPPMRRNPONMPPGKLPNMOOLPSOOOTMKPKOOPOOPOOPJMOOJPPQKQOSNNOOOUPPOMQLNPQSPNNQOPNQOKKOPMRRNLLQQNOMONLOQPPORLNPSNPNQRRQMOPSIPKMMSQMPPKMNOHONKMROKNPOPOLOONNPQKQLKLOMPOMKPMONRLOPOMNNNOTONLMPMSMSLQRNNMONLMQNOLRNIPMJNMPMKTPMNNSMRNPQMNOJONONNPQNOPPQTLPPNNPRSPNTOPPLLLOQNOMQNSPNKOORNPQONNRMNROPPNQRNQNOQQN	Clovis;Clovis culture/people;Llano (Clovis) culture
klulele	$x_1$ is a ukulele/cavaquinho tuned to $x_2$	See also {jgita}, {zgike}, {pilno}.	fu'ivla	ONNMIMRMRLQLTNPPNLMOOQPQNQORPMKPNOLQLNNRNKRRMTLPJPQONQQPLSPLPUOPOLNKPOOKOSNRTKQPMLLOOQPLONPPLRMQSPMOQQQRHLNQPJNMOMLSKPNNOOLPLNMOMPQINNJQKPQOJNPONLLMNSQRMPSOLQRMJMJNMOMSPLOPLMMNQKQOQPRNSRKLQOTNNMPMPLMRVQOMOOSONQONONRMNPJPPKMONQPURLSROPQMPOSRQROOQNMPMOSNMOLNPNKNRNMPONPRONPONOUPRNPRNOQONMOKMSONQNQPKPLKOOQQPOPPSPOTNPQSLMSONLLNRQOKQKSMMOOOMTOPPROMMONPKLOOQKLRONPPPLMSOLPOLOPMSLMRMOKOPQRN	cavaquinho;ukulele
klupanido	$x_1$ is an occlupanid of species $x_2$.	Occlupanids are mainly studied by the Holotypic Occlupanid Research Group. See also {slasi}, {lasna}, {nanba}.	fu'ivla	PNPRKKOLTNWLOOPPPNMNPPSQQNMNSONSQMQQRMPSLKSPMLLOKPKMMOONNLPQNSQPLPMNMPROOUMOPJOMRSMMNOMQLMOLNNNNTNOOQMQPIMNOSLMJKMKOOOLMNOQRSNLOSQMLNLLMKOOOJTPPKOLPNVQQPOMMLRRKLOLQNLRPPMPQQOPPOMMONORMMSOOQOMNMNLOSNMNPTONPOQPNPNPMSQQOPKPQMOOOPPQMLOSNNNLOLRONTNQMMNNNSPJMPMOKMNOMMLQNNRPMROOOKTPRMSNPLKNPQQSQROQNLQMJOOPFOPTOLPMQPNSQQLQLNSOONQMMNNPORNQLOMLRUPPPQPNJPQRPOOPLKPOMJPNQPNSUOQPLNMMNMKOPPMLRSRO
klupefo	$x_1$ is an anchovy/sardine (family Clupeiformes) of species/variety $x_2$		fu'ivla	MPNMJOQMSMUIQOMPPNNROPQQMQONOPJRUKTRQQSTMNRLLNJNNPONIPQRGLLQORRONPONPMRNOSLNTLPNGNMNPPONPROPQNMRQNOORLOMKMLKQLMNLMOROLOMNOLQPOMORPQNONKOIMLOIQOQOQNNNSROMONLNQQLLMKPNOMTPNNROLPLOMNMRTOPOSLRSPNQPMKORNRONRRMNPOQORONIQQOQONQPJNOPMMNLNQPMMKOOKPRSVOLLMMPMPOPQMMOLNOQLMLQONQUPOPPPPQLSNSOIPNOMNJOOQNMNLQOLLNMLNRQMPQPLMRSPQONLPSOSKOMPOOORONPPQMPPSOPLQMNLQNPPOQPPJSQNNQQRNNRPNMQLOONPLLORLPOQPSQ	Clupeiformes
koblrolerakeia	$x1$ is cauliflower of strain $x2$		fu'ivla	LPPPOORQQLUIQNNMOPMNQQNSQPMQPMKSONRSOKTKPLQNMTKPONLMNOOMMOMONPQOLOLMPRNOQQMOSNROLOPPNQNNOPQOPQJPNKLOPQSMMLLNROOMNJLPMLJNNKLKMMMOMPPJOMMNKMPLIPOPKOMOPNNQLNPMKQRMKPOMRNNUPOSNPNOPSLQRRPSNNRKMROPONNJPPPNLSROORQQQLOOLKSOOROKMQRHONTQPOLPRRQMQLNQVSRKLLQLOPRPOPQNMNRLMOOPSPMQUQLPNORPPROOQMRIONOOPQPKNNNPSKOPPLPOQOOPPNONPOOMNOPUORJMLSOKNOPMQLQMNRRNONNPOORPOLQOQLLNQONNQQNOSQPNPMMPNPNJPSQONRSXM	cauliflower
koblrsinapi	$x_1$ is mustard of species/variety $x_2$.	especially mustard greens; see also {spatrsinapi}, {tsijrsinapi}, {sansrmustardo}	fu'ivla	NNRPPRSNSNVIRNOORMJKNSSNNPNOQNNSNPPOQLRRLLONNRJNNKQOLOQNMOLQNQPPKOOPQMONKTMRVNMNJSSPPRJNNPNNPQNPRLMOONKLLNNLQJONNKLOONNLPNJPNKPOQPQJNONOIMNLGQNPLQMMLRPQOMRONPNOPOINLNPSQPMPNOOJNKNQUQSOTQKONOONPNIRPOQQSNRJPQRPQPNMKPOOPNNMPNIOLSNRPKPPOONQLPPQQULRKMMOMPQPPNNLKOQKOKMRMMQTQRMLNNRPPPOPMPNOPNOSMNLQPMOPOKMLNNPTOMMMPOOUPQLQOQTOQLMOONONQONRKQPMONSQORPMOPNRPNQOLOQNOPRPQNNUOPQRNMPMMMMQQOPMNORQ	mustard
kobrkrisantemu	$k_1$ is a quantity of garland chrysantemum/chop suey green/crown daisy (Chrysantemum coronarium) of strain/cultivar $k_2$.		fu'ivla	OOPNNOSMRMTMPMLQMNKNNONTPRKPQOMSRQOPNJPQNLQPNQNONPNQJRNQPQPSOSPQOLMRPNNSNOLQUKPRJONOOPOMONONOSKQQLOQPPNMLKMNOKPLKLLQNJNMQNKMMPNOQRSKQLKOJPQOJLQKLONQOSLQMNSPQQQLPNMLLLPSOOQSMNPOQMOQVORMPQMLNKPOONNQQPLRQNQPRSPPKRNOMMNRMNORQMKOMQORRNOQOMKRMOQPTRMSNQNNMQSJOOPJLQJLQLMONNPSPKOOQQMQPRMMLMPNOMLOMNMNMNRSOMORMLNWOQPPNIMTPNKNOMQOOKLJQQLOQOSQLONKRPOPNQSMJSQNMOPRQNKROOOPTIORPNRQPOOMMLMQROONQPTP	chop suey green;crown daisy;garland chrysantemum
kobrlaktuka	$k_1$ is a quantity of lettuce (genus Lactuca) of strain/cultivar $k_2$.		fu'ivla	NLPRNPQPTNTNQONOPQKNSRPSQLLPRLLPPMPPQIPLPLQPOQKPOLPOLOQNOKORQSQQLONONOQLQSMNTQOPLPNRKNPOROKOPROPONONNOQNIJMLRMMNJMKNUKMMNPOPPMMOPNRIQNMMMPOMKPQPKRMQKSMQONPLMPTMKNMMNOPUPOOQONRQOOOQOPQNPVMOPONPOLJQROLLNOPMMQSQNMLLKSMPRNOPONMOMQNTSHKSPOPMKOPRPSMRMNNMPSROOONOLNLLOMPPOQQPMPQMRPRNQNNOLQMNPMONNOMQMMLQPNKPLIQPONNMPOOVOPJMKQSOQJKNPMMOQQQUKQOMPOQRMNQNNPQSQMRRKNNQMKSOOOQSPNMPKLNMMNOSROMNMOXM	lettuce
kobrsonku	$k_1$ is a quantity of hare lettuce/raraki of species/strain x2.		fu'ivla	NNNSOPPOTOVNNONORNHNSRQQNLKORMNRROPPPHRORJQMPPJOOPNPLOQPOLNOQTPPJLMPQOPPOPMNSNQOJPOOMQOONNNNRSQPRLNPNNRMKKMNQMNJMLOQSJMLQNPQNNKOPNMJOOLLMRONJPQONTNPNRNMNOQHLPVOMNLLMNOUQMONQMQOPNOSTQRLQSMNMNONPKIQORPMOMPLNTRQNRLMJQPOTOOQNNOOLSLTRKORPONPMNTQQQOPKMNOQRSMOMNNLQNLNQNOQOQQONRLRORMQNPQLRNLOLQPMNOOMLOQPMNOMKRQNNOKPONVONKOKOUOOKLNONMNOSQTLQOMONQPMQRMKNPQQLRQNNQPNNSONORRPNONLLNMNMMRQMNOOOSN	hare lettuce
kobrtaraksaku	$s_1$ is a quantity of dandelion leaves (genus Taraxacum) of species/strain/cultivar $s_2$.		fu'ivla	NMRQOORNSMRKRPOONOJPRPQNQOLPRNMVNNNONLOOOORNNRKOQKPMKQSLRLNRTQOMNPNMQLLONTKNRPONKQNOQQOOSRKPMPIPOQKQRSNMIJNLMKNNMLJNOMMNOPOOSKMORSNQQMKNILMMJNQQMMPOPPNPPNNPKQRKPSKNMMQQRQPSLQNNSNQPVQLNPPMPOOPRSOLPSNOMTQRMPNPQOMMLMPPPNMPONNPOOUNPOQMRNOOPMONMTONPLPJMPTQNONQOMJLMRMMROOSQOLNPQNSPPQQQNNOONMMOKSNRMPMRNNLPNQPRMMONNIMRQLMNKOQOPHMLRNPPRQRQLOONOROPOOOKQOPQLOOQMMKPQLRNRLNTQQOOPMPRPLGRPOOMONTO	dandelion leaves
kognato	$x_1$ is a cognate of $x_2$	See {valsi}, {lengua}	fu'ivla	OOQONMSLRLXIRMQONMRNMPMQROMORQMPKNNQSMUSNKSOPRPPMNMMKPQPQPPMMRPPMNPOPRQPNQIQSOMNMTQLMQLKLOQOPTMORNMMORLRPNMNPNLHNLMSMOOPQOMNQHOOQRNQKNNOKMOKHONRMONTMQMLMNRPJPOMQQJMNLMSRNLPQQLJLJNQPSNKMONNOLQSMMLPPQNNPPQMPLOQOPOLNQRPNOJOPLKOMPNPJNTPMQKMNMQQRQPQOMMLPQPRONONMQNQNOOLOMPSRPONPQPNPPQOSLONOOPPOPQQTOOTLNKQMMMPKNRONJQSNOMMNLPOMNQLPOPMTNOMOPNNOPPPPPONOQPTOKNOPMPPTNQPQLNTRMQPMNRPPKONNQPOOQWL	cognate
koinde	$x_1$ orders/commands/exhorts/pleads/hopes/suggests to $x_2$ to be/do $x_3$ (property)	Predicate version of {ko'oi}. See also, {ko}	fu'ivla	OOSPPPPMQPRMRRTQRMOQSRPPOMMMRPLRSTOTPLPNLMQONSQOKNMQMPRQMOPNMSNPLPOROQQNLRKQUKKIFPPQNQKNRPOJNRLQMKMPQTNLMLNNPPNKPKMQKMPMRRPMPKNORPQOOOPOJSQOJOMLORMRORNOONPQQPNNOPJRKORMOOMOPMLNRPRMRPQKNQNMOKQNQLOLQMMQNOPLPMRNKNMWSOSONNLOOMLOPROQPKRNPKJLOONPQOOQNOMQOPSQPMMOLPMNPRLQPMPRMOOLNOOOLONNLLOLPROOJOQPMNONONOKOJQMQPNRNMNVQRLPQOMOKNTKPPQORLRQKJMLQMMONOOLOPLQMSPPQNRONMSNRMNSOOOLOKOPNPOUQRQMTPPP
koinka	$x_1$ is a cognac distilled from grapes $x_2$.	Cf. {xalka}, {jikru}, {vanjyjikru}, {vanju}. For brandies without an AOC designation use {vanjyjikru}.	fu'ivla	LJPQMORNRKUMSMNPPLOONPOQSNOQQPOQOMMORJRSOMMRNQNQLQOPMMPMQOMRNRPQLPPQQMMMPSLOTOMRKRKOMRLMPQMNPOPNSNKNMSLPLQNNRNMLOJIRNPQMNNLMPJOOPTQPKPMNLNOMHPPQPLOPNOMRKNPTNPPOPOKLLNRROPPUNRLMNJMPQSNLNOJNPMPRKMKNQPONQORLRNSPLNPOOQQPOMMOPNOOOORRNLPNOOMOLMPTVQMSNMOKNPSOPPPMNOLOPKJNOKMTPPLMSPSQPTNNPPMNPQPOMOSSOJPQMQLLKKMSLOLRNLRTNPNQLOROOMNMONMNSPNQLPONOSPRRROMMMPPOLQOPMLTTNNRNLLSLOPQNPRQPLLNLNPMQMUM	cognac
koinside	$x_1$ (event) coincides with $x_2$ in $x_3$ (property); $x_1$ (event) is a coincidence, an event that might have been arranged although it was really accidental	$x_3$ can describe $x_1$ and $x_2$ happening at the same time/place etc.	fu'ivla	ONTRQNQLXNVNSOQOLLJQOLLPPPOOSQOOKPQRPNSOLISMNSPQLNOROLRRPOPJOUOPNNNNSQTPPRNORPLPLPQOPQKOOPONRTNOQOONOTKSQMIJPMPJQNLTKOMMNQLNNLQONMJMPOLOLPRNKOMQOPNNLOMQNTRSNOOPQOKMNKMOMNKLOMNKQJQPSPPKPNLQOMSPOKONPPPQPMQLONQTLNPPKPRNMNLMQOLOKRNONLPLNOKLKNOPRONTQLMMOOPNOONPNNNNPKNKONOSQPMNPOOOQPQTOMOQOOOSLRNNPNOQINMQPPQOLPOOLOOROOJPMONONPPLNLPPRNOPJMLKOOOQTQNLLOMTNKPMSOPPPLQNUMMUQOPMPPNQMLOQPPQMRRNN	coincidence
kokcinela	$x_1$ is a ladybug/ladybird/lady beetle of genus/species $x_2$.	see {cakcinki}, {spacivla}	fu'ivla	LMQPMMSMOMVJRLLSPKPOOROQNOMPQNOTOQPQPMQQMNQMMSNONMPNKRPNPKMQOVRQMMKPSMONLSKMTMRPGOQPPQLRMOMMRSNOQMMQNQOOMLPPRKQLMMLLOMOKQPKLTNKORSQKNOMONPQKINQTMOMQOQPLPRPNMQQNNQMMMIOSQKMPOOMNPLOPTQPOQOMONNPOQJOPMNPNUPPOPQOPNOMLOQTMPPKPNOLOKQMPPMPSLOJPKMUOSNNPONOLNQUNQMLPOLONNLPOONOPQPNNRNQNPNNMNOSMLMMSJOMONKOOOPNPMLSPNOOPQLKVOKNSNMOOONPJQMONSNROONPMMQPOPQPNKPPONMMVPNOQPMSOQMQQPOSOPMPPPMKOPKPNQMQQ	lady beetle;ladybird;ladybug
kokteili	$x_1$ is a cocktail containing $x_2$	See also {jisra}, {barja}	fu'ivla	OLSRNPUKUKSMROSPPLOPMQORQQQMSQOSMNNPSNQSMMQNORKOPOKQMOSNNMOTMRQPNMLSQPNMQQIOUNNSMOOPLRKKKNOMONRNOMMPPUOKNMOPSKMLQKJQNMMONPNOOMPOONNNOONMKNPLHRPMKRMLKMNQLQRQNPNQMRKONPPQNPMPMOJMOJQORSOKOQNNONLRPQLMRLNRSPOJQQTQNLQSQPSNPMGMRMMOPQPNQNTOPONPPNRQTSMRNLPNNQTOOOONKPMMNNKLQLNUROLMMNPNPPPOMLNOOROOONMPPLSQNPMNKMPQMPMNPNRTLOMMLMROOOOPNONMRNSQLOLKMQOQSPRNMPORLOOPLPMOPNOMPJLRQPQPMRQQQMPPNQNKSSQN
kolbasa	$x_1$ is a sausage made of $x_2$.	Not necessarily with a gut skin; see also {tisycanti}.	fu'ivla	MNRRKKQNTKUMQMNMSMLOOSQNQMQPQNOLMQQQTNOSNJRLQQIOLOIKONPOMOKPNSQQPMOPLPOMPPOOTMRRNRMMKQOPJNOIPRRONQMOLMQPONNRRKPLLLNONNMNMRNPONLOQOQKNOLMNQLLJQONLPLNMQQNMOPKLPPMMOLRONMSPOMQLOMNNKTRTOTNPRQOQPPOJNOQPPNNQQNKPPSMQRPONRPLQPINNMMOPPPRNLRTNQPNOMWPMOQQJQOPMSOOOLNLNKLPLOMMPLOVNOQKNOROTNNPMNNPPMPPRQMLLMPPKPPMILQSKMORRLOVNPOPNQROPOQOJOPKRPKRKRLOLSOPQRQQNOOQONPQPOMOQLPQQLQPMQQOJSPOQQNNQPQOSMSQ	sausage
