@rowCount	5744
w	d	n	t
mackerel bird	{wryneck}		n
mackintosh	raincoat	(raincoat in general)	n
macpalxochitl	{Mexican hand tree}		n
macrocosm	universe	(the universe)	n
macroeconomics	[object Object]	(study of the entire economy)	n
macron	[object Object]	(short, straight, horizontal diacritical mark placed over a vowel)	n
macroscopic	macroscópico	(visible to the unassisted eye)	adj
macrosporangium	{megasporangium}		n
mad	louco, maluco	(insane (adj.))	adj
Madagascar	Madagáscar [Portugal], Madagascar [Brazil]	(country in Southern Africa)	prop
madam	[object Object]	(woman who manages a brothel)	n
mad cow disease	[object Object]	(bovine spongiform encephalopathy)	n
madder	[object Object]	(dye)	n
Madeira	[object Object]	(island and autonomous region)	prop
Madhya Pradesh	Madhya Pradesh	(Madhya Pradesh, India)	prop
madly	loucamente	(in a mad manner)	adv
madman	[object Object]	(An insane man)	n
madness	[object Object]	(rash folly)	n
Madras	[object Object]	(city)	prop
madrasa	{madrasah}		n
madrasah	[object Object]	(school for Islamic theology)	n
madrassah	{madrasah}		n
Madrid	[object Object]	(capital of Spain)	prop
Madrilenian	[object Object]	(of Madrid)	adj
Madrileño	Madrilenian	(Someone from Madrid)	n
madrone	{strawberry tree}		n
maelstrom	voragem	(large whirlpool)	n
mafia	[object Object]	(a crime syndicate)	n
Mafioso	[object Object]	(member of the mafia, see also: mobster)	n
Magadan	[object Object]	(city in Siberia)	prop
Magas	[object Object]	(a city in Russia)	prop
magazine	[object Object]	(periodical)	n
Magdalene	Madalena	(female given name)	prop
mage	[object Object]	(magician, wizard or sorcerer)	n
Magellan	[object Object]	(surname)	prop
Magellanic penguin	pinguim-de-magalhães	(Penguin)	n
magenta	magenta	(colour)	n
maggot	[object Object]	(worthless person)	n
Maghreb	[object Object]	(region in Africa)	prop
Maghrebi	[object Object]	(native of the Maghreb)	n
Magi	[object Object]	(the three wise men)	prop
magic	[object Object]	(use of supernatural rituals, forces etc.)	n
magical	mágico	(relating to magic)	adj
magic carpet	[object Object]	(a carpet capable of magical flight)	n
magician	[object Object]	(spiritualist or practitioner of mystic arts)	n
magic wand	[object Object]	(stick or staff used to perform magic)	n
magic word	[object Object]	(word with magical effect)	n
magister	[object Object]	(The possessor of a master's degree)	n
magistrate	[object Object]	(judicial officer)	n
magma	[object Object]	(molten matter)	n
Magna Carta	[object Object]	(the Magna Carta)	prop
Magna Graecia	[object Object]	(Ancient Greek colonies in Italy and Sicily)	prop
magnanimous	magnânimo	(noble and generous in spirit)	adj
magnate	magnata	(wealthy and powerful business figure)	n
magnesium	[object Object]	(chemical element)	n
magnet	[object Object]	(piece of material that attracts some metals by magnetism)	n
magnetic	magnético	(of, relating to, caused by, or operating by magnetism)	adj
magnetic field	[object Object]	(a field of magnetic force)	n
magnetic moment	[object Object]	(magnetic moment)	n
Magnetic North	{magnetic north}		n
magnetic tape	[object Object]	(acrylic tape used for recording data)	n
magnetism	[object Object]	(the property of being magnetic)	n
magneto-	{magnet-}		prefix
magnetometer	[object Object]	(instrument)	n
magnificent	magnífico	(grand, elegant or splendid in appearance)	adj
magnifico	[object Object]	(grandee or nobleman of Venice)	n
magnifying glass	[object Object]	(instrument)	n
Magnitogorsk	[object Object]	(city in Russia)	prop
magnitude	[object Object]	(size etc)	n
magnocellular	magnocelular	(having large cells)	adj
magnolia	[object Object]	(tree)	n
magpie	[object Object]	(bird of genus Pica)	n
Magyar	{Hungarian}		adj
maharaja	[object Object]	(a Hindu prince ranking above a raja)	n
Maharashtra	[object Object]	(state in western India)	prop
Maharastra	{Maharashtra}		prop
Mahilyow	{Mogilev}		prop
mahjong	[object Object]	(game for four players)	n
mahogany	[object Object]	(wood)	n
Maia	[object Object]	(daughter of Atlas)	prop
maid	[object Object]	(young female)	n
maiden	[object Object]	(unmarried young female)	n
maidenhair fern	{maidenhair}		n
maidenhead	[object Object]	(hymen)	n
maiden name	[object Object]	(married woman's original last name)	n
mail	postar, enviar, remeter, expedir	(to send via the post)	v
mailbox	[object Object]	(box into which mail is put)	n
mailman	[object Object]	(post office employee)	n
maim	mutilar	(to cause permanent loss of a part of the body)	v
main	{strength}		n
Maine	[object Object]	(US State)	prop
mainland	[object Object]	(the main landmass of a country or continent)	n
mainly	principalmente	(chiefly; for the most part)	adv
mainstay	[object Object]	(a chief support)	n
mainstream	convencional	(used or accepted broadly; common, usual or conventional)	adj
maintain	manter, manutenir	(to keep up)	v
maintenance	[object Object]	(keeping a machine in service)	n
Mainz	[object Object]	(capital of Rhineland-Palatinate)	prop
maize	[object Object]	(corn; a type of grain of the species Zea mays)	n
majestic	majestoso	(having splendor or royalty)	adj
majestical	{majestic}		adj
majesty	majestade	(the quality of being impressive and great)	n
Majesty	majestade	(term of address for royalty and imperiality)	pron
majiang	{mahjong}		n
majlis	[object Object]	(council, assembly, or public meeting, in some Muslim countries or territories)	n
major	maior, maior de idade	(person of legal age)	n
major arcana	arcanos maiores, triunfo maior	(Tarot cards)	n
Majorca	[object Object]	(island)	prop
majority	[object Object]	(more than half)	n
majuscule	capital letter	(upper-case letter)	n
make	fazer	(to produce)	v
make a living	ganhar a vida	(earn enough income)	v
make a mountain out of a molehill	fazer tempestade em copo d'água	(to treat a problem as greater than it is)	v
make an exhibition of oneself	pagar mico, dar vexame	(to embarrass oneself in public)	v
make a point	fazer questão	(to take care in doing something of something)	v
make a spectacle of oneself	pagar mico	(To embarrass oneself or others in public)	v
make do	quebrar o galho	(to get by (with))	v
make ends meet	chegar ao fim do mês	(get by financially)	v
make fun of	tirar sarro de, zoar de [Brazil], caçoar de	(tease, ridicule)	v
make headway	abrir caminho	(progress)	v
make love	fazer amor	(to engage in sexual intercourse)	v
make out	comer	(To kiss or to make love)	v
maker	fazedor	(one who makes)	n
make sense	fazer sentido	(be coherent)	v
makeshift	[object Object]	(A temporary, usually insubstantial, substitution for something else)	n
make the bed	fazer a cama	(arrange sheets, etc smoothly and neatly)	v
make up	resolver, fazer as pazes	(to resolve, forgive or smooth over an argument or fight)	v
makeup	[object Object]	(cosmetics)	n
make use	empregar	(to use)	v
make way	abrir caminho	(to give place or step aside)	v
Makeyevka	{Makiyivka}		prop
make yourself at home	sinta-se em casa	(phrase)	phrase
Makhachkala	[object Object]	(capital of Dagestan, Russia)	prop
Malacca	[object Object]	(state in Malaysia)	prop
Malachi	[object Object]	(book of The Bible)	prop
malachite	[object Object]	(mineral)	n
malady	mal	(a disease, illness, or other health disorder)	n
Malagasy	[object Object]	(the language of the Malagasy, when considered one language)	prop
malaise	[object Object]	(bodily feeling)	n
malar	{cheekbone}		n
malar bone	{cheekbone}		n
malaria	[object Object]	(disease)	n
malarkey	[object Object]	(nonsense; rubbish)	n
Malawi	Malávi	(Republic of Malawi)	prop
Malay	[object Object]	(the Malay language)	prop
Malayalam	malaiala	(language)	prop
Malay Archipelago	Arquipélago Malaio	(archipelago)	prop
Malayization	{Malayisation}		n
Malaysia	[object Object]	(country in Southeast Asia)	prop
Malaysian	{Malay}		prop
Maldives	[object Object]	(country in South Asia)	prop
Maldivian	Dhivehi	(language)	prop
male	[object Object]	(plant of masculine sex)	n
male chauvinist	[object Object]	(A male advocate of male chauvinism)	n
maledict	{curse}		v
malediction	{curse}		n
maleficent	maléfico	(harmful or evil in intent or effect)	adj
malevolence	malevolência	(hostile feeling and attitude)	n
malevolent	malevolente	(having or displaying ill will; wishing harm on others)	adj
malevolently	maliciously	(malevolently)	adv
malfeasance	[object Object]	(sabotage that causes damage)	n
malfeasor	{wrongdoer}		n
Mali	Mali	(A country in Western Africa)	prop
Malian	[object Object]	(A person from Mali or of Malian descent)	n
malice	[object Object]	(intention to harm)	n
malicious	malicioso, maldoso	(Of, pertaining to, or as a result of malice or spite)	adj
maliciousness	malevolence	(maliciousness)	n
malign	[object Object]	(evil or malignant)	adj
malignant	maligno	(tending to produce death)	adj
malkin	{cat}		n
mall	[object Object]	(enclosed shopping centre)	n
mallard	[object Object]	(a common and widespread dabbling duck, Anas platyrhynchos)	n
mallet	[object Object]	(small maul)	n
malleus	{tripus}		n
mallophagan	{chewing louse}		n
mallow	[object Object]	(any of a group of plants in several genera of the taxonomic family Malvaceae)	n
malnutrition	[object Object]	(lack of adequate nourishment)	n
malpractice	[object Object]	(the improper treatment of a patient by a physician that results in injury or loss)	n
malt	maltar	(to convert grain into malt)	v
Malta	[object Object]	(republic)	prop
Maltese	[object Object]	(language of Malta)	prop
Maltese cross	[object Object]	(cross)	n
malt-o-meal	{cream of wheat}		n
malt whiskey	{malt whisky}		n
malware	[object Object]	(software developed to cause harm to a computer system)	n
mama	{mum}		n
mamba	[object Object]	(venomous snake)	n
mambo	[object Object]	(Latin American music genre)	n
mamma	{mum}		n
mammal	[object Object]	(animal of the class Mammalia)	n
mammalian	mammal	(any mammal)	n
mammary	mamma	(breast)	n
mammary gland	[object Object]	(milk-secreting gland)	n
mammee apple	[object Object]		n
mammoth	[object Object]	(elephant-like mammal)	n
mammothrept	[object Object]	(spoilt child)	n
mamoncillo	[object Object]	(Meliococcus bijugatus)	n
man	operar	(to take up position in order to operate something)	v
Man	[object Object]	(genus Homo)	prop
manacle	[object Object]	(a shackle restricting free movement of the hands)	n
manage	conseguir	(to succeed at an attempt)	v
management	[object Object]	(administration; the process or practice of managing)	n
manager	[object Object]	(person whose job is to manage something (for female equivalents, see manageress#Translations, see also: manageress)	n
Manama	[object Object]	(the capital city of Bahrain)	prop
manatee	[object Object]	(any of several plant-eating marine mammals, of family Trichechidae)	n
Manchester	[object Object]	(Major city in the north-west of England)	prop
Manchu	[object Object]	(language)	prop
Manchuria	[object Object]	(Manchuria)	prop
mandarin	mandarin orange	(tree)	n
Mandarin	[object Object]	(Standard Mandarin, see also: Chinese)	prop
mandarin duck	[object Object]	(bird)	n
mandarin orange	[object Object]	(tree)	n
mandate	[object Object]	(official command)	n
mandatory	obrigatório, necessário	(obligatory)	adj
Mandela	[object Object]	(surname)	prop
mandible	[object Object]	(lower jaw)	n
mandolin	[object Object]	(musical instrument)	n
mandrake	[object Object]	(botany)	n
mane	[object Object]	(longer hair growth on back of neck of a horse)	n
maned wolf	[object Object]	(Chrysocyon brachyurus)	n
manes	[object Object]	(spirits of the dead)	n
maneuver	[object Object]	(a movement, often one performed with difficulty)	n
manga	[object Object]	(comic originated in Japan)	n
Mangalore	Mangalore	(city in western India)	prop
Mangalorean	[object Object]	(Resident of the city of Mangalore)	n
manganese	[object Object]	(chemical element)	n
mange	sarna	(skin disease)	n
manger	[object Object]	(trough for animals to eat from)	n
mangle	mutilar, desfigurar, mudar	(to change, mutilate or disfigure)	v
mango	[object Object]	(tropical fruit tree Mangifera indica)	n
mango juice	[object Object]	(juice)	n
mangonel	[object Object]	(type of military engine)	n
mangosteen	[object Object]	(fruit)	n
mangrove	manguezal, mangue	(habitat)	n
mangy	sarnento	(afflicted with mange)	adj
manhater	{misanthrope}		n
manhole	[object Object]	(a hole in the ground used to access the sewers or other underground vaults and installations)	n
manhood	virilidade	(state of being a man as distinguished from a child or a woman.)	n
mania	[object Object]	(violent derangement)	n
maniac	[object Object]	(insane person)	n
manifest	dar ao manifesto	(to exhibit the manifests or prepared invoices of; to declare at the customhouse)	v
manifestation	[object Object]	(the act or process of becoming manifest)	n
manifesto	[object Object]	(a public declaration of principles, policies, or intentions, especially that of a political party)	n
manifold	[object Object]	(topological space)	n
-manifold	{manifold}		n
Manila	[object Object]	(capital of the Philippines)	prop
Manila hemp	[object Object]	(the fibre of the abaca)	n
manioc	[object Object]	(tropical plant)	n
manipulate	manipular		v
Manipur	[object Object]	(Manipur, India)	prop
manita	{Mexican hand tree}		n
Manitoba	Manitoba	(Province in western Canada)	prop
manitou	[object Object]	(A god or spirit as the object of religious awe or ritual among some American Indians)	n
mankind	[object Object]	(human race)	n
manliness	[object Object]	(similarity to man)	n
manly	varonil, viril	(having the characteristics of a man)	adj
manmade	[object Object]	(created by a human)	adj
manna	[object Object]	(food)	n
manna ash	[object Object]	(Fraxinus ornis)	n
mannequin	[object Object]	(model of the human body used for the displaying of clothes)	n
manner	[object Object]	(way of performing or effecting; method or style)	n
man of the world	[object Object]	(a worldly man)	n
man-of-war	magnificent frigatebird	(man of war bird)	n
manometer	[object Object]	(instrument)	n
manor	[object Object]	(seat of control of feudal district)	n
manpower	labour force	(workforce)	n
mansard	{mansard roof}		n
mansion	[object Object]	(large house or building)	n
manslaughter	[object Object]	(act of killing unlawfully, but not wilfully)	n
mansuetude	[object Object]	(gentleness, meekness)	n
manticore	[object Object]	(mythical creature)	n
mantis	[object Object]	(any of various large insects of the order Mantodea)	n
mantissa	[object Object]	(part of a logarithm after the decimal point)	n
mantle	[object Object]	(zoology: body wall of a mollusc)	n
mantra	[object Object]	(a phrase repeated to assist concentration during meditation)	n
Mantua	Mântua	(province)	prop
manual	[object Object]	(booklet that instructs)	n
manual labor	manual labour	(work done by hand)	n
manufacture	produzir	(to produce goods)	v
manul	manul, gato-de-pallas	(Otocolobus manul)	n
manure	[object Object]	(excrement)	n
manus	{hand}		n
manuscript	[object Object]	(book, composition or any other document, written by hand)	n
manwhore	[object Object]	(a man who sells his body for money; a male prostitute)	n
Manx	{Manx Gaelic}		prop
Manx cat	[object Object]	(mammal)	n
Manx Gaelic	[object Object]	(a Goidelic language spoken on the Isle of Man)	prop
many	[object Object]	(an indefinite large number of)	determiner
many a mickle makes a muckle	grão a grão enche a galinha o papo	(lot of small amounts together, become a large amount)	proverb
manyplies	{omasum}		n
many thanks	muito obrigado	(many thanks)	phrase
Maoism	[object Object]	(philosophy espoused by Mao Zedong)	n
Maoist	[object Object]	(Maoist advocate)	n
Mao jacket	{Mao suit}		n
Maori	[object Object]	(member of the people of New Zealand)	n
map	[object Object]	(visual representation of an area)	n
maple	[object Object]	(tree of the Acer genus)	n
Mapudungun	[object Object]	(language)	prop
Maputo	[object Object]	(capital of Mozambique)	prop
mara	[object Object]	(caviid rodent)	n
marabout	[object Object]	(tomb)	n
marabunta	{army ant}		n
Marathi	[object Object]	(people of Maharashtra)	prop
marathon	[object Object]	(Road race)	n
marathoner	[object Object]	(someone who participates in marathons and other long-distance races)	n
marauder	[object Object]	(one who moves about in roving fashion looking for plunder)	n
marble	[object Object]	(spherical ball)	n
marbled cat	[object Object]	(Pardofelis marmorata)	n
Marcel	[object Object]	(male given name)	prop
Marcellus	[object Object]	(male given name)	prop
march	marchar	(walk with long, regular strides)	v
March	[object Object]	(third month of the Gregorian calendar)	prop
marchioness	[object Object]	(wife of a marquess)	n
march to the beat of a different drum	fazer as coisas do seu jeito	(to do things unconventionally)	v
Marcomannic	marcomano	(of or pertaining to the Marcomanni)	adj
mare	[object Object]	(female horse)	n
mareogram	{marigram}		n
Margaret	[object Object]	(female given name)	prop
margarine	[object Object]	(spread)	n
margay	[object Object]	(Leopardus wiedii)	n
margin	[object Object]	(edge of the paper that remains blank)	n
marginal	[object Object]	(of, relating to, or located at a margin or an edge)	adj
margrave	[object Object]	(military officer in charge of German border area)	n
marguerite	{oxeye daisy}		n
Mariana Trench	Fossa das Marianas	(trench in the North Pacific Ocean)	prop
mari complaisant	[object Object]	( husband who tolerates his wife's adultery)	n
Marie	Mary	(female given name)	prop
marigold	[object Object]	(Tagetes)	n
marijuana	[object Object]	(the drug)	n
marimba	[object Object]	(musical instrument)	n
marina	[object Object]	(harbour)	n
Marina	[object Object]	(female given name)	prop
marinade	{marinate}		v
marinate	marinar	(soak in marinade)	v
marine	[object Object]	(member of a marine corps)	n
marine corps	[object Object]	(military organization of marines who are trained and equipped to fight on or from ships)	n
mariner	{sailor}		n
Mario	[object Object]	(the given name)	prop
marionette	[object Object]	(string puppet)	n
mariticide	uxoricide	(a man who kills his wife)	n
maritime law	admiralty law	(body of law)	n
maritime republic	república marítima	(city-states which established colonies around the Mediterranean)	n
Marius	[object Object]	(male given name)	prop
marjoram	[object Object]	(plant)	n
mark	marcar, indicar	(indicate)	v
Mark	[object Object]	(the Evangelist)	prop
marker	{marker pen}		n
marker pen	[object Object]	(pen)	n
market	sell	(to sell)	v
marketableness	marketability	(marketableness)	n
market economy	[object Object]	(economy in which and services are exchanged in a free market)	n
marketer	[object Object]	(one who designs and executes marketing campaigns)	n
marketing	[object Object]	(the promotion, distribution and selling of a product or service)	n
market share	[object Object]	(percentage of some market)	n
marksman	atirador	(a man skilled in shooting at a target)	n
marksmanship	[object Object]	(ability to shoot accurately at a target)	n
markup language	[object Object]	(computer language using markups)	n
marlin	marlim	(game fish)	n
marmalade	geleia	(jam)	n
marmoset	[object Object]	(small monkey)	n
marmot	[object Object]	(rodent of the genera Marmota)	n
maroon	bordô	(dark red, somewhat brownish colour)	n
marquess	[object Object]	(title of nobility)	n
marquis	marquess	(nobleman)	n
Marrakech	[object Object]	(city in Morocco)	prop
marriage	[object Object]	(wedding)	n
marriage agency	[object Object]	(business)	n
married	casado	(In a state of marriage; having a wife or a husband)	adj
married couple	[object Object]	(Two people who are married to each other)	n
marrow	[object Object]	(substance inside bones)	n
marry	casar	(to unite in wedlock)	v
Mars	[object Object]	(planet)	prop
Marseilles	Marselha	(city in France)	prop
marsh	marisma, pântano	(area of low, wet land)	n
marshal	empacotar	(to gather data)	v
Marshallese	[object Object]	(language)	prop
Marshall Islands	Ilhas Marshall	(Republic of the Marshall Islands)	prop
marshmallow	[object Object]	(plant)	n
marshrutka	[object Object]	(share taxi)	n
marshy	[object Object]	(of, or resembling a marsh; boggy)	adj
marsupial	[object Object]	(mammal of which the female typically has a pouch)	n
marsupium	[object Object]	(pouch of a marsupial)	n
marten	marta	(mammal)	n
Martha	Marta	(female given name)	prop
martial	marcial	(Relating to or connected with the armed forces or the profession of arms or military life)	adj
Martial	Marcial	(Roman poet)	prop
martial art	[object Object]	(fighting style)	n
martial law	[object Object]	(rules by military authorities)	n
Martian	[object Object]	(imaginary inhabitant of the planet Mars)	n
Martin	[object Object]	(given name)	prop
martini	[object Object]	(cocktail)	n
Martinique	Martinica	(Department of Martinique)	prop
martlet	[object Object]	(A mythical bird, often used in heraldry, which possessed no feet)	n
martyr	{torture}		v
martyrology	[object Object]	(list of martyred Christian saints)	n
marvel	{miracle}		n
marvellous	marvelous	(exciting wonder)	adj
marvelous	maravilhoso	(exciting wonder or surprise)	adj
Marx	Marx	(surname)	prop
Marxian	[object Object]	(of or pertaining to Karl Marx and his ideas)	adj
Marxism	[object Object]	(Marx's philosophy)	n
Marxism-Leninism	[object Object]	(communist ideological stream)	prop
Mary	[object Object]	(female given name)	prop
Mary Jane	[object Object]	(double given name)	prop
Maryland	[object Object]	(a state of the United States of America)	prop
Mary Magdalene	[object Object]	(female disciple of Jesus)	prop
marzipan	[object Object]	(confection of almond paste, sugar and egg white)	n
mascara	[object Object]	(eyelash cosmetic)	n
mascot	[object Object]	(something used to symbolize a sports team or other group)	n
masculine	[object Object]	((grammar))	n
masculinity	[object Object]	(degree or property of being masculine)	n
masdar	{verbal noun}		n
mash	{mashed potatoes}		n
mashed potatoes	[object Object]	(potatoes that have been boiled and mashed)	n
mask	máscara	(two-color bitmap used to create transparency in an image)	n
masochism	[object Object]	(the enjoyment of receiving pain)	n
masochist	[object Object]	(someone who enjoy, see also: enjoys pain)	n
mason	[object Object]	(one who builds with stone or brick)	n
mason wasp	{potter wasp}		n
Masovia	[object Object]	(Region of Poland)	prop
masquerade	mascarar	(to conceal with masks)	v
Masr	{Egypt}		prop
mass	missar	(celebrate Mass)	v
Mass	[object Object]	((Roman Catholic Church) the principal liturgical service)	n
Massachusetts	[object Object]	(a state of the United States of America)	prop
massacre	massacrar	(to kill in considerable numbers)	v
massage	massagear	(to perform a massage on somebody)	v
masseur	[object Object]	(a person who performs massage)	n
mass grave	[object Object]	(a grave with many human corpses)	n
massive astrophysical compact halo object	{massive compact halo object}		n
mass media	[object Object]	(public communication that reaches a large audience)	n
mass spectrometry	[object Object]	(analytical tecnique)	n
mast	mastro	(support of a sail)	n
master	[object Object]	(tradesman who is qualified to teach apprentices)	n
masterpiece	obra prima	(piece of work that has been given much critical praise)	n
master race	[object Object]	(race of people)	n
master's	{master's degree}		n
master's degree	[object Object]	(postgraduate degree)	n
masterwork	masterpiece	(piece of quality indicative of having been made by a master)	n
mastery	{philosopher's stone}		n
mastiff	[object Object]	(mastiff)	n
mastodon	[object Object]	(extinct elephant-like mammal of the genus Mammut)	n
masturbate	masturbar-se [oneself], masturbar [another person]	(to masturbate)	v
masturbation	masturbação, punheta [slang]	(manual erotic stimulation of the genitals)	n
masturbator	[object Object]	(someone who masturbates)	n
masturbatory	[object Object]	(pertaining to masturbation)	adj
masu	[object Object]	(square wooden box)	n
Masuria	Masúria	(an area in northeastern Poland)	prop
maté	chimarrão, mate	(the beverage maté)	n
mat	[object Object]	(foot wiping device or floor covering)	n
matador	[object Object]	(bullfighter)	n
matamata	[object Object]	(turtle)	n
match	combinar	(to agree; to equal)	v
matchstick	[object Object]	(piece of wood)	n
mate	first mate	(nautical: first mate)	n
mateology	[object Object]	(vain discourse)	n
Matera	Matera	(town)	prop
material	[object Object]	(text)	n
materialism	[object Object]	(philosophical belief)	n
maternal	materno	(related through the mother, or her side of the family)	adj
maternal aunt	[object Object]	(the sister of one's mother (several languages distinguish between blood maternal aunts (one's mother's sister) and in-law maternal aunts (one's mother's sister-in-law).))	n
maternal death	[object Object]	(the death of a woman that occurs directly related to the procreative process)	n
maternal grandfather	avô maternal	(one's mother's father)	n
maternal grandmother	[object Object]	(The mother of one's mother)	n
maternal uncle	tio, tio materno	(brother of one's mother)	n
mathematical	matemático	(of, or relating to mathematics)	adj
mathematician	[object Object]	(expert in mathematics)	n
mathematics	[object Object]	(field of study)	n
matinee	[object Object]	(a showing of a movie or theatrical performance in the afternoon)	n
matriarch	[object Object]	(a female leader of a family, a tribe or an ethnic or religious group)	n
matriculation	[object Object]	(enrollment in a college or university)	n
matrix	{womb}		n
matryoshka	{Russian doll}		n
Matsuyama	Matsuyama	(a city of Japan)	prop
matter	importar	(to be important)	v
Matthew	[object Object]	(male given name)	prop
mattock	sacho	(agricultural tool)	n
mattress	[object Object]	(a pad on which a person can recline and sleep)	n
mattress pad	{mattress protector}		n
mattress topper	{mattress protector}		n
mature	amadurecer	(to become mature; to ripen)	v
maturity	[object Object]	(when bodily growth has completed and/or reproduction can begin)	n
maul	maltratar	(to criticise rudely)	v
maunch	{munch}		v
Maundy Thursday	[object Object]	(Thursday before Easter)	prop
Maurice	Maurício	(male given name)	prop
Mauritania	[object Object]	(Islamic Republic of Mauritania)	prop
Mauritanian	[object Object]	(A person from Mauritania or of Mauritanian descent)	n
Mauritian	{Mauritian Creole}		prop
Mauritius	Maurícia	(Republic of Mauritius)	prop
mausoleum	[object Object]	(large tomb)	n
mauve	lilás	(colour)	n
maven	[object Object]	(expert in a given field)	n
maverick	[object Object]	(one who does not abide by rules)	n
maw	[object Object]	(stomach)	n
maxilla	[object Object]	(bone of upper jaw)	n
maxim	[object Object]	(moral precept)	n
maximal	máximo	(Largest, greatest, highest, most)	adj
maximalism	[object Object]	(tendency toward excess)	n
maximum	[object Object]	(highest limit)	n
may	talvez, pode ser	(possibly, but not certainly)	v
May	[object Object]	(fifth month of the Gregorian calendar)	prop
Maya	[object Object]	(Maya people)	prop
maybe	talvez	(indicating a lack of certainty)	adv
May bug	{cockchafer}		n
mayfly	[object Object]	(insect of order Ephemeroptera)	n
Maykop	[object Object]	(city in Russia)	prop
mayonnaise	[object Object]	(dressing)	n
mayor	[object Object]	(leader of a city)	n
Mayotte	Mayotte	(Territorial Collectivity of Mayotte)	prop
may the Force be with you	que a força esteja com você	(wish someone luck)	phrase
Maytime	{Maytide}		n
Mazandaran	Mazandaran	(northern province of Iran)	prop
maze	[object Object]	(Puzzle to get through)	n
Möbius band	{Möbius strip}		n
Möbius strip	[object Object]	(one-sided surface)	n
McDonald's	[object Object]	(fast-food restaurant)	prop
mâche	alface	(Valerianella locusta)	n
McIntosh	McIntosh	(apple tree and fruit variety)	n
Mdina	[object Object]	(city in Malta)	prop
me	eu	(subject of a verb without “and”)	pron
mead	[object Object]	(alcoholic drink)	n
meadow	[object Object]	(field or pasture)	n
meagre	[object Object]	(Argyrosomus regius)	n
meal	[object Object]	(food that is prepared and eaten)	n
mean	significar, querer dizer	(to signify)	v
meaning	[object Object]	(symbolic value of something)	n
meaningful	significativo	(having meaning, significant)	adj
meaningless	insignificante, sem sentido	(lacking meaning; insignificant)	adj
meaning of life	[object Object]	(hypothetical answer to life's ultimate questions)	n
mean proportional	{geometric mean}		n
means of transport	{mode of transport}		n
meanwhile	ao mesmo tempo	(during the time)	adv
measles	[object Object]	(acute highly contagious viral disease)	n
measure	medir	(ascertain the quantity of a unit)	v
measurement	medida	(magnitude determined by measuring)	n
measuring jug	measuring cup	(jug for measuring liquids)	n
measuring tape	fita métrica	(tape with marks)	n
meat	[object Object]	(type of meat)	n
meatatarian	{meatarian}		n
meatball	[object Object]	(meatball)	n
meat jelly	{aspic}		n
Mecca	[object Object]	(city in Saudi Arabia)	prop
mechanic	[object Object]	(a skilled worker capable of building or repairing machinery)	n
mechanical	mecânico	(related to mechanics; done by machine)	adj
mechanical larynx	{electrolarynx}		n
mechanical pencil	[object Object]	(pencil with a lead that wears away with use)	n
mechanics	[object Object]	(a branch of physics)	n
mechanism	[object Object]	(mental, chemical, or physical process)	n
mechanization	[object Object]	(the use of machinery to replace human or animal labour)	n
mechanize	mecanizar	(equip with machinery)	v
mechatronics	[object Object]	(synergistic combination)	n
medal	[object Object]	(stamped metal disc)	n
medalist	[object Object]	(one who has received a medal)	n
medallion	[object Object]	(large decorative medal)	n
meddle	have sex	(to have sex)	v
media	[object Object]	(the journalists and other professionals who comprise the mass communication industry)	n
mediaeval	{medieval}		adj
medially	medianamente	(in or relating to the middle)	adv
median	[object Object]	(statistics: measure of central tendency)	n
Median	{Mede}		n
mediation	[object Object]		n
mediator	[object Object]	(one who negotiates between parties seeking mutual agreement)	n
medic	{paramedic}		n
medical	médico	(of the practice of medicine)	adj
medical record	medical history	(details about a patient's previous medical experiences)	n
medicine	[object Object]	(treatment or cure)	n
medieval	[object Object]	(someone living in the Middle Ages)	n
Medieval Greek	{Byzantine Greek}		prop
Medina	[object Object]	(a city)	prop
mediocre	medíocre	(ordinary: not extraordinary; not special, exceptional, or great; of medium quality)	adj
mediocrity	[object Object]	(condition of being mediocre)	n
meditation	[object Object]	(devotional contemplation)	n
Mediterranean	{Mediterranean Sea}		prop
Mediterranean Sea	[object Object]	(the sea between Europe and Africa)	prop
medium	médium	(someone who supposedly conveys information from the spirit world)	n
medium rare	no ponto	(cooked somewhat lightly)	adj
medlar	[object Object]	(tree)	n
medley	potpourri, pot-pourri	(collection of related songs)	n
Medusa	[object Object]	(one of the Gorgons)	prop
Medvedev	Medvedev	(surname)	prop
meerkat	[object Object]	(small carnivorous mammal)	n
meet	encontrar	(see through arrangement)	v
meeting	[object Object]	(place or instance of junction or intersection)	n
mega-	mega-	(very large, great)	prefix
megabyte	[object Object]	(about a million bytes)	n
megagram	[object Object]	(unit of mass equal to 1000 kilograms)	n
megahertz	[object Object]	(one million cycles per second)	n
megaliter	{megalitre}		n
megalithism	[object Object]	(culture surrounding the building of megaliths)	n
megalomania	[object Object]	(psychopathological condition characterized by delusional fantasies of wealth, power, or omnipotence)	n
megalopolis	[object Object]	(large conurbation)	n
megameter	{megametre}		n
megametre	[object Object]	(a distance of 1,000 km)	n
megaphone	[object Object]	(portable device used to amplify a person's voice)	n
megapolis	megalopolis	(megapolis)	n
megaseism	megassismo	(a large or severe earthquake)	n
megastore	{superstore}		n
megatsunami	[object Object]	(a very large tsunami)	n
Meghalaya	Meghalaya	(state)	prop
meh	nhé	(slang: expressing indifference or lack of enthusiasm)	interj
meiosis	[object Object]	(cell division)	n
