@rowCount	3536
bangu	w	n	d	t	s	r	g
loglan	prosensi	⬅ pro(ju)+sensi	«economical», pert. to economics.	2-Cpx	a		economical
loglan	lo prosensi		«economics», mass term,.		n		economics
loglan	prosesmao	⬅ pro(ju)+se(n)s(i)+ma(dz)o	B is an «economist», economic scientist.	3-Cpx	1n		economist
loglan	prosimi	⬅ Lin. Prosimii	B is a «prosimian»/«lemur» of type/species F.	Bor.	2n		prosimian,lemur
loglan	lao Prosimii		a/some «Prosimii», lemurs etc.		na		Prosimii
loglan	prosio	⬅ pro(ju)+si(st)o	N is a/the «economy», the system of production for use or exchange, of people/society/nation F.	2-Cpx	2n		economy
loglan	prosiosensi	⬅ pro(ju)+si(st)o+sensi	V is the science of «economics».	3-Cpx	1n		economics
loglan	prosiosesmao	⬅ pro(ju)+si(st)o+se(n)s(i)+ma(dz)o	K is an «economist».	4-Cpx	1n		economist
loglan	protactinio	⬅ ISV	B is some «protactinium», element 91 (Pa).	Bor.	1n		protactinium
loglan	proteini	⬅ ISV	B is a «protein» of type F.	Bor.	2n		protein
loglan	protoni	⬅ ISV	B is a «proton», an elementary particle.	Bor.	1n		proton
loglan	lao Protozoa		the «Protozoa», single celled animals.		na		Protozoa
loglan	protozoai	⬅ Lin.	B is a «protozoan» of type/genus F from S.	Bor.	3n		protozoan
loglan	proza	{prozymao}\n⬅ 4/4E prose | 5/5R proza | 4/4F prose | 5/5G prosa | 4/5S prosa	P is a piece of «prose» by S.	C-Prim	2n		prose
loglan	proza	{prozymao}\n⬅ 4/4E prose | 5/5R proza | 4/4F prose | 5/5G prosa | 4/5S prosa	«prosaic», referring to --.	C-Prim	a		prosaic
loglan	lo proza		«prose», mass inst.		n		prose
loglan	prozymao	⬅ proz(a)+y+ma(dz)o	K «compose»/«write» P, a work of prose.	2-Cpx	2v		compose,write
loglan	prozymao	⬅ proz(a)+y+ma(dz)o	an «author»/(prose) «writer», writer of prose ....	2-Cpx	n		author,writer
loglan	La Prucas		«Prussia».		na		Prussia
loglan	pruci	{blipruduo}, {folpru}, {guopru}, {prukao}, {prumii}, {prupro}, {sutpru}, {trapru}, {tsikaopru}\n⬅ 3/4E prove | 2/4C sh yen | 3/6S prueba | 2/5R proba | 2/5F epreuve | 2/5G probe | 2/6J tameshi	V is a «test»/«examination» for property B in any member of class F.	C-Prim	3n	pru	test,examination
loglan	pruci	{blipruduo}, {folpru}, {guopru}, {prukao}, {prumii}, {prupro}, {sutpru}, {trapru}, {tsikaopru}\n⬅ 3/4E prove | 2/4C sh yen | 3/6S prueba | 2/5R proba | 2/5F epreuve | 2/5G probe | 2/6J tameshi	«test», test for ... a property ... in a member of ....	C-Prim	vt	pru	test
loglan	fu pruci		«testable», of classes with -able members.		a		testable
loglan	nu pruci		«testable», of testable properties.		a		testable
loglan	prukao	⬅ pru(ci)+ka(kt)o	K «test»/«examine» B for P with test V.	2-Cpx	4v		test,examine
loglan	prukao	⬅ pru(ci)+ka(kt)o	a «tester», one who uses tests.	2-Cpx	n		tester
loglan	nu prukao		«testable», of one who/that which is -ed.		a		testable
loglan	nu prukao		a «testee», one who is -ed.		n		testee
loglan	po prukao		a «test»/«examination», an act of testing.		n		test,examination
loglan	prumii	⬅ pru(ci)+mi(pl)i	B is a «sample» of F, taken for testing purposes.	2-Cpx	2n		sample
loglan	prunde	⬅ L. Prunus dulcis	B is an «almond» from S.	Bor.	2n		almond
loglan	prune	⬅ Prunus	B is a «plum» of species F.	S-Prim	2n		plum
loglan	prupro	⬅ pru(ci)+pro(ju)	K «probe»/«poke» D with B.	2-Cpx	3v		probe,poke
loglan	prusa	{polprusa}, {prusysoa}, {prusysonmao}, {rusfaslyduo}, {ruskra}\n⬅ 4/5F approuv er | 3/5E approve | 3/7S apruebo | 2/6J sansei	B «approve» of action/outcome V by agent K.	C-Prim	3v	rus	approve
loglan	prusa	{polprusa}, {prusysoa}, {prusysonmao}, {rusfaslyduo}, {ruskra}\n⬅ 4/5F approuv er | 3/5E approve | 3/7S apruebo | 2/6J sansei	«approving», of one who approves.	C-Prim	a	rus	approving
loglan	no prusa		«disapproving», of one who disapproves.		a		disapproving
loglan	no prusa		«disapprove», fail to approve of ... by ....		vt		disapprove
loglan	no nu prusa		«disapproved», of that which is -ed.		a		disapproved
loglan	nu prusa		«approved», of that which is -ed.		a		approved
loglan	po prusa		an «approbation»/«approval», an act of -ing.		n		approbation,approval
loglan	po no prusa		a «disapproval», an act of -ing.		n		disapproval
loglan	prusysoa	⬅ prus(a)+y+so(nd)a	B is «applause» for V, specific case.	2-Cpx	2n		applause
loglan	lo prusysoa		«applause», mass term.		n		applause
loglan	prusysonmao	⬅ prus(a)+y+son(da)+ma(dz)o	K «applaud» D for V.	3-Cpx	3v		applaud
loglan	prusysonmao	⬅ prus(a)+y+son(da)+ma(dz)o	«applauders»/«claque», those who --.	3-Cpx	n		applauders,claque
loglan	prutu	{prutycue}, {prutylidji}, {prutytaa}, {razruu}\n⬅ 2/4C bu fu | 3/7E protest | 3/7S protest ar | 3/7F protest er | 3/7G protest | 3/8R protiest ovat	K «protest»/«object» against V to D by action P.	C-Prim	4v	ruu	protest,object
loglan	prutu	{prutycue}, {prutylidji}, {prutytaa}, {razruu}\n⬅ 2/4C bu fu | 3/7E protest | 3/7S protest ar | 3/7F protest er | 3/7G protest | 3/8R protiest ovat	a «protester»/«objector», one who protests.	C-Prim	n	ruu	protester,objector
loglan	ju prutu		a «protest», an act signifying protest.		n		protest
loglan	lo ju prutu		«protest», the mass of such acts.		n		protest
loglan	po prutu		a «protestation»/«protest»/«objection», an act of -ing.		n		protestation,protest,objection
loglan	prutycue	⬅ prut(u)+y+cu(ts)e	K «protest»/«object» (in words) P to D.	2-Cpx	3v		protest,object
loglan	nu prutycue		an «objection»/«protest», the words spoken.		n		objection,protest
loglan	po prutycue		an instance of «objection»/«protest», the action.		1n		objection,protest
loglan	prutylidji	⬅ prut(u)+y+lidji	B is a «Protestant», one of a non Catholic religion.	2-Cpx	1n		Protestant
loglan	prutytaa	⬅ prut(u)+y+ta(kn)a	K «protest»/«object» (in words) about V to D.	2-Cpx	3v		protest,object
loglan	po prutytaa		an instance of «objection»/«protest» about ..., the action.		1n		objection,protest
loglan	pu		«-ness»/«-ship»/«-hood»/-ity, the «property»/«quality»/dimension operator.	LW	op		-ness,-ship,-hood,property,quality
loglan	pua	⬅ pa + *u	was/were+(now) «habitually» -ing, continuous past tense (PA).	LW	va		habitually
loglan	puacla	⬅ pu(rd)a+cla(do)	B is «stressed»/«emphasized»/«emphatic» relative to N.	2-Cpx	2a		stressed,emphasized,emphatic
loglan	pu puacla		a «stress»/«emphasis», a spec. property.		n		stress,emphasis
loglan	puaflo	⬅ pu(rd)a+fo/l(ma)	G is «wordier» than J is.	2-Cpx	2a		wordier
loglan	puaflo	⬅ pu(rd)a+fo/l(ma)	«verbose»/«wordy», wordier than ....	2-Cpx	a		verbose,wordy
loglan	pu puaflo		a «wordiness»/«verbosity», a spec. property.		n		wordiness,verbosity
loglan	pubcea	⬅ pub(li)+ce(nj)a	B is «publicized»/made «public» among public N, cause unknown or unspecified.	2-Cpx	2v		publicized,public
loglan	pubcea	⬅ pub(li)+ce(nj)a	«public», known to the public.	2-Cpx	n		public
loglan	po pubcea		an event of «publicity».		n		publicity
loglan	pubcko	⬅ pub(li)+cko(zu)	K «publicize» B among public N, nonintentional.	2-Cpx	3v		publicize
loglan	fu pubcko		«public», those so made aware.		n		public
loglan	po pubcko		an event of «publicity».		n		publicity
loglan	pubcue	⬅ pub(li)+cu(ts)e	K «announce»/«proclaim» B to group/public D.	2-Cpx	3v		announce,proclaim
loglan	pubcue	⬅ pub(li)+cu(ts)e	«announcer», one who -s.	2-Cpx	n		announcer
loglan	nu pubcue		an «announcement»/«proclamation», the thing -ed.		n		announcement,proclamation
loglan	po pubcue		an «announcement»/«proclamation», a spec. instance of -ing.		n		announcement,proclamation
loglan	pubdonvei	⬅ pub(li)+don(su)+ve(tc)i	V is a «presentation» of B to D by K.	3-Cpx	4n		presentation
loglan	pubkaftaa	⬅ pub(li)+ka(s)f(a)+ta(kn)a	K «reprimand» D for V.	3-Cpx	3v		reprimand
loglan	po pubkaftaa		a «reprimand».		n		reprimand
loglan	pubkamki	⬅ pub(li)+kamki	B is a «comedian», one performing comedy.	2-Cpx	1n		comedian
loglan	lopo pubkamki		«comedy», mass term.		n		comedy
loglan	po pubkamki		a «comedy», a spec. instance.		n		comedy
loglan	pubkao	⬅ pub(li)+ka(kt)o	K «act»/«perform» work P before audience/spectators D.	2-Cpx	3v		act,perform
loglan	pubkao	⬅ pub(li)+ka(kt)o	«actor»/«performer» (theatre).	2-Cpx	n		actor,performer
loglan	nu pubkao		«performance», the thing -ed.		n		performance
loglan	po pubkao		«performance», a spec. instance of -ing.		n		performance
loglan	publai	⬅ pub(li)+la(nd)i	B is a public «park»/«forest».	2-Cpx	1n		park,forest
loglan	publi	{pubcea}, {pubcko}, {pubcue}, {pubdonvei}, {pubkaftaa}, {pubkamki}, {pubkao}, {publai}, {pubmao}, {pubmintcu}, {pubnamci}, {pubnurgeo}, {pubpetri}, {pubria}, {pubsri}, {pubsrifoa}, {pubtracue}, {pubveicea}, {pubvizlei}, {pubzavcue}\n⬅ 5/6S public o | 5/7R publika | 4/6F public | 3/6E public	G is more «public» than J is among people F.	C-Prim	3a	pub	public
loglan	publi	{pubcea}, {pubcko}, {pubcue}, {pubdonvei}, {pubkaftaa}, {pubkamki}, {pubkao}, {publai}, {pubmao}, {pubmintcu}, {pubnamci}, {pubnurgeo}, {pubpetri}, {pubria}, {pubsri}, {pubsrifoa}, {pubtracue}, {pubveicea}, {pubvizlei}, {pubzavcue}\n⬅ 5/6S public o | 5/7R publika | 4/6F public | 3/6E public	«public behavior», a spec. instance.	C-Prim	ph	pub	public behavior
loglan	publi	{pubcea}, {pubcko}, {pubcue}, {pubdonvei}, {pubkaftaa}, {pubkamki}, {pubkao}, {publai}, {pubmao}, {pubmintcu}, {pubnamci}, {pubnurgeo}, {pubpetri}, {pubria}, {pubsri}, {pubsrifoa}, {pubtracue}, {pubveicea}, {pubvizlei}, {pubzavcue}\n⬅ 5/6S public o | 5/7R publika | 4/6F public | 3/6E public	«public behavior», mass term.	C-Prim	ph	pub	public behavior
loglan	nu publi		«private», less public than, q.v.		a		private
loglan	pubmao	⬅ pub(li)+ma(dz)o	K «publicize» B among public D, intentional.	2-Cpx	3v		publicize
loglan	pubmao	⬅ pub(li)+ma(dz)o	a «publicist», one who -s.	2-Cpx	n		publicist
loglan	fu pubmao		«public», accessible to a -st.		n		public
loglan	po pubmao		an event of «publicity».		n		publicity
loglan	pubmintcu	⬅ pub(li)+(s)min(a)+tcu(re)	B is a/the «reputation» of D in matter V.	3-Cpx	3n		reputation
loglan	pubmo	{pumcli}\n⬅ ISV	B is some «lead», element 82 (Pb).	S-Prim	1n	pum	lead
loglan	pubmo	{pumcli}\n⬅ ISV	«plumbic»/«lead», pert. to the element lead.	S-Prim	a	pum	plumbic,lead
loglan	pubnamci	⬅ pub(li)+namci	P is an «alias»/«pseudonym»/«false name» of S.	2-Cpx	2n		alias,pseudonym,false name
loglan	pubnamci	⬅ pub(li)+namci	«nominal», pert. to false names.	2-Cpx	a		nominal
loglan	pubnamci	⬅ pub(li)+namci	«nominally», with a false name.	2-Cpx	av		nominally
loglan	pubnurgeo	⬅ pub(li)+nur+ge(sk)o	B is an «innkeeper».	2-Cpx	1n		innkeeper
loglan	pubpetri	⬅ pub(li)+petri	K «publish»/«post notice» B in form/place D.	2-Cpx	3v		publish,post notice
loglan	pubpetri	⬅ pub(li)+petri	a «publisher», one who -s.	2-Cpx	n		publisher
loglan	nu pubpetri		a «manuscript», copy from which publication is made.		n		manuscript
loglan	po pubpetri		an instance of «publication»/«posting» (event).		n		publication,posting
loglan	pubria	⬅ pub(li)+(b)ri(g)a	have the «audacity» to do ....	2-Cpx	2v		audacity
loglan	pubria	⬅ pub(li)+(b)ri(g)a	«audacious», daring to do ....	2-Cpx	a		audacious
loglan	lopu pubria		«audacity», mass property.		n		audacity
loglan	po pubria		«audacity», an act/event of daring.		n		audacity
loglan	pubsi	⬅ ISV	B is a «pubis» of F.	S-Prim	2n		pubis
loglan	pubsri	⬅ pub(li)+sri(te)	P is a «publication» of K in form B.	2-Cpx	3n		publication
loglan	pubsrifoa	⬅ pub(li)+sri(te)+fo(rm)a	P is an «edition»/«version» C of work V.	3-Cpx	3n		edition,version
loglan	pubtracue	⬅ pub(li)+tra(du)+cu(ts)e	K «testify»/«attest» P about V.	3-Cpx	3v		testify,attest
loglan	pubtracue	⬅ pub(li)+tra(du)+cu(ts)e	«testifier»/«attester».	3-Cpx	n		testifier,attester
loglan	nu pubtracue		«testimony», the thing -ed.		n		testimony
loglan	po pubtracue		a «testimony»/«testimonial», a spec. act.		n		testimony,testimonial
loglan	pubveicea	⬅ pub(li)+ve(tc)i+ce(nj)a	V is the «opening»/«first performance» of person/group/production F.	3-Cpx	2n		opening,first performance
loglan	pubvizlei	⬅ pub(li)+viz(ka)+le(tc)i	K «demonstrate» about V.	3-Cpx	2v		demonstrate
loglan	pubvizlei	⬅ pub(li)+viz(ka)+le(tc)i	«demonstrator» about ....	3-Cpx	n		demonstrator
loglan	po pubvizlei		a «demonstration» about ....		2n		demonstration
loglan	pubzavcue	⬅ pub(li)+zav(lo)+cu(ts)e	K «denounce» D for doing/being V.	3-Cpx	3v		denounce
loglan	pucbao	⬅ puc(to)+ba(ks)o	B is an «accordion».	2-Cpx	1n		accordion
loglan	pucbarta	⬅ puc(to)+barta	B is an «oar»/«paddle», a long thin pole with a blade on one end used to move a boat.	2-Cpx	1n		oar,paddle
loglan	pucbartybou	⬅ puc(to)+bart(a)+y+bo(ts)u	B is a «rowboat».	3-Cpx	1n		rowboat
loglan	pucbartyduo	⬅ puc(to)+bart(a)+y+du(rz)o	K «row»/«paddle» B to D from S using (oar) V.	3-Cpx	5v		row,paddle
loglan	pucblakrilu	⬅ puc(to)+bla(da)+krilu	B is an «impeller» of/on F.	3-Cpx	2n		impeller
loglan	pucbou	⬅ puc(to)+bo(ts)u	K is a «tugboat» impelling B to D from S via V.	2-Cpx	5n		tugboat
loglan	puckai	⬅ puc(to)+ka(tl)i	B is a «force» on body D of size C acting in direction N.	2-Cpx	4n		force
loglan	punsticti	⬅ pun(tu)+sti(se)+cti(fu)	B is an «analgesic»/«anesthetic», medicines for the relief of pain caused by V.	3-Cpx	2n		analgesic,anesthetic
loglan	puntaa	⬅ pun(tu)+ta(kn)a	K «complain» about V to D.	2-Cpx	3v		complain
loglan	puntaa	⬅ pun(tu)+ta(kn)a	«complaining», pert. to complainers.	2-Cpx	a		complaining
loglan	puntaa	⬅ pun(tu)+ta(kn)a	a «complainer», one who -s of discomfort/pain.	2-Cpx	n		complainer
loglan	nu puntaa		a «complaint», that which is -ed about.		n		complaint
loglan	po puntaa		a «complaint», an act of -ing of pains.		n		complaint
loglan	puntu	{minpuncko}, {minpuu}, {mucpuu}, {mutpuncko}, {mutpunmao}, {notpuu}, {nurpunmou}, {nurpuu}, {puncko}, {punfiu}, {punfro}, {punkra}, {punsai}, {punspe}, {punsticti}, {puntaa}, {selpuntaa}, {sogpuu}, {stopuncko}\n⬅ 2/3E pain | 2/3F peine | 2/4C tueng | 2/4S pena	D feel «pain»/«hurt»/be «sore» in body part/location S.	C-Prim	2v	pun,puu	pain,hurt,sore
loglan	po puntu		a «pain»/«hurt», a state of feeling hurt.		n		pain,hurt
loglan	puocti	⬅ pu(ct)o+cti(fu)	B is a «fuel»/«propellant» of composition S for propelling P.	2-Cpx	3n		fuel,propellant
loglan	puorkarti	⬅ pu(ct)o+r+karti	B is a «hand-cart»/«wheelbarrow»/«shopping cart», any vehicle pushed by hand.	2-Cpx	1n		hand-cart,wheelbarrow,shopping cart
loglan	puorkopca	⬅ pu(ct)o+r+kopca	K «impress»/«imprint»/«print» P on D.	2-Cpx	3v		impress,imprint,print
loglan	nu puorkopca		an «imprint» (by ... on ...), the thing -ed.		n		imprint
loglan	po puorkopca		an «impression»/«imprint» (of ... on ...).		2n		impression,imprint
loglan	puormarmao	⬅ pu(ct)o+r+mar(ka)+ma(dz)o	K «seal» B with V, as with a corporate or other official seal.	3-Cpx	3v		seal
loglan	fu puormarmao		an official «seal», of the type impressed into paper.		n		seal
loglan	pupha	⬅ ISV	B is a «pupa» of F, an insect metamorphic form.	S-Prim	2n		pupa
loglan	pupha	⬅ ISV	«pupal», pert. to pupae.	S-Prim	a		pupal
loglan	pupli	⬅ ISV	B is a «pupil» of the eye of F.	S-Prim	2n		pupil
loglan	purbuktua	⬅ pur(da)+buk(cu)+tu(rk)a	K is a «lexicographer» in language F.	3-Cpx	2n		lexicographer
loglan	purbuu	⬅ pur(da)+bu(kc)u	P is a «dictionary» of language(s) B prepared by S.	2-Cpx	3n		dictionary
loglan	purcartu	⬅ pur(da)+cartu	B is an «index» of (book/periodical) F.	2-Cpx	2n		index
loglan	purclamao	⬅ pur(da)+cla(do)+ma(dz)o	K «emphasize»/«stress»/«say forcefully» P /say ... emphatically.	3-Cpx	2v		emphasize,stress,say forcefully
loglan	po purclamao		a «stress»/«emphasis», a spec. act of -izing ....		n		stress,emphasis
loglan	purcu	{purcytrida}\n⬅ 3/3E poor | 2/4C chung	G is «poorer», less wealthy than J in wealth type N.	C-Prim	3a		poorer
loglan	purcu	{purcytrida}\n⬅ 3/3E poor | 2/4C chung	«poor», poorer/less wealthy than ... in ....	C-Prim	a		poor
loglan	po purcu		a «poverty», a spec. state of being poor.		n		poverty
loglan	purcytrida	⬅ purc(u)+y+trida	B is a «slum» in F, a poor section of a city.	2-Cpx	2n		slum
loglan	purda	{dirdurpua}, {djipua}, {forkaipua}, {gripua}, {kalpursei}, {katpua}, {majpua}, {majpurcue}, {nerkaipua}, {nilcypua}, {notpurcue}, {pakpuapli}, {plipua}, {plipursei}, {puacla}, {puaflo}, {purbuktua}, {purbuu}, {purcartu}, {purclamao}, {purdanmao}, {purdou}, {purfadcea}, {purfomsao}, {purfurkui}, {purgiu}, {purkai}, {purkui}, {purmao}, {purnable}, {purpai}, {purpaipastyduo}, {purpue}, {purpuemou}, {purtia}, {rispua}, {sadpua}, {tcupua}, {terkaipua}, {torkaipua}, {tovpua}, {zavmajpua}\n⬅ 3/3E word | 3/7S palabra | 2/5F parole	B is a/the «word» for P in language F.	C-Prim	3n	pur,pua	word
loglan	purda	{dirdurpua}, {djipua}, {forkaipua}, {gripua}, {kalpursei}, {katpua}, {majpua}, {majpurcue}, {nerkaipua}, {nilcypua}, {notpurcue}, {pakpuapli}, {plipua}, {plipursei}, {puacla}, {puaflo}, {purbuktua}, {purbuu}, {purcartu}, {purclamao}, {purdanmao}, {purdou}, {purfadcea}, {purfomsao}, {purfurkui}, {purgiu}, {purkai}, {purkui}, {purmao}, {purnable}, {purpai}, {purpaipastyduo}, {purpue}, {purpuemou}, {purtia}, {rispua}, {sadpua}, {tcupua}, {terkaipua}, {torkaipua}, {tovpua}, {zavmajpua}\n⬅ 3/3E word | 3/7S palabra | 2/5F parole	«verbal»/«lexical», pert. to words.	C-Prim	a	pur,pua	verbal,lexical
loglan	purdanmao	⬅ pur(da)+dan(ci)+ma(dz)o	K «formulate»/«draw up», make verbal plans P for/about V.	3-Cpx	3v		formulate,draw up
loglan	nu purdanmao		a «formulation», a -ed plan/design.		n		formulation
loglan	po purdanmao		a «formulation», an act of -ing.		n		formulation
loglan	purdou	⬅ pur(da)+do(ns)u	K «prompt» D about V, remind someone who has forgotten words/actions.	2-Cpx	3v		prompt
loglan	purdou	⬅ pur(da)+do(ns)u	a «prompter», one who -s.	2-Cpx	n		prompter
loglan	purfadcea	⬅ pur(da)+fa(n)d(o)+ce(nj)a	K «conjugate»/«decline»/«inflect» D.	3-Cpx	2v		conjugate,decline,inflect
loglan	nu purfadcea		«conjugated»/«inflected»/«declined» (as of a language).		a		conjugated,inflected,declined
loglan	po purfadcea		B is a «conjugation»/«declension» in language D.		n		conjugation,declension
loglan	purfe	{lodpue}, {norpue}, {numpue}, {nurpue}, {puecli}, {puesni}, {pufcea}, {pufmao}, {purpue}, {purpuemou}\n⬅ 4/5F parfait | 3/4H pura | 4/6E perfect | 4/7S perfect o	B is «perfect»/«faultless»/«unimprovable»/«standard»/«ideal» by standard N.	C-Prim	2a	pue,puf	perfect,faultless,unimprovable,standard,ideal
loglan	purfe	{lodpue}, {norpue}, {numpue}, {nurpue}, {puecli}, {puesni}, {pufcea}, {pufmao}, {purpue}, {purpuemou}\n⬅ 4/5F parfait | 3/4H pura | 4/6E perfect | 4/7S perfect o	«faultlessly»/«perfectly», in a perfect way.	C-Prim	av	pue,puf	faultlessly,perfectly
loglan	lopu purfe		«perfection», mass term of qualities.		n		perfection
loglan	no purfe		«improvable», neg. of perfect, q.v.		a		improvable
loglan	nu purfe		a «standard» for comparison purposes.		n		standard
loglan	po purfe		a «perfection», a state of being perfect.		n		perfection
loglan	pu purfe		a «perfection», a quality of being perfect.		n		perfection
loglan	purfomsao	⬅ pur(da)+fo(r)m(a)+sa(mt)o	B is a «literal»/«verbatim» account of V.	3-Cpx	2n		literal,verbatim
loglan	purfomsao	⬅ pur(da)+fo(r)m(a)+sa(mt)o	«literal»/«verbatim»/«word for word», of verbatim accounts.	3-Cpx	a		literal,verbatim,word for word
loglan	purfomsao	⬅ pur(da)+fo(r)m(a)+sa(mt)o	«literally», in a verbatim manner.	3-Cpx	av		literally
loglan	purfurkui	⬅ pur(da)+fur+ku(nc)i	B is a Loglan «predicate» relating N and N.	2-Cpx	3v		predicate
loglan	purgiu	⬅ pur(da)+gi(nr)u	B is the «radical»/«root» of word F, Latin trahere (pull) is the root of abstract and tractor.	2-Cpx	2n		radical,root
loglan	purhini	⬅ ISV	B is a «purine», a constituent of a nucleic acid.	Bor.	1n		purine
loglan	purkai	⬅ pur(da)+ka(tl)i	B is a «metalinguistic» «property of»/«relation among» F.	2-Cpx	2n		metalinguistic,property of,relation among
loglan	purkai	⬅ pur(da)+ka(tl)i	«metalinguistic», of relations/properties.	2-Cpx	a		metalinguistic
loglan	purkui	⬅ pur(da)+ku(nc)i	B is «related» to B by (predicate) N, a logical relation.	2-Cpx	3v		related
loglan	fu purkui		a «predicate» relating ... and ....		n		predicate
loglan	purmao	⬅ pur(da)+ma(dz)o	K «make word» P from elements S.	2-Cpx	3v		make word
loglan	purmao	⬅ pur(da)+ma(dz)o	a «wordmaker».	2-Cpx	n		wordmaker
loglan	purnable	⬅ pur(da)+nable	B is a «riddle», a word problem.	2-Cpx	1n		riddle
loglan	purpai	⬅ pur(da)+pa(rt)i	B is a «syllable» of F.	2-Cpx	2n		syllable
loglan	purpaipastyduo	⬅ pur(da)+pa(rt)i+past(i)+y+du(rz)o	K «agglutinates» D.	4-Cpx	2v		agglutinates
loglan	nu purpaipastyduo		«agglutinative».		a		agglutinative
loglan	po purpaipastyduo		V is an instance of «agglutination».		n		agglutination
loglan	purpu	{labpurpu}\n⬅ 5/6R purpur | 5/6G purpur | 4/5F pourpre | 3/4E purple | 5/6S purpura | 2/8J murasaki	G is more «purple» than J.	C-Prim	2a	pup	purple
loglan	purpue	⬅ pur(da)+pu(rf)e	B is verbally «exact»/«precise».	2-Cpx	1a		exact,precise
loglan	pu purpue		a verbal «precision»/«exactness», a spec. property.		n		precision,exactness
loglan	purpuemou	⬅ pur(da)+pu(rf)e+mo(rd)u	G is more «precise» than J.	3-Cpx	2a		precise
loglan	purtia	⬅ pur(da)+ti(sr)a	K «coin»/«make word» P with meaning B.	2-Cpx	3v		coin,make word
loglan	putcai	⬅ (s)put(a)+ca(nl)i	C is a «spoonful»/«spoon» of B.	2-Cpx	2n		spoonful,spoon
loglan	putkupduo	⬅ (s)put(a)+kup(ta)+du(rz)o	K «scoop» B from/out of/up from S.	3-Cpx	3v		scoop
loglan	putkupta	⬅ (s)put(a)+kupta	B is a «scoop», an instrument/tool for scooping.	2-Cpx	1n		scoop
loglan	ra		«all»/«each»/«every»/«apiece» (member of set ...), before {ba} series every something ....	LW	a	rar	all,each,every,apiece
loglan	-ra		-some/-ad/-et, as in '{tora}: «twosome»/«dyad»/«duo»/«pair»/«couple» ', the cardinal suffix; makes 2 place predicates of the form ' ... is a N member subset of set ...'.		af		twosome,dyad,duo,pair,couple
loglan	raba	⬅ ra+ba	«whatever»/«whichever»/«whoever», every ..., 'Whatever runs, eats'.	Cpd	p		whatever,whichever,whoever
loglan	raba	⬅ ra+ba	«anything»/«anyone»/«anybody», every ..., as in 'anything wins'.	Cpd	p		anything,anyone,anybody
loglan	raba	⬅ ra+ba	«you», anyone ('When you're in Rome, you --').	Cpd	p		you
loglan	raba	⬅ ra+ba	«everything»/«everyone»/«everybody», literally, every something ....	Cpd	p		everything,everyone,everybody
loglan	raba	⬅ ra+ba	«one», «anyone», as in 'When one's in Rome --'.	Cpd	p		one,anyone
loglan	raba noa		«all»/«any»/«every» ... are ..., use all ... are ... only if ..., as 'Every lion eats meat'.		ph		all,any,every
loglan	raba tcucli		«any such»/«one such»/«such», any ... as previously described.		a		any such,one such,such
loglan	raba tcucli ta		«anything» like/such as that, as described there.		p		anything
loglan	rabe	⬅ ra+be	«everything»/«everyone»/«everybody», literally, every something ....	Cpd	p		everything,everyone,everybody
loglan	rabe	⬅ ra+be	«anything»/«anyone»/«anybody», every ..., as in 'anything wins'.	Cpd	p		anything,anyone,anybody
loglan	rabe	⬅ ra+be	«whatever»/«whichever»/«whoever», every ..., 'Whatever runs, eats'.	Cpd	p		whatever,whichever,whoever
loglan	rabe	⬅ ra+be	«one», «anyone», as in 'When one's in Rome --'.	Cpd	p		one,anyone
loglan	rabo	⬅ ra+bo	«one», «anyone», as in 'When one's in Rome --'.	Cpd	p		one,anyone
loglan	rabo	⬅ ra+bo	«anything»/«anyone»/«anybody», every ..., as in 'anything wins'.	Cpd	p		anything,anyone,anybody
loglan	rabo	⬅ ra+bo	«everything»/«everyone»/«everybody», literally, every something ....	Cpd	p		everything,everyone,everybody
loglan	rabo	⬅ ra+bo	«whatever»/«whichever»/«whoever», every ..., 'Whatever runs, eats'.	Cpd	p		whatever,whichever,whoever
loglan	rabu	⬅ ra+bu	«one», «anyone», as in 'When one's in Rome --'.	Cpd	p		one,anyone
loglan	rabu	⬅ ra+bu	«whatever»/«whichever»/«whoever», every ..., 'Whatever runs, eats'.	Cpd	p		whatever,whichever,whoever
loglan	rabu	⬅ ra+bu	«everything»/«everyone»/«everybody», literally, every something ....	Cpd	p		everything,everyone,everybody
loglan	rabu	⬅ ra+bu	«anything»/«anyone»/«anybody», every ..., as in 'anything wins'.	Cpd	p		anything,anyone,anybody
loglan	racbao	⬅ (t)rac(i)+ba(ks)o	B is a «suitcase» of traveler K.	2-Cpx	2n		suitcase
loglan	racbuu	⬅ (t)rac(i)+bu(kc)u	B is a «travel guide» about D.	2-Cpx	2n		travel guide
loglan	racfurmoi	⬅ (t)rac(i)+fur+mo(dv)i	K are «bound for»/intend to «travel to» D.	2-Cpx	2v		bound for,travel to
loglan	rachaa	⬅ (t)rac(i)+ha(sf)a	B is a «caravan» (UK)/(travel) «trailer» (US)/«mobile home» of person F.	2-Cpx	2n		caravan,trailer,mobile home
loglan	rachi	⬅ L. Arachis hypogaea	B is a «peanut»/«groundnut» from S.	S-Prim	2n		peanut,groundnut
loglan	rackeo	⬅ (t)rac(i)+(c)ke(m)o	C is the «travel-time» to D from S via V.	2-Cpx	4n		travel-time
loglan	racrie	⬅ (t)rac(i)+(t)ri(m)e	B is a «travel method» to D from S via V.	2-Cpx	4n		travel method
