@rowCount	12099
gauxlto	gault
Gauxlujo	Gaul
gauxro	gaur
gauxsa	Gaussian
gauxsa eliminado	Gaussian elimination
gauxsa entjero	Gaussian integer
gauxsa kurbo	bell-shaped curve, Gaussian curve
Gauxso	Gauss
gavialo	gavial
gavio	diver, loon
gavoto	gavotte
gaza	of gas, consisting of gas
gazalo	Ghazal
gazanio	gazania
Gazao	Gaza
gazelo	gazelle
gazelokula	doe-eyed
gazeta	newspaper
gazetacxo	rag, scandal sheet
gazetara komuniko	press release
gazetara konferenco	press conference
gazetaro	press, newspapers, printing
gazetistino	journalist, female journalist
gazetisto	journalist
gazetkapo	banner
gazeto	gazette, magazine, newspaper, periodical
gazo	gauze
gazonero	sod, sod of grass, turf
gazonfalcxilo	lawn mower
gazono	lawn
gazonteniso	lawn tennis
gazpacxo	gazpacho
gdansko	Gdańsk (city in Poland)
ge-	(persons of both sexes taken together)
geadoptintoj	adoptive parents
geaktoroj	actors and actresses
geamantoj	lovers
geastro	Geastrum
geavo	grandparent
geavoj	grandparents
gebani	to bathe together
geedza	spousal
geedza paro	married couple
geedzeca	marital, matrimonial
geedzeco	marriage, matrimony
geedzigi	to marry (unite)
geedzigxa	nuptial
geedzigxa ceremonio	wedding
geedzigxa festo	wedding, wedding party
geedzigxanonco	banns, wedding-announcement
geedzigxantoj	bride and groom
geedzigxi	to marry, be married, get married
geedzigxinta	married
geedzigxo	marriage, wedding
geedzo	spouse
geedzoj	couple, married people
geedzoringo	wedding ring
geesperantistoj	Esperantists (of both sexes)
geezdigxa	marital
gefiancigxo	engagement
gefiancxigxi	to become engaged
gefiancxigxo	betrothal, engagement
gefiancxoj	engaged couple
gefiloj	sons and daughters
gefrateca	brotherly
gefrato	brother, sibling, sister
gefratoj	brothers and sisters, siblings
gefrauxloj	single people
geheno	Gehenna
Geheno	Gehenna, hell
geja	homosexual, gay
gejo	homosexual, gay
gejsero	geyser
Gejsersvilo	Geysersville
gejsxo	geisha
gejunularo	youth, young people
gejunuloj	boys and girls
gekedoj	geckos
geknaboj	boy(s) and girl(s)
geko	gecko
Gelaso	Galashiels
gelatena	gelatine
gelatenajxo	jelly
gelateno	gelatine
Gelderlando	Guelderland, Guelders
geldra	Guelders
Geldrio	Guelderland, Guelders
Geldrujo	Guelderland, Guelders
gelignito	gelignite
gelo	frost
gemisto	gem worker, jeweler
gemo	gem, jewel
gemuta	agreeable
gena kodo	genetic code
genaro	genome
genciano	gentian
genealogia	genealogical
genealogia arbo	genealogical tree
genealogia tabelo	family tree, pedigree
genealogiarbo	genealogical tree
genealogie	genealogically
genealogiisto	genealogist
genealogio	family tree, genealogy, pedigree, genealogy
genealogo	genealogist
genepo	grandchild
genepoj	grandchildren
genera	generative, genital
generaciaro	family tree, genealogy, pedigree
generacio	generation
generado	generation
generaj operacisimboloj	polymorphism
generalisimo	generalissimo
generalo	general
generatorejo	electrical generator
generatoro	generator
generi	to beget, generate, spawn
generilo	genitals
genero	clan, ethnic group, family, kin, kind, people, race, stock, tribe
genetika	genetic
genetike	genetically
genetikisto	geneticist
genetiko	genetics
Genezo	Genesis
genia	brilliant, gifted, ingenious, masterly, of genius
genie	brilliantly
genio	genius
genisto	broom
genitivo	genitive
geniulo	genius, man of genius
geno	gene
genocido	genocide
genomo	genome
genotipo	genotype
genoto	genet
genro	gender, genus
genta sistembendo	master tape
gento	clan, ethnic group, genus, tribe, family, kin, race, people
Gento	Ghent
gentomurdo	genocide
genue	on the knees
genufleksi	to genuflect, kneel
genui	to kneel
genuigi	to bring someone to their knees
genuigxi	to kneel
genukavo	back of the knee, hock
genuo	knee
genuosto	kneecap, patella
Geo	Gaia
geocentra	geocentric
geocentre	geocentrically
geocentrismo	geocentrism
geodezia latitudo	geodetic latitude
geodeziko	geodesic
geodezio	geodesy
geodo	geode
geofizikisto	geophysicist
geofiziko	geophysics
geognozio	geology
geografia	geographic, geographical
geografia karto	map
geografie	geographically
geografiisto	geographer
geografikarto	map
geografio	geography
geografo	geographer
geokasxludo	geocaching
geokasxo	geoaching
geokomputiko	geomatics
geologia	geological
geologie	geologically
geologiisto	geologist
geologio	geology
geologo	geologist
geometredoj	geometridae, geometer moths
geometria	geometric
geometria figuro	figure (geometric shape)
geometria meznombro	geometric average, geometric mean
geometria progresio	geometric progression, geometric sequence
geometria serio	geometric series
geometria vico	geometric progression, geometric sequence
geometrie	geometrically
geometriisto	geometer, geometrician
geometrio	geometry
geometro	geometer moths, Geometra, geometer, geometrician
geomorfologiisto	geomorphologist
geomorfologio	geomorphologist
geopolitika	geopolitical
geopolitike	geopolitically
geopolitiko	geopolitics
Georg-Tauxno	Georgetown (Cayman Islands)
georgia	Georgian
georgiano	Georgian
georgino	dahlia
Georgio	Georgia (American state)
Georgo	George
Georgtauxno	Georgetown (Guyana)
geoterma	geothermal
geoterma energio	geothermal energy
geotrupo	dor beetle, earth-boring dung beetle
gepardo	cheetah
gepatra	parental
gepatra lingvo	mother tongue
gepatraj	parental
gepatreco	parenthood
gepatro	parent
gepatroj	parents
gepraavo	great-grandparent
gepraavoj	great-grandparents
geranio	geranium
Gerardo	Gerard; Gérard
gerbero	gerbera
gerbilo	gerbil
gerila	guerilla
gerilano	guerilla
gerilisto	guerrilla
gerilo	guerilla war
gerleno	warp
Germana	German
Germana Demokratia Respubliko	East Germany, GDR
Germana Federacia Respubliko	German Federal Republic
germana lingvo	German, German language
germanacxo	Hun, Jerry, Kraut
germanema	pro-German
germanigi	to Germanify
germanino	German, German lady, German woman
Germanio	Germany
germanistiko	German language and literature, Germanic philology
germaniumo	germanium
Germanlando	Germany
germanlingva	German-language
germanlingve	in German
germano	German
Germanujo	Germany
gerundio	gerund
gesamideanoj	fellow Esperantists
gesinjoroj	ladies and gentlemen, Mr. and Mrs.
gesta lingvo	sign language
gestadi	to make gestures, gesticulate
gestema	demonstrative, gesticulating
gesti	to gesticulate, gesture
gestlingvo	sign language, signed language
gesto	gesture
gestolingvo	sign language
getao	geta
geto	ghetto
Getshedo	Gateshead
getto	ghetto
geumo	avens
gibi	to jibe
gibono	gibbon
Gibraltaro	Gibraltar
gicxeto	window, ticket window
Gideono	Gideon
GIF-dosiero	GIF file
GIF-movbildo	animated GIF
gigabajto	gigabyte
gigabito	gigabit
gigaherco	gigahertz
giganta	gigantic, huge, giant
gigante	gigantically
giganto	giant
gigantomanio	megalomania
gigatuno	gigaton
gigavatto	gigawatt
Gigo	Gigha
Gilbertinsuloj	Gilbert Islands
Gilberto	Gilbert
gildestro	guildmaster
gildo	guild
gilgamesx	Gilgamesh
Gilgamesxo	Gilgamesh
gilosxado	guilloche (engraving technique)
gilosxajxo	guilloche (pattern)
gilosxi	to guilloche
gilosxo	guilloche (pattern)
gilotini	to guillotine
gilotino	guillotine
gimastika	gymnastic
gimnastejo	gym, gymnasium, sports hall
gimnasti	to exercise
gimnastika	gymnastic
gimnastikejo	gym, gymnasium
gimnastiki	to do gymnastics, exercise
gimnastikilo	exercise equipment, sports equipment, gymnasium equipment
gimnastikisto	gymnast
gimnastiko	exercise, gymnastics
gimnastikulo	gymnast
gimnastilo	exercise equipment, sports equipment, gymnasium equipment
gimnasto	gymnast
gimnazia diplomito	high-school graduate
gimnaziano	pupil, student
gimnazio	grammar school, high school, secondary school, middle school
gimnospermo	gymnosperm
gimnoto	eel
gineceo	gynoecium
ginekologia	gynecological
ginekologiisto	gynecologist
ginekologio	gynecology
ginekologo	gynecologist
gineo	guinea
Ginevro	Guinevere
gingamo	gingham
gingiva	gum
gingivalo	palato-alveolar
gingivo	gum (mouth)
ginodioika	gynodioecious
ginoika	gynoecious
ginomonoika	gynomonoecious
ginostemo	gynostemium
gipaeto	bearded vulture, lammergeier
gipsbandagxo	cast
gipsi	to plaster
gipso	gypsum, plaster (of Paris)
gipsofilo	baby’s breath, chalk plant, gypsophila, soapwort
gipsosxtono	gypsum
giri	to gyrate
girlandi	to wreathe
girlando	garland, wreath
giroskopo	gyroscope
gisfero	cast iron
gisforno	blast furnace
gisi	to cast
giso	alloy of carbon with a metal
gistajxo	yeast (powder)
gistfungo	yeast fungus
gisti	to ferment (using yeast)
gisto	yeast
gistofungo	yeast fungus
gistopulvoro	yeast powder
gistpulvoro	baking powder
gitaristo	gitarist
gitaro	guitar
gitarsintezilo	guitar synthesizer
gitarsonprenilo	guitar pick up
glabelo	glabella
glacajxo	ice cream
glacea	glossy
glaceiga	glazing
glaceigado	glazing
glaceigi	to polish to a shine
glaceigilo	glazer
glaceo	icing
glacia	icy
glacia acetata acido	glacial acetic acid
glacia epoko	ice age
glaciajxbombo	bombe
glaciajxejo	ice cream shop
glaciajxisto	ice cream maker, ice cream vendor
glaciajxo	ice cream
glaciaro	glacier
glacibalaisto	sweeper
glacie	icily
glacieca	icy
glacieca tusxo	icy touch
glaciejo	glacier
glaciepoko	ice age
glacierego	iceberg
glacihokeo	ice hockey
glaciiga	frigid
glaciigi	to freeze
glaciigxi	to freeze
glaciinsulo	iceberg
glacikompreso	ice pack
glacikubfarilujo	ice tray
glacimalvarma	ice-cold
glacimevo	glaucous gull
glacimonto	iceberg
glacio	ice
glacipluvo	sleet
glacirompigxo	break in ice
glacirompilo	icebreaker
glaciso	glacis
glacisxranko	cold store, freezer, ice box, ice cellar, ice chest
glacitenejo	cold store, freezer, ice box, ice cellar, ice chest
glaciujo	cold store, freezer, ice box, ice cellar, ice chest
glaciumi	to glaze
glaciurso	polar bear
glaciviro	iceman
glacmonto	iceberg
glaco	pane (of glass), plate glass
glacosxprucigilo	windscreen washer
glacovisxilo	screen wiper, windscreen wiper
glacxero	glacier
gladi	to iron (clothes)
gladiatora	gladiatorial
gladiatoro	gladiator
gladilo	iron (for clothes)
gladiolo	gladiolus
gladistino	ironer (fem)
gladofaldo	crease
gladotabulo	ironing board
glagolico	glagolitic alphabet
glamora	glamorous
glamore	glamorously
glamorulino	glamour girl
glanarbo	oak
glandinflamo	adenitis
glando	gland
glaningo	acorn cup
glankukurbo	acorn squash
glano	acorn, glans
glareolo	pratincole
glasa	glass
glasego	mug
glasgova	Glaswegian, Glasgow
Glasgovano	Glaswegian
Glasgovo	Glasgow
glaso	glass (a vessel)
glata	sleek, slippery, smooth, slick
glate	smoothly, sleekly
glatigi	to smooth, make smooth, smoothen
glatigo	anti-aliasing, smoothing
glatigxi	to flatten
glatumi	to pet, rub soothingly, stroke
glauxcio	yellow horned poppy
glauxka	blue-green
glauxkomo	glaucoma
glauxkonito	glauconite
glave	with a sword, using a sword
glavego	large sword
glavgluisto	sword swallower
glavingo	scabbard
glavisto	swordsman
glavo	sword
Glavo de Damoklo	Sword of Damocles
glavo dutrancxa	double-edged sword
glavofisxo	swordfish
glazuri	to glaze
glazuro	glaze
glebo	clod of earth, lump of earth
gledicxio	locust-tree
glekomo	ground ivy
Glenjuhxo	Linlithgow
Glenko	Glencoe
glicerino	glycerine
glicerio	flote-grass
glicerolo	glycerine
glicirizajxo	licorice
glicirizo	licorice
glifosato	glyphosate
glikolo	glycol
glikozo	glucose
glimbrili	to gleam
glimi	to gleam
glimo	mica
gliptiko	glyptics
gliptodonto	glyptodon
gliptoteko	sculpture gallery
gliredoj	dormice
gliro	dormouse
glisadi	to glide
glisado	glide, gliding
glisaviadilo	glider, sailplane
glisi	to glide, plane
glisilo	glider, sailplane
glita	slick, slippery
glitadi	to glide
glitado	glide, gliding
glitbobeno	shuttle
glitejo	slide
glitfali	to slip
glitgitaro	slide guitar
gliti	to glide, slide, slip, skate
glitiga	slick, slippery
glitigi	to scroll, slide, slip
glitigxi	to slide
glitilo	skate
glitiloj	skates
glitkalkulilo	slide rule
glitkoma	floating-point
glitkuranto	skater
glitkuri	to go skating, skate
glitkurilo	skate
glitkuristo	skater
glito	slide, slip
glitpilko	hockey
glitpunkta	floating-point
glitpunkta prezento	floating-point representation
glitpunktnombro	floating-point number
glitsxuo	ice skate
glitveturi	to sled, sledge
glitveturilo	sledge, sleigh, toboggan
glitvojo	rink, slide
globa	globular
globaligo	globalization
globartiko	ball-and-socket joint
globetlagro	ball bearing
globeto	bead, corpuscle, marble, globule, corpuscle
globetringo	bearing cup
globforma	globular
globkalkulil	abacus
globkrajono	ballpoint pen
globlagro	ball-bearing
globlagroj	balls bearing, balls-bearing
globludado	bowling
globludanto	bocce player
globludisto	bocce player
globludo	bowling
globmartelo	ball hammer
globo	ball, ball bearing, globe, billiard ball, sphere
Globo	Globe
globoj	globes, balls, balls bearing, balls-bearing
globokardo	globe-thistle
globringo	bearing cup
globskribilo	ballpoint, ballpoint pen
globtavolo	spherical layer
globtrotulo	globetrotter
globulario	globe-daisy, globularia
globuso	globe
glora	famous, glorious
glorama	vainglorious
gloramo	ambition
gloranto	eulogist, encomiast
gloravida	thirsting for glory
gloravido	ambition
glore	famously, gloriously
glori	to commend, glorify, laud, praise, glorify
glori sin	brag, boast
glorify	kulti
glorigi	to put on the map
glorigo	glorification
glorigxi	to glorify
glorigxo	glorification
glorinda	deserving of glory
glorkanto	paean, song of glory
glorkrono	nimbus
gloro	fame, glory, renown
glorplena	glorious, illustrious
glosaro	glossary
glosi	to gloss
glosino	tsetse fly
gloso	gloss
glota plosivo	glottal plosive
gloto	glottis
glua	adhesive, clammy
gluajxo	glue
gluanta	glutinous, sticky, viscous
glubendo	(adhesive) tape
glubildo	collage
glucinio	beryllium
glueca	sticky
glueco	adhesiveness
gluetikedo	sticker
glueto	size
glugli	to burble, gurgle
glui	to glue, stick
gluigxi	to stick
gluigxi en sia gorgxo	to stick in one’s throat
gluilo	adhesive
glukozo	glucose
glumarko	sticker
glumo	glume
glunoto	post-it note
gluo	glue
glutajxo	bite
glutamato	glutamate
glutega	binge
glutegi	to gulp down, quaff, swill
glutego	binge
glutejo	maw, gullet
glutema	voracious, gluttonous, piggish
gluteno	gluten
gluteo	buttock
gluti	to swallow
gluto	draught, sip, mouthful, gulp, swallow, sup
gnafalio	balsamweed, cudweed
gnejso	gneiss
gneto	gnetum
gnoma	gnomish
gnomo	brownie, gnome, goblin
gnomono	gnomon
gnostika	Gnostic
gnostikisma	Gnostic
gnostikismo	Gnosticism
gnostiko	Gnostic
gnostikulo	Gnostic
gnozo	Gnostic
GNUa GXenerala Publika Permesilo	GNU General Public License
gnuo	gnu, wildebeest
go	name of the letter G
gobio	gudgeon
gobiuso	goby
godela	Gödel
Godelo	Gödel
godetio	godetia, satinflower, farewell-to-spring
goeleto	schooner
Gogo	Gog
gojo	goy
goldveno	bonanza
golejisto	goalie
golejlinio	goal line
golejo	goal
golfejo	course
golfeto	bay (geog)
golfludado	golfing
golfludanto	golfer
golfludejo	course
golfludisto	golfer
golfludo	golf
golfo	bay, golf, gulf
golfpilko	golf ball
Golgoto	Calvary, Golgotha
goli	to score
Goliato	Goliath
golo	goal
Golspio	Golspie
golulo	goalie
gombo	okra
gonado	gonad
gonda	Gondi
gondolisto	gondolier
gondolo	gondola
Gondvano	Gondwana (supercontinent)
gongo	gong
goniometria	trigonometric
gonokoko	gonococcus
gonoreo	clap, gonorrhea
Gonzalo	Gonzalez, Gonzales
goo	go (board game)
Google	Google
gorda	Gordian
gordia	Gordian
Gorgono	Gorgon
gorgxa pomo	Adam’s apple
gorgxdoloro	pain in the throat, sore throat
gorgxinflamo	laryngitis
gorgxnodo	Adam’s apple
gorgxo	throat
gorgxopomo	Adam’s apple
gorgxotrancxi	to cut the throat of
gorgxpendajxo	wattle
gorgxsxire	throat-splittingly
gorilecvizagxa	gorilla-faced
gorilo	gorilla
gosipio	cotton plant, gossypium
gospelo	Gospel, gospelo
gota	gothic
Gotaburgo	Gothenburg
Gotamo	Gautama, Gotama
Gotenburgo	Gothenburg, Göteborg
gotika	Gothic
gotiko	gothic style
goto	Goth
graceco	grace(fulness)
gracia	graceful, gracious, slender, slim
gracie	gracefully, graciously
gracieco	grace, gracefulness
gracila	slender, willowy, thin
gracileco	graceful slenderness
Gracio	Grace
gracio	grace
graco	grace (of God), gracefulness, mercy
grada	gradual
gradaltigo	promotion
grade	gradually
gradeco	gradation
gradiento	gradient
gradigi	to graduate
gradigo	graduation
grado	degree, grade
gradosimbolo	degree sign, degree symbol
graduso	grade
grafa	of a count, of an earl
grafeiko	graph theory
grafemo	grapheme, written symbol
grafeno	graphene
grafeo	graph (of a relation)
grafeteorio	graph theory
grafika	graphic
grafika disponajxo	graphic device
grafika elemento	adornment
grafika fasado	graphical user interface, GUI
grafika interfaco	GUI, graphical user interface
grafika prezento	graphic representation, image curve, plot (of a function)
grafika redaktilo	graphics editor
grafika regximo	graphic mode
grafika signo	drawing character, graphic character, line-drawn character
grafika uzulinterfaco	Graphical User Interface, GUI
grafikado	graphics
grafikajxo	graph, image
grafike	graphically
grafikilo	graphics editor
grafikisto	graphic designer, commercial artist
grafikistoj	art department
grafiko	graphic arts, graphics, artwork
grafino	countess
grafismo	written form of a word or words (as compared to the sound)
grafito	graphite
graflando	county, earldom, shire, landgraviate
grafo	count, earl; graph
grafologia	graphological
grafologiisto	graphologist, handwriting analyst, handwriting expert
grafologio	graphology, handwriting analysis
grafologo	graphologist, handwriting analyst, handwriting expert
grafteorio	graph theory
grafujo	county, earldom
Grajaj Alpoj	Graian Alps
grajlo	sleet
grajna	granular
grajnajxo	granule
grajneca	granular
grajneco	aliasing
grajnero	(individual) grain
grajneto	granule, tiny particle
grajnigi	to granulate
grajnigxi	to be granulated
grajno	grain, granule, pip (of fruit), stone (of fruit), particle, speck, seed
grajnpinto	bead
grajnumo	pericarp, seed case, seed vessel
grajo	gray (unit)
graki	to caw, croak, rasp
Gralkavaliro	Grail Knight
Gralo	Grail
gramatika	grammatical
gramatika finigxo	grammatical ending
gramatika sekso	grammatical gender
gramatike	grammatically
gramatikilo	grammatical term
gramatikisto	grammaticist, grammarian
gramatiklibro	grammar (book)
gramatiko	grammar
gramo	gram (weight)
gramofona disko	record, phonograph, gramophone
gramofonauxtomato	jukebox
gramofondiskejo	disco, discothèque
gramofondisko	gramophone disc
gramofono	gramophone, phonograph, record player, turntable, stereo
Gramonto	Grammont
Granado	Granada
granatarbo	pomegranate tree
granato	pomegranate
granda	big, great, large, tall
Granda Bernero	Great Bernera
Granda Bulgarujo	Great Bulgaria
granda buntpego	great spotted woodpecker
granda disketo	maxi single
granda duko	grand duke
granda duonakso	semi-major axis
Granda Fasto	Lent, Ramadan
Granda Fisxista Benko	Great Fisher Bank
Granda Frato	Big Brother
granda jxazbando	big band
granda kalorio	kilocalorie
granda kriaglo	spotted eagle
granda litero	capital letter
granda muro	great wall
Granda Muro	Great Wall, Great Wall of China
granda nigrakapa mevo	great black-headed gull
granda otido	great bustard
granda pando	giant panda
granda paruo	great tit
granda plano	long shot
granda rabmevo	great skua
Granda Sklavolago	Great Slave Lake
Granda Turko	Grand Turk (Turks and Caicos Islands)
Granda Ursino	Great Bear, Greater Bear
Granda Ursolago	Great Bear Lake
grandagxa	aged, elderly, grown-up, old, of great age
grandagxulo	elder, person of great age
Grandaj Antiloj	Greater Antilles
grandaj literoj	uppercase, upper case, upper-case; big letters
grandangula	wideangle, wide-angle
grandanima	magnanimous
grandanime	magnanimously
grandanimeco	magnanimity
grandare	in a big group
grandbildo	close-up
grandduklando	grand duchy
grande	large (adv.)
grandeco	greatness, magnitude, size
grandega	considerable, enormous, huge, immense, tremendous
grandege	enormously, largely
grandegeco	enormity, enormousness, hugeness, immensity
grandegula	giant
grandegulo	giant
grandflora epimedio	longspur epimedium
grandflora lavatero	annual mallow, regal mallow, rose mallow, royal mallow
grandfolia hortensio	bigleaf hydrangea
grandiga vitro	magnifying glass
grandigi	to amplify
grandigxi	to grow
grandindustrio	big industry
grandioza	grand, grandiose, magnificent, superb, sublime, splendid
grandioze	magnificently
grandiozeco	grandeur, grandiosity, magnificence
grandiozo	grandeur, grandiosity, magnificence
grandkvanta	abundant
grandmagazeno	department store
grandmama	large-breasted
grandmasto	mainmast, maintop
grandnombra	numerous
grando	magnitude, size
grandoordo	order of magnitude
grandparte	for the greater part, for the most part
grandparto	majority, larger part, greater part
Grandpolujo	Great Poland, Greater Poland
grandsinjoro	gentleman
grandskala	large scale
grandskale	on a large scale
grandspaca	capacious, commodious, roomy, spacious
grandsume	heavily
grandula	suitable for a large person
grandulo	big person
grandvalora	costly, valuable
grandvolumena	bulky
granita	granite
granito	granite
grano	grain
granulo	grain
grapfrukto	grapefruit
grapli	to dredge
graplo	grapnel, grappling iron
graplohoko	dragging hook
grapolo	cluster
grasa	bold(face), fat, fatty, greasy, stout
grasa tiparfasono	boldface
grasakrajono	grease pencil
graseco	greasiness, fattiness
grasega	obese
graseta	light
grasherbo	butterwort
grashisto	adipose tissue
grasi	to grease
grasiga klavo	bold key
grasigi	to fatten
grasigita	bolded, bold
grasigxi	to become fat, become enlarged
grasita	bolded
graso	fat, grease
grasocxelo	fat cell
grasumi	to fertilize
gratado	scrabble
gratajxo	scratch
grateca	scratchy
gratenado	au gratin baking
gratene	au gratin
grati	to scratch
gratifi	to tip
gratifikacio	gratuity
gratifiki	to tip, leave a tip
gratifiko	gratuity
gratifo	gratuity
grato	scratch
gratula	congratulatory
gratuli	to felicitate, congratulate
gratulinda	worthy of congratulation, praiseworthy
gratulo	congratulation
gratvundi	to scratch
gratvundigxo	scarification
gratvundo	abrasion, scratch, scrape (wound)
grauxli	to growl
grauxlo	whirr, whir, throb, hum, drone
grauxvako	greywacke
grava	important, serious, grave, notable, important
gravajxo	engraving
gravaspekta	important-looking
grave	seriously, importantly
graveco	concern, gravity, importance, weight
graveda	pregnant, with young
gravedeco	pregnancy
gravedigi	to impregnate, make pregnant
gravedigo	insemination
gravedigxi	to conceive (a child), get pregnant
gravedulino	pregnant woman
gravega	momentous, ominous
gravegajxo	enormity
gravegeco	enormity
Graveto	Gravettian, Gravettian toolmaking culture
gravi	to be serious, be important
gravigi	to make a fuss about, make a big deal of
gravigxi	to become serious
gravita	gravitational
gravitacio	gravitation, gravity
graviti	to gravitate
gravito	gravitation, gravity
gravitono	graviton
gravitotiro	gravitational attraction
gravmiena	serious-faced
gravmiene	with a serious, solemn expression
gravmieneco	gravitas, appearance of being serious
gravo	engraving
gravtone	in a serious tone
gravulo	important person
gravurajxo	engraving, print
gravurcxizilo	burin
gravuri	to engrave
gravurilo	engraving tool, graver
gravuristo	engraver
grebo	grebe
greftado	grafting
greftajxo	graft
grefti	to graft, transplant
greftilo	budding knife
grefto	graft
grega	herd
gregejo	pasture
grego	flock, herd
gregoria	Gregorian
Gregorio	Gregory; Grégoire, Grzegorz
grejhundo	greyhound
grejo	gray
Grejo	Gray
grejsa poto	Cologne pot, stone jar
grejso	sandstone
greka	Greek
greka kruco	Greek cross
grekino	Greek woman
Grekio	Greece
Greklando	Greece
Greko	Greek
Grekujo	Greece
grenadano	Grenadian
grenadanoj	Grenadians
grenadiro	grenadier
grenadisto	grenadier
Grenado	Grenada
grenado	grenade
grenatkolora	garnet-colored, deep red
grenato	garnet
grencirklo	crop circle
Grendlo	Grendel
grenejo	granary, loft
grenkampo	(wheat) field
grenkesto	bin
grenlanda	Greenland
Grenlanda Maro	Greenland Sea
grenlandano	Greenlander
Grenlando	Greenland
greno	corn, grain, cereal
grenskarabo	corn weevil
grenventumajxo	chaff, husks
gresejo	lawn
greso	grass
griajxo	porridge
grifela	pen (input)
grifelo	pencil, stylus, pen
grifo	griffin, vulture
grifono	griffon
grilo	cricket (insect)
grimaci	to grimace, grin
grimaco	grimace
grimacvinjeto	wry face
grimpi	to climb
grimpi sxtuparon	to climb stairs
grimpkreskajxo	climber, climbing-plant
grimpmasto	pole
grimpoplanto	climber, climbing- plant
Grimzbio	Grimsby
grincado	grating
grinci	to creak, gnash, grate, grind, grate, make a grinding sound, squeak
grinco	scratch, scratching, scraping, grating
Grinoko	Greenock
grio	coarse meal, grits, meal, oatmeal
grioto	morello
gripo	flu, influenza
griza	gray
griza cirkuo	montagu’s harrier
griza gisfero	grey cast iron
griza klavo	grey key
griza literaturo	gray literature
griza materio	gray matter
griza mevo	common gull, mew gull
griza pego	grey-headed woodpecker
griza substanco	gray substance
grizajxo	gray item, something gray
grizeco	dullness
grizhara	grey-haired
grizigita	grayed, greyed
grizigxi	to (turn) gray
grizo	grey
grizoskalo	grayscale, greyscale
griztona	grey, gray
grizuo	fire-damp
groco	gross, 144
groenlanda	Greenland
groenlandano	Greenlander
Groenlando	Greenland
grogo	grog
grondi	to beach, run aground, strand
Groningeno	Groningen
gronlanda	Greenland
Gronlanda Maro	Greenland Sea
gronlandano	Greenlander
gronlandanoj	Greenlanders
Gronlando	Greenland
gropegxo	arris
grosiero	wholesaler
grosisto	wholesaler
groso	gooseberry
grosujo	gooseberry
grosxo	groschen (low value coin)
groteska	grotesque, ludicrous
groteske	grotesquely
grotesko	the grotesque (style)
groteskulo	freak, weirdo
groto	cave, grotto
grubrako	boom
gruedoj	cranes (family)
grujero	gruyère
grumblema	morose
grumblemulo	complainer, grumbler
grumbli	to growl, grumble
grumblulo	grouser, grumbler
grumo	bellhop, groom, stableman, page boy, stable boy, servant
grunda disfalo	landslide
grundakvo	groundwater
grundi	to strand
grundigi	to run aground, strand
grundo	ground, soil
Grundo-Nulo	Ground Zero
grundoscienco	soil science
grundostato	condition of the soil
grundtavolo	layer, layer of earth
gruntbovo	yak
grunti	to grunt
grunto	grunt
gruo	crane (bird)
Gruo	Grus
gruobrako	boom
gruobumo	boom
grupa	groop
grupacxo	group, band, gang
grupadfaktoro	blocking factor
grupano	group member
grupe	in a group
grupeto	small group, circle
grupiga	grouping
grupigi	to group (together)
grupigita	grouped
grupigitaj	grouped
grupigxi	to form a group, group
grupnumero	group id, group identifier
grupo	group
grupo de n-modulaj restoklasoj	residue class group
grupoido	groupoid
grupope	by groups
grupprogramaro	groupware
grupulino	groupie
grupvaro	groupware, teamware
gruza	gravelly, gritty
Gruzio	Georgia
gruzmalsano	disease characterized by kidney stones or similar
gruzo	gravel, grit
Gruzujo	Georgia
guano	guano
guasxo	gouache
gubernatoro	governor
guberniestreco	governorship
guberniestro	governor
gubernio	(administrative) province
gudjero	creeping lady’s-tresses
gudri	to tar
gudro	pitch, tar
gudrotuko	tarpaulin
gufo	(eagle) owl
gufujo	owlery; tea bar at Esperanto events
guglo	Google
Guglo	Google
gugxarata	Gujarati
gujana	Guyanese, Guyanese Creole
gujanano	Guyanese
gujananoj	Guyanese (plural)
Gujano	Guyana
gujavarbo	guava
gujavo	guava
gulago	gulag
gulasxo	goulash, stew
guldeno	guilder, gulden
gulo	glutton, wolverine
gumbo	gumbo, okra, okra plant
gumi	to erase, gum, smear (with gum)
gumiguto	gamboge
gumo	eraser, gum
gumo araba	akacia
gupio	guppy
gurdi	to grind out
gurdinsto	organ grinder
gurdisto	organ grinder
gurdita	corny, hackneyed
gurdo	barrel-organ, hurdy-gurdy, organ
gurnardo	grey gurnard
guruo	guru
gusti	to taste
gustigi	to flavor, flavor, season
gusto	flavor, relish, savor, taste, zest
gustumi	to taste (food, drink)
gustumo	taste, sense of taste
gusxo	husk, pod
gutaperko	gutta-percha
gute	by drops
guteti	to drip, leak, patter, trickle, exude
guteto	droplet
gutflui	to trickle
guti	to drip, drop
gutigi	to pour out drop by drop
gutigilo	medicine dropper
gutmalsekigi	to baste
guto	drip, drop
gutope	nonstop, continuously
guturala	guttural
guturale	gutturally
guturalo	guttural
guverni	to coach, tutor, teach privately
guvernistino	governess
guvernisto	preceptor, tutor
guzlo	gusla
Gvadelupo	Guadalupe
Gvajanio	Guyana
Gvajano	Guyana
gvalo	Welshman
Gvamo	Guam
gvarania	Guaraní
gvardiano	guard
gvardio	guard (elite military corps, not sentry)
gvatanto	lookout, watcher
gvatemala	Guatemalan
gvatemalano	Guatemalan
gvatemalanoj	Guatemalans
gvatemalia	Guatemalan
gvatemaliano	Guatemalan
